act,section,criminal
17353.0,1375166.0,1
17353.0,1334140.0,1
17353.0,1173703.0,1
17353.0,578324.0,1
17353.0,60379.0,1
17353.0,1136831.0,1
17353.0,237725.0,1
17353.0,333810.0,1
17353.0,1297522.0,1
17353.0,1134887.0,1
17353.0,1138541.0,1
17353.0,1356983.0,1
17353.0,927626.0,2
17353.0,908367.0,2
17353.0,601615.0,2
17353.0,620401.0,2
17353.0,600541.0,2
17353.0,1332468.0,2
17353.0,333891.0,2
17353.0,335474.0,2
17353.0,572617.0,2
17353.0,572532.0,2
17353.0,1333751.0,2
17353.0,324964.0,2
17353.0,1138466.0,2
17353.0,387613.0,2
17353.0,1092137.0,2
17353.0,74927.0,2
17353.0,77374.0,2
17353.0,1086570.0,2
17353.0,1366866.0,3
17353.0,331820.0,3
17353.0,1091827.0,3
17353.0,585022.0,3
17353.0,579335.0,3
17353.0,1300351.0,3
17353.0,343561.0,3
17353.0,59938.0,3
17353.0,61091.0,3
17353.0,57592.0,3
17353.0,1134940.0,3
17353.0,1128311.0,3
17353.0,1368308.0,3
17353.0,571728.0,3
17353.0,358236.0,3
17353.0,484230.0,3
17353.0,1136943.0,3
17353.0,1195637.0,3
17353.0,1128167.0,3
17353.0,1092286.0,4
17353.0,1128141.0,4
17353.0,1176120.0,4
17353.0,60668.0,4
17353.0,1334613.0,4
17353.0,213134.0,4
17353.0,1199171.0,4
17353.0,797318.0,4
17353.0,225590.0,4
17353.0,555741.0,4
17353.0,584931.0,4
17353.0,1337578.0,5
17353.0,555906.0,5
17353.0,58021.0,5
17353.0,1035671.0,5
17353.0,1137972.0,5
17353.0,1137009.0,5
17353.0,585190.0,5
17353.0,1225724.0,5
17353.0,1052610.0,5
17353.0,1210381.0,5
17353.0,762385.0,5
17353.0,1302191.0,5
17353.0,266384.0,6
17353.0,1273343.0,6
17353.0,579715.0,6
17353.0,1205114.0,6
17353.0,1136960.0,6
17353.0,1185806.0,6
17353.0,145360.0,6
17353.0,1301017.0,6
17353.0,1300737.0,7
17353.0,927729.0,7
17353.0,1001650.0,7
17353.0,1301963.0,7
17353.0,364000.0,7
17353.0,343219.0,7
17353.0,1367623.0,7
17353.0,74123.0,7
17353.0,1333062.0,8
17353.0,1052256.0,8
17353.0,1208991.0,8
17353.0,584728.0,8
17353.0,89318.0,8
17353.0,1136856.0,8
17353.0,475232.0,8
17353.0,579598.0,8
17353.0,554567.0,8
17353.0,620180.0,8
17353.0,1001727.0,8
17353.0,1223938.0,9
17353.0,1209420.0,9
17353.0,345741.0,9
17353.0,679746.0,9
17353.0,678419.0,9
17353.0,697157.0,9
17353.0,584806.0,9
17353.0,602466.0,9
17353.0,1304845.0,9
17353.0,584866.0,9
17353.0,358372.0,9
17353.0,903180.0,9
17353.0,601731.0,9
17353.0,504065.0,9
17353.0,505346.0,9
17353.0,619518.0,10
17353.0,645766.0,10
17353.0,1137049.0,10
17353.0,680176.0,10
17353.0,1137024.0,10
17353.0,797097.0,10
17353.0,789008.0,10
17353.0,620288.0,10
17353.0,387760.0,10
17353.0,1083702.0,10
17353.0,1200740.0,10
17353.0,679804.0,11
17353.0,1134793.0,11
17353.0,1079792.0,11
17353.0,1136985.0,11
17353.0,73213.0,11
17353.0,762341.0,11
17353.0,580101.0,11
17353.0,1357320.0,11
17353.0,1229367.0,11
17353.0,620542.0,11
17353.0,1136798.0,11
17353.0,1374796.0,11
17353.0,93834.0,11
17353.0,405154.0,12
17353.0,200443.0,13
17353.0,585108.0,13
17353.0,954434.0,13
17353.0,533219.0,13
17353.0,619383.0,13
17353.0,944022.0,13
17353.0,682220.0,14
17353.0,1086509.0,14
17353.0,571841.0,14
17353.0,697522.0,14
17353.0,1126966.0,14
17353.0,982527.0,14
17353.0,359306.0,14
17353.0,866341.0,14
17353.0,863202.0,15
17353.0,758707.0,15
17353.0,1037225.0,15
17353.0,681073.0,15
17353.0,584558.0,15
17353.0,203656.0,15
17353.0,1080274.0,15
17353.0,137364.0,16
17353.0,927573.0,16
17353.0,686901.0,16
17353.0,584452.0,16
17353.0,212307.0,17
17353.0,646930.0,17
17353.0,903765.0,17
17353.0,243895.0,17
17353.0,602135.0,17
17353.0,791733.0,18
17353.0,1130738.0,18
17353.0,330901.0,18
17353.0,697637.0,20
17353.0,977848.0,20
17353.0,1136265.0,20
17353.0,924256.0,20
17353.0,56466.0,20
17353.0,342645.0,20
17353.0,1062366.0,21
17353.0,365953.0,21
17353.0,1134711.0,22
17353.0,645530.0,22
17353.0,205830.0,22
17353.0,1037161.0,22
17353.0,1273907.0,22
17353.0,908292.0,23
17353.0,965405.0,23
17353.0,1140200.0,23
17353.0,1245442.0,23
17353.0,329240.0,23
17353.0,1374510.0,24
17353.0,924434.0,24
17353.0,902841.0,24
17353.0,645851.0,25
17353.0,537919.0,25
17353.0,364260.0,25
17353.0,422400.0,25
17353.0,131288.0,26
17353.0,1123237.0,26
17353.0,1079877.0,26
17353.0,82488.0,26
17353.0,620667.0,27
17353.0,498782.0,27
17353.0,924762.0,27
17353.0,1079969.0,28
17353.0,1122256.0,29
17353.0,504636.0,29
17353.0,1108826.0,29
17353.0,571513.0,30
17353.0,319284.0,30
17353.0,580048.0,30
17353.0,532895.0,31
17353.0,789568.0,31
17353.0,907584.0,32
17353.0,683283.0,32
17353.0,682010.0,32
17353.0,1214307.0,33
17353.0,861240.0,33
17353.0,325178.0,33
17353.0,1192646.0,34
17353.0,1186836.0,35
17353.0,768592.0,35
17353.0,533852.0,35
17353.0,572735.0,35
17353.0,772296.0,36
17353.0,1082786.0,36
17353.0,572011.0,36
17353.0,88204.0,36
