,state_code,dist_code,mean_appointment_duration,median_appointment_duration
0,3.0,3.0,392.5,180.5
1,3.0,4.0,495.3565217391304,358.5
2,3.0,1.0,402.0735785953177,247.0
3,3.0,2.0,318.96022727272725,156.0
4,3.0,20.0,384.81531531531533,271.0
5,3.0,21.0,484.6434782608696,347.0
6,3.0,12.0,247.25,109.0
7,3.0,5.0,469.96610169491527,366.0
8,3.0,27.0,462.0769230769231,200.5
9,3.0,29.0,404.36538461538464,191.0
10,3.0,17.0,303.74074074074076,139.0
11,3.0,13.0,449.3129496402878,290.0
12,3.0,24.0,349.59313725490193,175.0
13,3.0,14.0,449.1011904761905,190.0
14,3.0,9.0,352.59574468085106,223.0
15,3.0,8.0,299.2866666666667,122.5
16,3.0,23.0,500.32374100719426,366.0
17,3.0,11.0,543.463687150838,364.0
18,3.0,25.0,260.5964912280702,100.0
19,3.0,19.0,367.1575342465753,239.5
20,3.0,7.0,633.6041666666666,584.0
21,3.0,22.0,604.2008733624455,525.0
22,3.0,26.0,281.15107913669067,141.0
23,3.0,6.0,203.01932367149757,19.0
24,3.0,28.0,444.9059829059829,323.0
25,3.0,15.0,430.35046728971963,272.0
26,3.0,18.0,457.1776859504132,337.0
27,3.0,16.0,305.1954022988506,149.0
28,3.0,10.0,238.89361702127658,91.0
29,3.0,30.0,226.4923076923077,12.0
