,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2014,1,1,1,IPC,430,485.5,591.0697674418604,150,219,61,0,0
1,2014,1,1,3,IPC,53,976.0,910.377358490566,5,27,21,0,0
2,2014,1,1,4,IPC,72,518.0,582.1944444444445,27,34,11,0,0
3,2014,1,1,5,IPC,120,654.0,712.175,37,53,29,1,0
4,2014,1,1,7,IPC,121,222.0,422.27272727272725,67,36,18,0,0
5,2014,1,1,8,IPC,228,476.0,561.9122807017544,88,109,31,0,0
6,2014,1,1,9,IPC,124,378.0,461.19354838709677,61,54,9,0,0
7,2014,1,1,10,IPC,51,478.0,511.52941176470586,18,31,2,0,0
8,2014,1,2,1,IPC,489,20.0,279.42944785276075,365,76,46,2,0
9,2014,1,2,2,IPC,1040,729.5,713.9855769230769,353,404,278,5,0
10,2014,1,2,4,IPC,145,800.0,685.551724137931,46,73,26,0,0
11,2014,1,2,5,IPC,260,657.5,744.0307692307692,82,95,82,1,0
12,2014,1,2,6,IPC,223,422.0,542.4260089686098,99,90,34,0,0
13,2014,1,2,7,IPC,305,864.0,774.9180327868852,96,99,109,1,0
14,2014,1,3,1,IPC,120,447.5,658.2583333333333,57,32,27,4,0
15,2014,1,3,2,IPC,1309,10.0,122.81512605042016,1168,91,50,0,0
16,2014,1,3,3,IPC,996,608.0,692.6817269076305,330,422,238,6,0
17,2014,1,3,5,IPC,97,751.0,867.0721649484536,6,60,30,1,0
18,2014,1,3,6,IPC,222,532.5,608.1756756756756,87,90,44,1,0
19,2014,1,3,8,IPC,139,934.0,837.8489208633093,32,68,39,0,0
20,2014,1,3,9,IPC,442,801.0,786.2217194570136,128,170,143,1,0
21,2014,1,3,10,IPC,22,88.5,325.59090909090907,15,5,2,0,0
22,2014,1,3,11,IPC,1024,405.5,668.0478515625,491,261,188,84,0
23,2014,1,3,12,IPC,421,723.0,700.0783847980998,154,142,124,1,0
24,2014,1,3,13,IPC,136,1030.0,931.8897058823529,33,39,63,1,0
25,2014,1,3,14,IPC,471,572.0,626.692144373673,159,232,78,2,0
26,2014,1,3,15,IPC,181,614.0,601.9337016574585,70,80,29,2,0
27,2014,1,3,16,IPC,253,535.0,647.3241106719368,88,105,57,3,0
28,2014,1,3,17,IPC,179,1019.0,903.2905027932961,54,41,79,5,0
29,2014,1,3,18,IPC,274,312.0,447.7846715328467,149,96,29,0,0
30,2014,1,3,19,IPC,317,372.0,499.84858044164037,155,125,36,1,0
31,2014,1,3,20,IPC,765,22.0,327.6418300653595,514,175,76,0,0
32,2014,1,3,21,IPC,1,27.0,27.0,1,0,0,0,0
33,2014,1,4,1,IPC,630,12.0,124.66349206349206,552,58,20,0,0
34,2014,1,4,2,IPC,486,554.5,619.2962962962963,169,229,88,0,0
35,2014,1,4,4,IPC,266,588.0,710.8834586466165,90,106,67,3,0
36,2014,1,4,5,IPC,154,646.0,656.4545454545455,47,79,28,0,0
37,2014,1,4,6,IPC,124,819.0,789.8387096774194,34,47,41,2,0
38,2014,1,4,7,IPC,250,884.5,869.324,52,108,89,1,0
39,2014,1,4,8,IPC,262,318.0,514.0305343511451,142,75,45,0,0
40,2014,1,4,9,IPC,76,684.5,667.4868421052631,36,12,28,0,0
41,2014,1,4,10,IPC,282,984.5,921.6205673758865,62,98,110,12,0
42,2014,1,4,11,IPC,45,281.0,247.95555555555555,44,1,0,0,0
43,2014,1,4,12,IPC,143,1248.0,1101.3706293706293,13,50,76,4,0
44,2014,1,4,13,IPC,206,969.5,900.6601941747573,42,77,86,1,0
45,2014,1,4,14,IPC,24,975.0,853.375,6,8,10,0,0
46,2014,1,4,16,IPC,145,1076.0,1063.2689655172414,2,73,68,2,0
47,2014,1,4,18,IPC,82,849.5,946.4146341463414,0,60,22,0,0
48,2014,1,4,19,IPC,16,1285.5,1291.6875,0,4,11,1,0
49,2014,1,4,22,IPC,134,1215.5,1239.1119402985075,0,51,62,21,0
50,2014,1,5,1,IPC,261,220.0,508.7432950191571,142,64,54,1,0
51,2014,1,5,2,IPC,893,845.0,833.7110862262039,211,351,322,9,0
52,2014,1,5,4,IPC,278,373.0,516.1330935251799,135,102,41,0,0
53,2014,1,5,5,IPC,48,778.5,781.2083333333334,16,14,18,0,0
54,2014,1,5,6,IPC,183,618.0,667.0273224043716,72,61,49,1,0
55,2014,1,5,7,IPC,131,467.0,714.6106870229007,54,43,25,9,0
56,2014,1,5,8,IPC,275,623.0,698.3309090909091,96,106,72,1,0
57,2014,1,5,9,IPC,102,538.0,639.7941176470588,42,31,28,1,0
58,2014,1,5,10,IPC,127,893.0,753.8897637795276,42,46,39,0,0
59,2014,1,7,1,IPC,273,946.0,924.4835164835165,40,123,109,1,0
60,2014,1,7,2,IPC,1190,968.0,894.2411764705882,283,373,514,20,0
61,2014,1,7,4,IPC,592,919.5,828.981418918919,163,213,210,6,0
62,2014,1,7,6,IPC,120,718.0,741.9416666666667,43,44,30,3,0
63,2014,1,7,7,IPC,242,663.5,692.8347107438017,90,83,67,2,0
64,2014,1,7,8,IPC,362,526.5,652.353591160221,150,125,86,1,0
65,2014,1,7,9,IPC,272,770.5,742.9411764705883,68,148,50,6,0
66,2014,1,7,10,IPC,479,575.0,694.8371607515658,180,179,101,19,0
67,2014,1,7,11,IPC,391,743.0,763.2122762148338,99,200,73,19,0
68,2014,1,7,12,IPC,214,1326.5,1198.785046728972,25,57,100,32,0
69,2014,1,7,13,IPC,299,653.0,715.113712374582,79,151,62,7,0
70,2014,1,7,14,IPC,122,977.5,907.2213114754098,28,46,44,4,0
71,2014,1,7,15,IPC,235,866.0,806.5446808510638,61,101,71,2,0
72,2014,1,7,16,IPC,126,744.5,710.5079365079365,38,58,28,2,0
73,2014,1,7,17,IPC,393,760.0,725.4554707379135,128,169,91,5,0
74,2014,1,8,1,IPC,799,20.0,311.5544430538173,563,150,86,0,0
75,2014,1,8,2,IPC,737,560.0,730.1519674355495,243,260,233,1,0
76,2014,1,8,4,IPC,342,1089.5,991.0672514619883,61,112,160,9,0
77,2014,1,8,5,IPC,72,680.5,654.2638888888889,23,38,11,0,0
78,2014,1,8,6,IPC,192,637.0,748.6510416666666,52,82,58,0,0
79,2014,1,8,7,IPC,137,756.0,772.1605839416059,33,72,30,2,0
80,2014,1,8,8,IPC,51,438.0,466.0,21,27,3,0,0
81,2014,1,8,9,IPC,210,948.5,893.1,43,79,85,3,0
82,2014,1,8,10,IPC,209,802.0,783.8564593301436,48,97,63,1,0
83,2014,1,9,1,IPC,626,645.0,671.5431309904153,211,284,130,1,0
84,2014,1,9,2,IPC,2305,595.0,650.4967462039045,904,869,523,9,0
85,2014,1,9,4,IPC,94,57.0,366.7659574468085,68,13,13,0,0
86,2014,1,9,6,IPC,145,269.0,309.26206896551724,98,45,2,0,0
87,2014,1,9,7,IPC,137,651.0,713.8905109489051,49,45,43,0,0
88,2014,1,9,9,IPC,207,999.0,943.512077294686,38,81,85,3,0
89,2014,1,9,10,IPC,171,641.0,696.46783625731,61,60,47,3,0
90,2014,1,9,11,IPC,234,498.5,569.2991452991453,91,107,36,0,0
91,2014,1,9,12,IPC,135,527.0,624.9925925925926,55,55,23,2,0
92,2014,1,9,13,IPC,204,245.0,321.6078431372549,138,63,3,0,0
93,2014,1,9,14,IPC,75,133.0,234.21333333333334,59,16,0,0,0
94,2014,1,9,15,IPC,119,754.0,762.2941176470588,33,53,32,1,0
95,2014,1,9,16,IPC,169,636.0,719.6923076923077,40,87,41,1,0
96,2014,1,9,17,IPC,144,797.5,780.1875,44,49,50,1,0
