,year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2012,1,IPC,162644,677.0,844.8827070165515,59530,47205,31438,24470,1
1,2012,2,IPC,38871,847.0,907.4973887988475,8759,16298,10133,3681,0
2,2012,3,IPC,28821,456.0,693.7067763089414,12769,9303,3842,2907,0
3,2012,4,IPC,83433,473.0,704.5569618735992,36735,25692,12897,8108,1
4,2012,5,IPC,734,1609.5,1492.5108991825614,78,142,214,300,0
5,2012,6,IPC,27691,896.0,1000.9046260517857,5917,10547,6977,4245,5
6,2012,7,IPC,17815,1583.0,1413.5996070726915,2582,3886,3902,7445,0
7,2012,8,IPC,40388,1509.0,1532.0998068733288,520,11855,12945,15068,0
8,2012,9,IPC,16257,1426.0,1380.1539644460847,1775,4223,4721,5538,0
9,2012,10,IPC,11416,1775.0,1613.6203573931325,363,2304,3466,5283,0
10,2012,11,IPC,8412,1627.0,1609.4375891583452,63,1203,4609,2537,0
11,2012,13,IPC,40629,1589.0,1563.1848679514633,2555,6242,16681,15151,0
12,2012,14,IPC,18232,1116.0,1057.3690215006582,2511,6356,8230,1135,0
13,2012,15,IPC,4795,962.0,1076.5843587069864,741,1965,1177,912,0
14,2012,16,IPC,9667,1961.0,1869.2066825281886,39,1048,2952,5628,0
15,2012,17,IPC,72229,777.0,926.4830746653006,21099,23711,16891,10528,0
16,2012,18,IPC,24566,998.0,1056.7504681266792,7870,5134,5350,6212,0
17,2012,19,IPC,105,196.0,412.83809523809526,74,19,2,10,0
18,2012,20,IPC,2906,747.0,945.0388850653819,522,1435,560,389,0
19,2012,21,IPC,93,1882.0,1781.8172043010752,0,22,19,52,0
20,2012,22,IPC,8996,1202.5,1183.0162294353045,838,3079,3837,1242,0
21,2012,23,IPC,90109,831.0,960.883063844899,24330,31484,17102,17193,0
22,2012,24,IPC,148,192.0,317.36486486486484,98,44,6,0,0
23,2012,25,IPC,31,767.0,1067.0645161290322,0,19,8,4,0
24,2012,26,IPC,7026,1471.0,1295.8731853116994,1278,1378,2285,2084,1
25,2012,27,IPC,685,811.0,802.0321167883212,284,182,167,52,0
26,2012,29,IPC,40611,810.0,934.6595996158676,10498,15197,8788,6128,0
27,2012,30,IPC,1151,462.0,681.7801911381407,484,355,262,50,0
28,2012,31,IPC,212,362.5,576.5330188679245,107,67,24,14,0
29,2012,32,IPC,311,1361.0,1204.2250803858522,112,38,48,113,0
30,2013,1,IPC,159896,540.0,699.0878383449242,65709,49466,34079,10642,0
31,2013,2,IPC,47695,696.0,782.7242897578362,11862,23321,10420,2092,0
32,2013,3,IPC,44862,268.0,480.5104765726004,25739,12304,5283,1536,0
33,2013,4,IPC,87075,415.0,622.077278208441,41254,27041,14795,3985,0
34,2013,5,IPC,1384,1048.0,1040.916907514451,256,462,501,165,0
35,2013,6,IPC,28886,739.0,835.9128989822059,7976,11538,7279,2091,2
36,2013,7,IPC,17246,1346.0,1221.465151339441,2216,4814,6496,3720,0
37,2013,8,IPC,66161,731.0,874.9711461434985,21882,19581,15549,9149,0
38,2013,9,IPC,20688,1146.0,1124.5603731631863,3440,6418,7257,3573,0
39,2013,10,IPC,14296,1331.0,1225.8142837157247,1272,4294,6235,2495,0
40,2013,11,IPC,13426,1218.0,1211.536943244451,419,4837,6606,1564,0
41,2013,13,IPC,54605,1156.0,1185.6763849464335,4147,20888,20752,8817,1
42,2013,14,IPC,30599,744.0,774.3695545606065,9065,11848,8864,822,0
43,2013,15,IPC,5104,597.0,756.9069357366772,1750,1877,1186,291,0
44,2013,16,IPC,13180,1554.0,1484.5235963581183,122,3527,5416,4114,1
45,2013,17,IPC,77345,534.0,697.5921003296917,30434,26920,16107,3884,0
46,2013,18,IPC,17496,973.0,998.3949474165523,4117,5429,5383,2566,1
47,2013,19,IPC,85,146.0,505.32941176470587,56,14,10,5,0
48,2013,20,IPC,3686,646.5,767.8735756918069,1076,1678,734,198,0
49,2013,21,IPC,182,1343.5,1249.7032967032967,26,52,57,47,0
50,2013,22,IPC,24381,424.0,606.3343177064107,11523,6986,5075,797,0
51,2013,23,IPC,94533,616.0,787.7059333777622,30055,36835,18776,8866,1
52,2013,24,IPC,400,67.0,174.305,340,54,5,1,0
53,2013,25,IPC,161,281.0,392.19875776397515,102,47,10,2,0
54,2013,26,IPC,9880,1176.0,1081.4080971659919,1837,2601,4371,1071,0
55,2013,27,IPC,757,468.0,580.3302509907529,289,343,119,6,0
56,2013,29,IPC,50137,641.0,777.8877475716537,16871,17668,12353,3245,0
57,2013,30,IPC,1297,420.0,586.2752505782576,603,462,189,43,0
58,2013,31,IPC,191,345.0,492.9528795811518,98,64,25,4,0
59,2013,32,IPC,461,527.0,822.117136659436,212,84,67,98,0
