,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2014,1,1,1,MV,17,297.0,385.05882352941177,9,7,1,0,0
1,2014,1,1,2,MV,1,1689.0,1689.0,0,0,1,0,0
2,2014,1,1,3,MV,118,782.0,750.3559322033898,35,46,37,0,0
3,2014,1,1,4,MV,56,16.0,77.60714285714286,52,4,0,0,0
4,2014,1,1,5,MV,154,33.0,135.54545454545453,140,11,3,0,0
5,2014,1,1,7,MV,222,654.0,678.8468468468468,77,87,58,0,0
6,2014,1,1,8,MV,27,70.0,104.77777777777777,26,1,0,0,0
7,2014,1,1,9,MV,26,123.0,121.73076923076923,26,0,0,0,0
8,2014,1,2,1,MV,782,326.0,502.5306905370844,416,276,88,2,0
9,2014,1,2,2,MV,59,151.0,207.6949152542373,53,3,3,0,0
10,2014,1,2,4,MV,11,218.0,309.90909090909093,9,2,0,0,0
11,2014,1,2,5,MV,102,22.0,162.76470588235293,90,7,5,0,0
12,2014,1,2,6,MV,82,51.5,110.35365853658537,75,7,0,0,0
13,2014,1,2,7,MV,104,2.0,48.08653846153846,100,3,1,0,0
14,2014,1,3,2,MV,478,176.0,451.14435146443515,274,125,77,2,0
15,2014,1,3,3,MV,2743,409.0,436.667881881152,1276,1158,309,0,0
16,2014,1,3,5,MV,107,861.0,721.8598130841121,35,42,30,0,0
17,2014,1,3,6,MV,4,209.5,270.25,2,2,0,0,0
18,2014,1,3,8,MV,5,749.0,552.8,2,3,0,0,0
19,2014,1,3,9,MV,130,97.0,165.62307692307692,113,15,2,0,0
20,2014,1,3,11,MV,101,26.0,342.8514851485148,76,7,18,0,0
21,2014,1,3,12,MV,2,1097.0,1097.0,0,1,1,0,0
22,2014,1,3,13,MV,11,81.0,78.27272727272727,11,0,0,0,0
23,2014,1,3,14,MV,14,8.0,41.92857142857143,14,0,0,0,0
24,2014,1,3,15,MV,8,112.0,255.0,6,2,0,0,0
25,2014,1,3,16,MV,8,129.5,283.75,6,2,0,0,0
26,2014,1,3,17,MV,24,28.0,252.54166666666666,19,4,1,0,0
27,2014,1,3,18,MV,31,17.0,220.03225806451613,23,8,0,0,0
28,2014,1,3,19,MV,78,30.5,108.32051282051282,73,5,0,0,0
29,2014,1,4,1,MV,150,518.5,652.7466666666667,67,38,45,0,0
30,2014,1,4,2,MV,178,645.5,588.876404494382,45,123,10,0,0
31,2014,1,4,4,MV,285,246.0,308.81052631578945,156,128,1,0,0
32,2014,1,4,5,MV,95,24.0,36.63157894736842,93,2,0,0,0
33,2014,1,4,6,MV,269,114.0,228.06691449814127,222,47,0,0,0
34,2014,1,4,7,MV,166,102.0,196.47590361445782,134,29,3,0,0
35,2014,1,4,8,MV,158,32.0,34.62658227848101,156,2,0,0,0
36,2014,1,4,9,MV,79,509.0,578.3164556962025,35,30,14,0,0
37,2014,1,4,10,MV,156,135.0,332.71153846153845,111,30,15,0,0
38,2014,1,4,12,MV,153,9.0,70.50980392156863,143,9,1,0,0
39,2014,1,4,13,MV,9,524.0,498.3333333333333,2,6,1,0,0
40,2014,1,4,16,MV,14,667.0,576.0714285714286,1,13,0,0,0
41,2014,1,4,18,MV,9,592.0,690.2222222222222,1,7,1,0,0
42,2014,1,4,19,MV,53,1092.0,1063.0188679245282,1,29,23,0,0
43,2014,1,5,1,MV,194,742.0,724.7319587628866,49,108,37,0,0
44,2014,1,5,2,MV,210,580.0,571.7809523809524,77,109,23,1,0
45,2014,1,5,4,MV,973,299.0,456.3011305241521,520,360,93,0,0
46,2014,1,5,5,MV,2,257.0,257.0,2,0,0,0,0
47,2014,1,5,6,MV,6,188.0,176.5,6,0,0,0,0
48,2014,1,5,8,MV,1026,322.5,512.3255360623782,547,253,226,0,0
49,2014,1,5,9,MV,45,19.0,77.75555555555556,42,3,0,0,0
50,2014,1,5,10,MV,167,53.0,71.82035928143712,161,6,0,0,0
