,year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2010,1,MV,51484,652.0,872.9565884546655,17955,17854,7958,7717,0
1,2010,2,MV,10291,730.0,927.4569040909532,1731,5476,1939,1145,0
2,2010,3,MV,6525,446.0,552.6833716475096,2811,2959,524,231,0
3,2010,4,MV,26067,831.0,977.2203552384241,8466,7676,5204,4718,3
4,2010,5,MV,48,1996.5,2182.5,0,0,14,34,0
5,2010,6,MV,1687,1494.0,1574.339656194428,15,372,710,590,0
6,2010,7,MV,488,1939.0,1915.5819672131147,0,51,171,266,0
7,2010,8,MV,489,2144.0,2070.122699386503,25,22,128,313,1
8,2010,9,MV,1258,1862.0,1807.8672496025438,21,339,257,638,3
9,2010,10,MV,7002,1275.0,1393.4213081976577,604,2432,1648,2316,2
10,2010,11,MV,1444,1551.0,1781.6599722991689,0,49,1082,298,15
11,2010,12,MV,16,1486.5,1867.9375,0,3,6,7,0
12,2010,13,MV,4302,1948.0,1951.6401673640166,4,306,1409,2583,0
13,2010,14,MV,531,677.0,824.8757062146892,105,300,98,28,0
14,2010,15,MV,2342,1304.5,1382.1135781383432,30,202,1842,268,0
15,2010,16,MV,509,2513.0,2431.3084479371314,2,18,66,423,0
16,2010,17,MV,17191,1888.0,1755.5118375894363,2096,3169,3059,8850,17
17,2010,18,MV,149,1913.0,1879.3154362416108,6,21,39,83,0
18,2010,20,MV,101,1020.0,1211.3168316831684,0,61,22,18,0
19,2010,21,MV,28,947.0,1503.7142857142858,3,12,2,11,0
20,2010,22,MV,139,1361.0,1549.5827338129495,0,19,84,36,0
21,2010,23,MV,12746,495.0,702.2400753177468,4705,5482,1604,955,0
22,2010,24,MV,1,942.0,942.0,0,1,0,0,0
23,2010,25,MV,14,2304.0,2201.3571428571427,0,0,2,12,0
24,2010,26,MV,3939,536.0,845.4762630109165,1501,1296,564,578,0
25,2010,27,MV,297,1062.0,1014.3299663299663,5,177,115,0,0
26,2010,29,MV,5856,862.0,1038.5099043715848,451,3225,1442,738,0
27,2010,30,MV,566,859.5,756.5848056537102,123,343,91,9,0
28,2010,31,MV,23,702.0,755.6086956521739,1,19,2,1,0
29,2010,32,MV,24,481.0,884.0833333333334,7,11,2,4,0
30,2011,1,MV,60150,433.0,718.2410806317539,26155,19095,8234,6666,0
31,2011,2,MV,10503,799.0,935.038465200419,2087,4687,2567,1162,0
32,2011,3,MV,9480,370.0,507.39430379746835,4702,3622,863,293,0
33,2011,4,MV,20683,949.0,1071.5255523860176,4023,7693,5404,3563,0
34,2011,5,MV,63,1563.0,1664.952380952381,0,9,32,22,0
35,2011,6,MV,2510,950.0,1124.424701195219,76,1397,665,372,0
36,2011,7,MV,684,1684.5,1651.779239766082,10,143,236,295,0
37,2011,8,MV,603,1585.0,1654.252072968491,21,111,235,236,0
38,2011,9,MV,2200,1447.0,1427.5195454545456,274,561,642,723,0
39,2011,10,MV,9309,1220.0,1273.6370179396283,1334,2846,2638,2491,0
40,2011,11,MV,6209,1612.0,1701.1658882267675,2,324,4538,1342,3
41,2011,12,MV,76,2475.5,2595.684210526316,3,5,7,60,1
42,2011,13,MV,5470,1701.0,1662.6776965265083,173,714,2426,2157,0
43,2011,14,MV,3176,479.0,462.57934508816123,1297,1684,184,11,0
44,2011,15,MV,4843,885.0,1071.0355151765434,31,3217,1159,436,0
45,2011,16,MV,714,2139.5,2034.0742296918768,11,32,216,455,0
46,2011,17,MV,18841,1552.0,1490.5079348229924,3204,4233,3364,8040,0
47,2011,18,MV,1045,754.0,944.1196172248804,288,351,250,156,0
48,2011,20,MV,198,771.5,873.6111111111111,19,128,38,13,0
49,2011,21,MV,8,2344.0,2372.125,0,0,0,8,0
50,2011,22,MV,312,1016.5,1097.099358974359,5,192,93,22,0
51,2011,23,MV,13214,538.0,753.2218102013017,4563,5462,1920,1269,0
52,2011,24,MV,4,730.0,674.5,0,4,0,0,0
53,2011,25,MV,35,1787.0,1890.8,0,0,19,16,0
54,2011,26,MV,3811,490.0,758.8218315402781,1603,1210,543,455,0
55,2011,27,MV,439,815.0,777.9567198177676,51,327,59,2,0
56,2011,29,MV,8469,721.0,889.1660172393434,1874,3969,1743,883,0
57,2011,30,MV,502,882.0,842.316733067729,34,431,33,4,0
58,2011,31,MV,14,294.0,415.35714285714283,11,2,1,0,0
59,2011,32,MV,60,217.0,239.7,54,6,0,0,0
