,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2014,1,1,1,NI,53,461.0,602.622641509434,19,25,9,0,0
1,2014,1,1,4,NI,17,437.0,583.0,6,9,1,1,0
2,2014,1,1,5,NI,76,517.0,537.9605263157895,30,42,4,0,0
3,2014,1,1,8,NI,25,358.0,506.32,13,8,4,0,0
4,2014,1,1,9,NI,6,264.0,413.6666666666667,4,1,1,0,0
5,2014,1,1,10,NI,1,358.0,358.0,1,0,0,0,0
6,2014,1,2,2,NI,366,742.0,726.4535519125683,97,188,81,0,0
7,2014,1,2,4,NI,23,71.0,307.1304347826087,16,6,1,0,0
8,2014,1,2,5,NI,41,439.0,490.7560975609756,15,23,3,0,0
9,2014,1,2,6,NI,71,263.0,253.7605633802817,53,18,0,0,0
10,2014,1,2,7,NI,150,541.5,684.4933333333333,30,88,32,0,0
11,2014,1,3,1,NI,77,431.0,623.8961038961039,25,36,16,0,0
12,2014,1,3,2,NI,3,179.0,120.0,3,0,0,0,0
13,2014,1,3,3,NI,1299,200.0,317.2671285604311,980,245,73,1,0
14,2014,1,3,5,NI,6,632.0,619.8333333333334,2,2,2,0,0
15,2014,1,3,6,NI,203,395.0,505.58620689655174,99,86,18,0,0
16,2014,1,3,8,NI,92,732.0,752.6847826086956,7,74,11,0,0
17,2014,1,3,9,NI,193,474.0,645.0362694300518,45,102,46,0,0
18,2014,1,3,10,NI,1,27.0,27.0,1,0,0,0,0
19,2014,1,3,11,NI,282,349.0,429.8014184397163,170,99,8,5,0
20,2014,1,3,12,NI,159,421.0,526.9937106918239,72,71,16,0,0
21,2014,1,3,13,NI,42,525.0,596.3571428571429,14,25,3,0,0
22,2014,1,3,14,NI,85,926.0,813.9529411764706,17,48,19,1,0
23,2014,1,3,15,NI,40,840.5,766.5,8,27,5,0,0
24,2014,1,3,16,NI,184,552.0,622.8858695652174,56,102,23,3,0
25,2014,1,3,17,NI,47,739.0,828.2978723404256,8,27,12,0,0
26,2014,1,3,18,NI,70,457.0,485.14285714285717,10,56,4,0,0
27,2014,1,3,19,NI,93,442.0,442.6774193548387,39,50,4,0,0
28,2014,1,3,20,NI,1,486.0,486.0,0,1,0,0,0
29,2014,1,4,1,NI,3,6.0,6.0,3,0,0,0,0
30,2014,1,4,2,NI,177,846.0,903.9435028248588,8,119,48,2,0
31,2014,1,4,4,NI,92,481.0,557.3913043478261,32,48,12,0,0
32,2014,1,4,5,NI,65,654.0,583.4153846153846,21,39,5,0,0
33,2014,1,4,6,NI,28,332.0,438.7142857142857,17,9,2,0,0
34,2014,1,4,7,NI,87,1054.0,934.4942528735633,14,37,36,0,0
35,2014,1,4,8,NI,119,394.0,544.4453781512605,56,46,17,0,0
36,2014,1,4,10,NI,231,386.0,542.5844155844156,111,88,29,3,0
37,2014,1,4,12,NI,98,555.0,694.6836734693877,18,63,17,0,0
38,2014,1,4,13,NI,46,348.0,549.7391304347826,24,16,5,1,0
39,2014,1,4,16,NI,13,615.0,733.7692307692307,0,11,2,0,0
40,2014,1,4,18,NI,10,495.5,609.6,0,9,1,0,0
41,2014,1,4,19,NI,9,1400.0,1207.111111111111,0,3,6,0,0
42,2014,1,4,22,NI,50,692.5,892.38,4,33,11,2,0
43,2014,1,5,2,NI,928,793.5,780.0086206896551,251,415,255,7,0
44,2014,1,5,4,NI,64,432.0,572.5625,27,26,11,0,0
45,2014,1,5,5,NI,8,1116.5,800.75,3,1,4,0,0
46,2014,1,5,6,NI,33,387.0,582.030303030303,16,12,5,0,0
47,2014,1,5,7,NI,14,950.5,880.9285714285714,4,3,6,1,0
48,2014,1,5,8,NI,42,786.5,791.0952380952381,9,21,12,0,0
49,2014,1,5,9,NI,7,1222.0,967.4285714285714,1,2,4,0,0
50,2014,1,5,10,NI,101,520.0,649.6435643564356,37,40,23,1,0
51,2014,1,7,1,NI,1,98.0,98.0,1,0,0,0,0
52,2014,1,7,2,NI,596,723.0,810.3557046979865,153,235,205,3,0
53,2014,1,7,4,NI,101,886.0,864.1782178217821,13,65,22,1,0
54,2014,1,7,7,NI,88,882.0,861.625,16,44,26,2,0
55,2014,1,7,8,NI,32,657.0,678.75,12,14,6,0,0
56,2014,1,7,9,NI,13,492.0,532.3076923076923,5,7,1,0,0
57,2014,1,7,10,NI,42,331.0,353.42857142857144,24,17,1,0,0
58,2014,1,7,11,NI,171,565.0,775.1754385964912,55,69,35,12,0
59,2014,1,7,12,NI,15,572.0,710.5333333333333,3,9,3,0,0
60,2014,1,7,13,NI,6,601.5,735.8333333333334,3,2,1,0,0
61,2014,1,7,14,NI,4,367.5,375.25,2,2,0,0,0
62,2014,1,7,15,NI,18,165.0,300.1111111111111,11,7,0,0,0
