,year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2010,1,NI,90412,749.0,896.0898553289386,21306,39092,22168,7846,0
1,2010,2,NI,8797,1011.0,1157.680345572354,1096,3544,2635,1522,0
2,2010,3,NI,3932,737.5,956.673957273652,968,1580,838,546,0
3,2010,4,NI,14502,690.0,825.4556612880982,4116,5899,3657,830,0
4,2010,5,NI,128,2263.5,2271.25,1,3,35,89,0
5,2010,6,NI,1375,1095.0,1285.952,94,594,365,322,0
6,2010,7,NI,1368,1674.5,1817.9130116959063,0,135,726,506,1
7,2010,8,NI,22,2908.0,2429.409090909091,0,2,3,17,0
8,2010,9,NI,3837,2383.0,2296.175136825645,50,110,797,2878,2
9,2010,10,NI,957,2282.0,2185.574712643678,21,52,167,717,0
10,2010,11,NI,364,1597.0,1490.6923076923076,14,114,130,105,1
11,2010,12,NI,36,2741.5,2254.4444444444443,0,8,2,26,0
12,2010,13,NI,1110,2373.5,2283.592792792793,0,56,208,846,0
13,2010,14,NI,1805,1303.0,1304.182271468144,31,656,858,260,0
14,2010,15,NI,961,1542.0,1649.585848074922,7,139,543,272,0
15,2010,16,NI,264,2706.0,2645.2045454545455,0,0,19,239,6
16,2010,17,NI,27090,1528.0,1428.0388335179032,3334,6518,9260,7973,5
17,2010,18,NI,292,2742.0,2645.003424657534,1,4,15,272,0
18,2010,20,NI,1,1924.0,1924.0,0,0,0,1,0
19,2010,21,NI,6,320.0,448.3333333333333,4,2,0,0,0
20,2010,22,NI,1075,1449.0,1430.4455813953489,19,281,510,265,0
21,2010,23,NI,14787,1220.0,1332.0115642118076,1396,5204,4626,3560,1
22,2010,26,NI,7923,851.0,1023.0335731414868,1826,3131,1756,1207,3
23,2010,27,NI,1141,774.0,866.7589833479404,55,885,139,62,0
24,2010,29,NI,10630,646.0,793.7445907808091,1776,6530,1780,544,0
25,2010,30,NI,1324,377.0,551.1525679758308,642,506,137,39,0
26,2010,31,NI,50,1507.0,1449.38,2,10,28,10,0
27,2010,32,NI,87,1079.0,1167.7701149425288,2,42,36,7,0
28,2011,1,NI,63149,651.0,818.5080048773535,19396,25053,13053,5647,0
29,2011,2,NI,10542,974.0,1016.1585088218554,1747,4383,2978,1433,1
30,2011,3,NI,3599,783.0,940.1731036399,747,1532,903,417,0
31,2011,4,NI,13487,748.0,807.8465930154964,3459,6037,3349,642,0
32,2011,5,NI,141,2354.0,2155.3900709219856,0,3,43,95,0
33,2011,6,NI,1208,1009.0,1049.1150662251655,145,498,380,185,0
34,2011,7,NI,1615,1407.0,1558.687306501548,2,358,730,525,0
35,2011,8,NI,27,2599.0,2349.925925925926,0,0,7,20,0
36,2011,9,NI,4102,1953.0,1851.4670892247684,84,488,1307,2223,0
37,2011,10,NI,1022,2055.0,1957.930528375734,39,27,303,653,0
38,2011,11,NI,789,1237.0,1219.8605830164765,16,220,441,112,0
39,2011,12,NI,78,2447.0,2176.628205128205,3,8,4,63,0
40,2011,13,NI,1247,1893.0,1892.2221331194867,6,86,413,742,0
41,2011,14,NI,3513,1066.0,981.77853686308,691,1184,1449,189,0
42,2011,15,NI,1351,1176.0,1308.7727609178387,13,580,489,269,0
43,2011,16,NI,352,2400.5,2336.5142045454545,0,5,73,274,0
44,2011,17,NI,27308,1205.0,1131.7607660758752,5415,6546,10804,4543,0
45,2011,18,NI,1550,1660.5,1498.701935483871,325,247,235,743,0
46,2011,20,NI,5,1691.0,1576.4,0,2,1,2,0
47,2011,21,NI,1,3070.0,3070.0,0,0,0,1,0
48,2011,22,NI,2061,1162.0,1155.6356137797186,208,721,890,242,0
49,2011,23,NI,9361,1278.0,1348.030445465228,744,2832,3426,2359,0
50,2011,24,NI,4,874.0,892.75,0,4,0,0,0
51,2011,25,NI,2,1574.5,1574.5,0,0,2,0,0
52,2011,26,NI,6816,966.0,1083.0674882629107,1511,2367,1588,1350,0
53,2011,27,NI,2004,384.0,493.24700598802394,944,845,192,23,0
54,2011,29,NI,6889,522.0,700.8128901146756,2457,3017,959,456,0
55,2011,30,NI,1245,393.0,576.4875502008032,594,439,173,39,0
56,2011,31,NI,55,1120.0,1055.9636363636364,10,14,26,5,0
57,2011,32,NI,94,665.0,765.3829787234042,23,50,17,4,0
