,state_code,dist_code,court_no,state_name,district_name,court_name
0,1,3,2,Maharashtra,Jalgaon,DISTRICT AND SESSIONS COURT JALGAON
1,1,3,5,Maharashtra,Jalgaon,DISTRICT COURT 1 AND ADDL. SESSIONS COURT
2,1,4,1,Maharashtra,Buldhana,DISTRICT COURT
3,1,3,20,Maharashtra,Jalgaon,District and Additional Session Court
4,1,7,1,Maharashtra,Amravati,DISTRICT  AND SESSIONS COURT AMRAVATI
5,1,13,13,Maharashtra,Chandrapur,District Judge-1 and ASJ Warora
6,1,9,1,Maharashtra,Nagpur,DISTRICT  AND  SESSIONS COURT NAGPUR
7,1,5,5,Maharashtra,Akola,District Judge - 1
8,1,17,4,Maharashtra,Parbhani,District Judge 1 and Addl.Sessions Court
9,1,14,1,Maharashtra,Yavatmal,District and Sessions Court
10,1,13,1,Maharashtra,Chandrapur,DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.
11,1,20,7,Maharashtra,Nashik,DISTRICT COURT
12,1,20,9,Maharashtra,Nashik,ADDITIONAL DISTRICT AND SESSIONS COURT
13,1,15,2,Maharashtra,Nanded,DISTRICT  AND SESSIONS COURT NANDED
14,1,15,16,Maharashtra,Nanded,DIST. JUDGE-1  ADDL. SESSIONS JUDGE BILOLI
15,26,8,1,Delhi,Central,District and Sessions Judge
16,27,1,1,Chandigarh,Chandigarh,DISTRICT AND SESSIONS COURT CHANDIGARH
17,29,9,1,Telangana,Rangareddy,Prl.District and Sessions Court
18,31,1,1,Diu and Daman,Diu,DISTRICT AND SESSIONS COURT
19,31,2,1,Diu and Daman,Daman,DISTRICT AND SESSIONS COURT
20,32,1,1,DNH at Silvasa,Silvassa,PRINCIPAL DISTRICT AND SESSIONS COURT AT
21,14,5,1,Haryana,Faridabad,District and Sessions Courts
24,14,7,2,Haryana,Hisar,District and Sessions Court
25,14,8,1,Haryana,Jhajjar,District and Sessions Courts
28,14,13,1,Haryana,Sonepat,District and Sessions Courts
30,14,14,1,Haryana,Panchkula,DISTRICT AND  SESSIONS COURTS
32,14,17,1,Haryana,Rewari,District and Sessions Court
33,22,3,1,Punjab,Rupnagar,District and Sessions Court
36,22,16,1,Punjab,Barnala,District and Sessions Court
38,24,4,2,Sikkim,Gangtok,District and Sessions Court
