state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days,state_name,district_name,court_name
10.0,9.0,5.0,21595.0,19789.0,5.0,75.9204608620951,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi"
10.0,7.0,7.0,16154.0,16051.0,5.0,135.147965858825,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court
17.0,14.0,19.0,4942.0,4882.0,5.0,115.03318312167143,Gujarat,SURAT,bardoli_addldj Court
9.0,25.0,6.0,3202.0,2771.0,5.0,195.5716347888849,Rajasthan,Banswara,DJ ADJ Banswara District HQ
17.0,35.0,1.0,17710.0,17689.0,6.0,209.7773757702527,Gujarat,Valsad,valsad_district Court
10.0,3.0,12.0,40286.0,40234.0,6.0,70.7181736839489,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli"
10.0,8.0,9.0,18930.0,18903.0,6.0,116.55805956726444,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment
17.0,36.0,1.0,10153.0,10037.0,6.0,204.2339344425625,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR"
9.0,20.0,8.0,16393.0,13865.0,7.0,185.87609087630725,Rajasthan,Kota,DJ ADJ - Kota HQ
9.0,19.0,9.0,7473.0,6593.0,7.0,187.36447747611103,Rajasthan,Pali,DJ ADJ SCST-PALI DISTRICT HQ
10.0,15.0,3.0,33566.0,31387.0,7.0,120.16360276547616,Tamil Nadu,Madurai,Principal District Judge
9.0,24.0,5.0,5696.0,5404.0,8.0,181.5649518874908,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ
9.0,10.0,5.0,9668.0,8054.0,8.0,175.2518003476533,Rajasthan,Bundi,DJ ADJ - Bundi HQ
10.0,17.0,1.0,22832.0,22010.0,8.0,103.65365742844162,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR"
3.0,11.0,1.0,25652.0,24803.0,9.0,98.94057170503568,Karnataka,HAVERI,Prl District and Sessions Judge
2.0,10.0,30.0,815.0,815.0,872.0,968.4846625766874,Andhra Pradesh,Kurnool,"V Addl.District Court Complex,Allagadda"
13.0,10.0,9.0,200.0,200.0,874.5,1012.59,Uttar Pradesh,Lakhimpur,District and Sessions Judge
11.0,29.0,9.0,272.0,271.0,927.0,1021.0922509225093,Orissa,Bargarh,Addl. District and Sessions Judge Padampur
2.0,11.0,19.0,1698.0,1698.0,964.0,1089.9358068315669,Andhra Pradesh,Krishna,"XI Addl District Court, GUDIVADA"
2.0,4.0,22.0,1137.0,1137.0,965.0,1010.8698328935795,Andhra Pradesh,East Godavari,XII Addl. District and Sessions Judges court
2.0,4.0,34.0,122.0,122.0,999.5,1080.770491803279,Andhra Pradesh,East Godavari,"VII ADDL. DISTRICT AND SESSIONS COURT, PEDDAPURAM"
2.0,7.0,15.0,2094.0,2094.0,1001.5,1147.6914995224452,Andhra Pradesh,Kadapa,"II Additional District  Court, Proddatur"
29.0,7.0,8.0,233.0,232.0,1039.0,1198.8491379310346,Telangana,Nalgonda,V Addl District and Sessions Judge Court
29.0,1.0,25.0,147.0,147.0,1077.0,1180.3537414965986,Telangana,Adilabad,VII Addl. District and Sessions Judge Court
10.0,6.0,16.0,149.0,149.0,1149.0,1300.711409395973,Tamil Nadu,Nagapattinam,"Additional District Court, Mayiladuthurai"
9.0,2.0,61.0,153.0,153.0,1156.0,1325.0849673202615,Rajasthan,Alwar,ADJ Mundawar HQ
2.0,15.0,10.0,957.0,957.0,1158.0,1305.2800417972833,Andhra Pradesh,Nellore,VII Addl. District and Session Court
21.0,5.0,2.0,171.0,148.0,1183.0,1227.7162162162165,Meghalaya,Ri Bhoi,District and Sessions Judge Nongpoh
9.0,38.0,34.0,1067.0,899.0,1310.0,1439.515016685206,Rajasthan,Jaipur District,ADJ-Kotputli
8.0,1.0,11.0,153.0,153.0,1750.0,1714.0261437908496,Bihar,Patna,Barh D.J Div.
13.0,2.0,10.0,619.0,539.0,5.0,247.58441558441558,Uttar Pradesh,Bareilly,acjmnerbly
10.0,29.0,11.0,9054.0,8780.0,7.0,163.7389521640091,Tamil Nadu,Sivagangai,CHIEF JUDICIAL MAGISTRATE
13.0,64.0,3.0,12152.0,11388.0,12.0,173.89866526167896,Uttar Pradesh,Hamirpur,Chief Judicial Magistrate
13.0,27.0,9.0,17212.0,8091.0,15.0,55.34383883327153,Uttar Pradesh,Varanasi,ACJM NR
13.0,50.0,3.0,29856.0,25589.0,16.0,419.55394896244485,Uttar Pradesh,Gonda,CJM
13.0,49.0,3.0,36895.0,34198.0,16.0,212.08529738581203,Uttar Pradesh,Faizabad,CJM court Faizabad
13.0,36.0,3.0,53179.0,49982.0,16.0,138.01840662638548,Uttar Pradesh,Barabanki,Chief Judicial Magistrate
13.0,73.0,4.0,20387.0,19921.0,18.0,376.9707344008835,Uttar Pradesh,Hapur,Chief Judicial Magistrate
13.0,31.0,5.0,60647.0,58835.0,19.0,226.02843545508625,Uttar Pradesh,Pratapgarh,Chief Judicial Magistrate
12.0,15.0,3.0,1549.0,1329.0,19.0,120.35816403310758,Jammu and Kashmir,Doda,Chief Judicial Magistrate
16.0,18.0,3.0,9496.0,9169.0,19.0,304.53648162285964,West Bengal,Purba Bardhaman,CHIEF JUDICIAL MAGISTRATE
13.0,38.0,3.0,16978.0,13278.0,21.0,155.76336797710502,Uttar Pradesh,Mahoba,Chief Judicial Magistrate
10.0,5.0,5.0,31802.0,24834.0,22.0,290.05315293549165,Tamil Nadu,Namakkal,Chief Judicial Magistrate
13.0,66.0,3.0,72007.0,55460.0,22.0,213.77861521817528,Uttar Pradesh,Jhansi,Chief Judicial Magistrate
16.0,17.0,3.0,4857.0,3975.0,24.0,227.79899371069183,West Bengal,Darjeeling,Chief Judicial Magistrate
8.0,38.0,2.0,2554.0,2554.0,1313.5,1462.3649177760376,Bihar,Muzaffarpur,CJM Division
8.0,12.0,5.0,587.0,587.0,1329.0,1430.2316865417374,Bihar,Madhepura,Uda-Kishunganj CJM Division
8.0,1.0,12.0,1298.0,1298.0,1366.5,1459.1633281972265,Bihar,Patna,Barh CJM Div.
8.0,31.0,4.0,365.0,365.0,1388.0,1187.5205479452056,Bihar,Sitamarhi,Pupri CJM Division
8.0,36.0,5.0,426.0,426.0,1391.0,1566.075117370892,Bihar,Jehanabad,Arwal CJM Division
9.0,22.0,31.0,226.0,226.0,1413.0,1592.4823008849555,Rajasthan,Jhalawar,ACJM Manoharthana Jhalawar District
8.0,37.0,2.0,476.0,476.0,1414.0,1470.0441176470588,Bihar,Sheohar,Sheohar CJM Div.
9.0,39.0,2.0,454.0,453.0,1428.0,1402.7637969094924,Rajasthan,Jodhpur District,CJM ACJM JM-Jodhpur District HQ
18.0,21.0,4.0,6047.0,5105.0,1554.0,1516.113222331048,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur
11.0,27.0,3.0,8747.0,8607.0,1569.0,1591.6506332055303,Orissa,Anugul,"Chief Judicial Magistrate, Anugul"
8.0,17.0,9.0,311.0,311.0,1629.0,1659.0771704180065,Bihar,Darbhanga,Biraul CJM Division
9.0,38.0,35.0,412.0,411.0,1827.0,1781.30900243309,Rajasthan,Jaipur District,ACJM JM-Kotputli
8.0,9.0,8.0,292.0,292.0,1926.0,1810.2739726027398,Bihar,Purnea,CJM Division
8.0,6.0,11.0,385.0,385.0,1927.0,2053.0675324675326,Bihar,Begusarai,Balia CJM Division
8.0,1.0,15.0,170.0,170.0,2320.0,2099.605882352941,Bihar,Patna,Masaurhi CJM Div.
3.0,20.0,2.0,400678.0,293816.0,135.0,308.03465774498324,Karnataka,BENGALURU,Chief Metropolitan Magistrate Court
3.0,20.0,8.0,65237.0,58406.0,197.0,314.9318734376605,Karnataka,BENGALURU,"AddlChief Metropolitan Magistrate Court, Bengaluru"
26.0,11.0,2.0,68454.0,63435.0,217.0,437.919870733822,Delhi,South East,"Chief Metropolitan Magistrate, South-East, Saket"
26.0,10.0,2.0,49417.0,46455.0,225.0,370.87090732967386,Delhi,South,"Chief Metropolitan Magistrate, South, Saket"
1.0,23.0,10.0,90622.0,79389.0,232.0,360.45741853405366,Maharashtra,Mumbai CMM Courts,ADDL. CHIEF METROPOLITAN MAGISTRATE COURT
29.0,2.0,3.0,103723.0,102961.0,276.0,485.77667272073893,Telangana,Hyderabad,Chief Metropolitan Magistrate
26.0,8.0,2.0,72056.0,69901.0,281.0,498.0201856911918,Delhi,Central,"Chief Metropolitan Magistrate, Central, THC"
26.0,6.0,2.0,107588.0,107247.0,303.0,389.09829645584495,Delhi,South West,"Chief Metropolitan Magistrate, South-West, DWK"
26.0,4.0,2.0,22703.0,21631.0,314.0,562.7289538162822,Delhi,North,"Chief Metropolitan Magistrate, North, RHC"
29.0,2.0,18.0,376.0,376.0,318.0,401.6728723404257,Telangana,Hyderabad,V ADDL. CMM
9.0,4.0,32.0,9860.0,5620.0,331.0,434.01423487544486,Rajasthan,Jaipur Metro,CMM ACMM MM BASSI COURT COMPLEX
9.0,4.0,31.0,20498.0,20490.0,338.0,398.6021473889703,Rajasthan,Jaipur Metro I,CMM ACMM Nagar Nigam Court Complex Jaipur Metro
26.0,5.0,2.0,25727.0,24789.0,356.0,556.6456896203962,Delhi,North West,"Chief Metropolitan Magistrate, North-West, RHC"
10.0,13.0,17.0,12264.0,12134.0,383.0,731.1431514751938,Tamil Nadu,Chennai,"Chief Metropolitan Magistratre Court, Egmore, Ch-8"
26.0,9.0,2.0,39122.0,38392.0,403.0,588.4590018753908,Delhi,West,"Chief Metropolitan Magistrate, West, THC"
1.0,23.0,1.0,44471.0,39321.0,431.0,564.0120800590015,Maharashtra,Mumbai CMM Courts,"CMM COURT, ESPLANADE COURT, MUMBAI"
26.0,3.0,2.0,24498.0,23003.0,436.0,630.9365734904143,Delhi,East,"Chief Metropolitan Magistrate, East, KKD"
29.0,2.0,24.0,18739.0,18612.0,455.0,656.7607457554267,Telangana,Hyderabad,X Addl Chief Metropolitan Magistrate  Secunderabad
2.0,11.0,5.0,38357.0,37780.0,463.0,614.560878771837,Andhra Pradesh,Krishna,"Chief Metropolitan Magistrate, Vijayawada"
13.0,19.0,3.0,26098.0,25821.0,474.0,662.1598698733587,Uttar Pradesh,Kanpur Nagar,Chief Metropolitan Magistrate
