year,state_code,dist_code,court_no,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
2010,10.0,9.0,5.0,24,1977.5,1804.2083333333333,3,0,7,14,0
2010,10.0,7.0,7.0,53,2854.0,2829.0,0,0,0,53,0
2010,13.0,2.0,10.0,4,2871.5,2853.5,0,0,0,4,0
2010,17.0,14.0,19.0,1,2475.0,2475.0,0,0,0,1,0
2010,9.0,25.0,6.0,4,2459.5,2442.75,0,0,0,4,0
2010,17.0,35.0,1.0,664,552.5,945.9292168674699,262,153,133,116,0
2010,10.0,3.0,12.0,25,2005.0,1808.32,4,3,3,15,0
2010,10.0,8.0,9.0,11,2408.0,2424.6363636363635,0,0,1,10,0
2010,17.0,36.0,1.0,521,525.0,834.806142034549,228,128,82,83,0
2010,10.0,29.0,11.0,13,1710.0,1671.6153846153845,2,3,2,6,0
2010,9.0,20.0,8.0,59,2773.0,2746.9661016949153,0,0,1,57,1
2010,9.0,19.0,9.0,23,2789.0,2694.7391304347825,0,0,0,23,0
2010,10.0,15.0,3.0,59,2345.0,2243.169491525424,2,2,5,50,0
2010,9.0,24.0,5.0,40,972.0,1189.55,0,25,10,5,0
2010,9.0,4.0,24.0,5,1943.0,2132.8,0,0,0,5,0
2010,9.0,10.0,5.0,39,2753.0,2396.102564102564,0,5,4,30,0
2010,10.0,17.0,1.0,20,2250.0,2158.55,0,1,5,14,0
2010,3.0,11.0,1.0,544,647.0,628.5974264705883,213,257,65,9,0
2010,3.0,22.0,1.0,26,1596.5,1464.2307692307693,2,6,8,10,0
2010,9.0,40.0,19.0,6,2134.0,2356.1666666666665,0,0,0,6,0
2010,17.0,29.0,18.0,43,2313.0,2392.0232558139537,0,0,1,42,0
2010,13.0,39.0,9.0,4,2377.5,2383.5,0,0,0,4,0
2010,17.0,39.0,1.0,34,1338.5,1543.9411764705883,0,14,5,15,0
2010,9.0,39.0,1.0,8,2520.0,2561.625,0,0,0,8,0
2010,17.0,13.0,18.0,126,398.0,562.3492063492064,57,53,8,8,0
2010,10.0,10.0,27.0,1,1803.0,1803.0,0,0,1,0,0
2010,13.0,64.0,3.0,22,1898.0,2008.3636363636363,1,0,8,13,0
2010,17.0,14.0,1.0,917,1699.0,1680.4176663031624,41,255,196,425,0
2010,17.0,38.0,7.0,5,2758.0,2559.2,0,0,0,5,0
2010,26.0,2.0,1.0,385,728.0,843.7896103896104,87,197,73,28,0
2010,9.0,1.0,11.0,25,2715.0,2582.2,0,0,0,25,0
2010,10.0,3.0,16.0,2,286.0,286.0,2,0,0,0,0
2010,6.0,19.0,1.0,80,1380.5,1467.025,0,27,31,22,0
2010,9.0,32.0,4.0,165,2349.0,2352.672727272727,0,0,0,165,0
2010,3.0,30.0,1.0,80,20.0,386.5625,63,8,0,9,0
2010,3.0,15.0,1.0,109,62.0,686.1559633027523,68,15,1,25,0
2010,17.0,32.0,1.0,679,453.0,869.8969072164948,310,155,80,134,0
2010,17.0,41.0,1.0,209,2516.0,2498.0143540669856,0,3,16,190,0
2010,16.0,2.0,7.0,56,2385.0,2453.964285714286,0,0,6,50,0
2010,8.0,12.0,2.0,215,2053.0,2111.9953488372093,0,3,82,130,0
2010,3.0,18.0,1.0,2620,22.0,273.69198473282444,1677,839,83,21,0
2010,3.0,28.0,1.0,33,143.0,359.24242424242425,29,1,1,2,0
2010,13.0,27.0,9.0,7,3017.0,2796.285714285714,0,0,1,6,0
2010,6.0,20.0,1.0,147,844.0,1012.6122448979592,5,87,45,10,0
2010,6.0,10.0,2.0,242,965.5,1229.0082644628098,12,120,51,59,0
2010,3.0,16.0,1.0,936,15.0,168.65918803418805,800,115,8,13,0
2010,11.0,20.0,2.0,1,2539.0,2539.0,0,0,0,1,0
2010,8.0,30.0,1.0,69,2409.0,2344.1884057971015,0,0,10,59,0
2010,13.0,50.0,3.0,625,2598.0,2531.2384,0,0,7,618,0
2010,8.0,14.0,1.0,211,1975.0,1963.568720379147,0,2,83,126,0
2010,13.0,20.0,2.0,54,2378.0,2435.3703703703704,1,0,6,47,0
2010,13.0,49.0,3.0,391,1615.0,1570.7161125319692,0,112,169,110,0
2010,13.0,36.0,3.0,35,2272.0,2352.6285714285714,0,0,4,31,0
2010,16.0,13.0,2.0,13,2657.0,2399.076923076923,1,0,2,10,0
2010,17.0,34.0,1.0,170,1326.0,1583.0470588235294,0,45,82,43,0
2010,6.0,5.0,2.0,40,746.0,1011.7,2,26,5,7,0
2010,10.0,11.0,6.0,4,2231.0,2353.25,0,0,0,4,0
2010,11.0,22.0,4.0,21,1926.0,1924.4761904761904,0,0,9,12,0
2010,3.0,14.0,1.0,991,389.0,356.7941473259334,474,506,9,2,0
2010,4.0,2.0,1.0,6364,37.0,239.92960402262727,5138,692,511,23,0
2010,11.0,16.0,6.0,14,1851.5,1998.5,0,0,7,7,0
2010,11.0,5.0,2.0,36,2566.0,2472.027777777778,0,0,3,33,0
2010,24.0,4.0,2.0,7,1158.0,1069.0,0,3,4,0,0
2010,16.0,20.0,11.0,4,2484.0,2470.5,0,0,0,4,0
2010,8.0,24.0,1.0,224,2358.0,2337.745535714286,0,0,46,178,0
2010,3.0,21.0,1.0,412,1214.5,1343.1456310679612,18,167,128,99,0
2010,3.0,2.0,1.0,54,15.0,262.75925925925924,41,9,1,3,0
2010,11.0,18.0,2.0,14,2352.5,2342.0714285714284,0,0,1,13,0
2010,13.0,35.0,2.0,7,2891.0,2817.1428571428573,0,0,0,7,0
2010,7.0,14.0,1.0,58,1952.5,1988.5689655172414,0,0,27,31,0
