state_code,dist_code,court_no,num_cases,A_count,B_count,C_count,D_count,E_count
1,1,1,8828,4061,3523,1088,156,0
1,1,3,4206,2552,960,526,168,0
1,1,7,4975,2645,1155,777,398,0
1,2,1,24070,14313,4615,2898,2244,0
1,2,2,25124,9750,10108,3777,1489,0
1,3,2,26526,18824,4729,1947,1026,0
1,3,3,47689,22788,19839,3774,1288,0
1,4,1,12570,8478,2249,1108,735,0
1,4,2,16437,7997,6234,1817,389,0
1,5,1,18249,12039,3667,1720,823,0
1,5,2,37537,16783,12131,5689,2934,0
1,7,1,23727,15240,3952,2804,1731,0
1,7,2,40254,18013,12690,6536,3015,0
1,8,1,19955,14236,3597,1671,451,0
1,8,2,51048,28638,19479,2445,486,0
1,8,11,1348,1180,168,0,0,0
1,9,1,62760,41488,12438,4849,3985,0
1,9,2,121797,68756,36216,11385,5440,0
1,10,1,8098,4523,1920,1130,525,0
1,10,2,15550,7864,6044,1325,317,0
1,11,3,5008,3250,1177,452,129,0
1,11,4,16334,8160,5850,1567,757,0
1,12,1,7574,5299,1741,436,98,0
1,12,2,9047,7958,975,90,24,0
1,13,1,11939,8050,2269,972,648,0
1,13,2,23758,12131,8244,2678,705,0
1,14,1,14588,9550,3285,1352,401,0
1,14,2,32690,16044,12699,3051,896,0
1,15,2,18837,12036,3563,1847,1391,0
1,17,1,18567,11064,4025,2367,1111,0
1,17,2,19872,8897,8274,2108,593,0
1,18,1,21442,13513,5237,1817,875,0
1,18,2,21759,8634,8263,3441,1421,0
1,19,3,70395,33977,26184,7959,2275,0
1,19,4,47338,30772,9280,4469,2817,0
1,20,1,36749,23625,8698,3136,1290,0
1,20,3,39333,16515,13744,5326,3748,0
1,20,9,9051,5966,1977,715,393,0
1,21,1,48991,35324,8675,3647,1345,0
1,21,2,14724,9948,3839,718,219,0
1,21,25,17065,13244,2316,881,624,0
1,21,28,4816,3121,882,489,324,0
1,23,1,39321,17891,15194,5151,1085,0
1,23,3,14652,6643,5251,2009,749,0
1,23,6,51838,23710,20413,5158,2557,0
1,23,9,42938,17082,16890,6386,2580,0
1,23,10,79389,52772,22053,2785,1779,0
1,23,15,18097,7440,5690,2608,2359,0
1,24,1,17577,12935,2565,1223,854,0
1,24,2,3173,2191,653,250,79,0
1,25,1,75259,56633,12289,4329,2008,0
1,25,4,14129,9805,2192,1159,973,0
1,25,24,4646,3303,1089,249,5,0
1,26,1,37737,23343,6924,4421,3049,0
1,26,2,36093,16390,13844,4449,1410,0
1,26,9,4536,2773,1144,451,168,0
1,27,1,31684,18105,7358,4687,1534,0
1,27,2,24872,12554,8728,2694,896,0
1,28,1,15913,8713,4908,1572,720,0
1,28,2,21583,9788,8540,2584,671,0
1,28,11,3229,1717,856,407,249,0
1,28,12,2412,1357,616,285,154,0
1,28,13,3097,1596,1114,264,123,0
1,29,1,24438,13770,6858,3201,609,0
1,29,2,14985,5933,5556,2550,946,0
1,30,12,4283,2810,981,356,136,0
1,30,21,4168,2766,1094,307,1,0
1,31,1,20470,12054,4642,2387,1387,0
1,31,3,35387,24296,7567,2698,826,0
1,31,7,4671,1939,1348,749,635,0
1,31,17,3706,2279,669,406,352,0
1,32,1,5071,2888,1550,431,202,0
