state_name,district
Andhra Pradesh,Kadapa
Andhra Pradesh,Nellore
Andhra Pradesh,Ananthapur
Andhra Pradesh,Chittoor
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Prakasham
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,West Godavari
Assam,Baksa
Assam,Barpeta
Assam,Bongaigaon
Assam,Cachar
Assam,Chirang
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Dima Hasao
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Jorhat
Assam,Kamrup
Assam,Kamrup Metro
Assam,Karbi Anglong
Assam,Karimganj
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Morigaon
Assam,Nagaon
Assam,Nalbari
Assam,Sivasagar
Assam,Sonitpur
Assam,Tinsukia
Assam,Udalguri
Bihar,Motihari
Bihar,Saran at Chapra
Bihar,Bettiah
Bihar,Rohtas Sasaram
Bihar,Araria
Bihar,Aurangabad
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Kaimur at Bhabhua
Bihar,Katihar
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Madhubani
Bihar,Munger
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Patna
Bihar,Purnea
Bihar,Saharsa
Bihar,Samastipur
Bihar,Sheikhpura
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Siwan
Bihar,Supaul
Bihar,Vaishali
Chandigarh,Chandigarh
Chhattisgarh,Janjgir
Chhattisgarh,Bemetara
Chhattisgarh,Mungeli
Chhattisgarh,Balrampur Ramanujganj
Chhattisgarh,Kondagaon
Chhattisgarh,Balodabazar
Chhattisgarh,Kawardha
Chhattisgarh,Balod
Chhattisgarh,Dantewada
Chhattisgarh,Surajpur
Chhattisgarh,Kanker
Chhattisgarh,Bastar
Chhattisgarh,Bilaspur
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Jashpur
Chhattisgarh,Korba
Chhattisgarh,Koriya
Chhattisgarh,Mahasamund
Chhattisgarh,Raigarh
Chhattisgarh,Raipur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Surguja
Delhi,Shahdara
Delhi,Central
Delhi,East
Delhi,New Delhi
Delhi,North
Delhi,North East
Delhi,North West
Delhi,South
Delhi,South West
Delhi,South East
Delhi,West
Diu and Daman,Daman
Diu and Daman,Diu
DNH at Silvasa,Silvassa
Goa,North Goa
Goa,South Goa
Gujarat,Aravalli at Modasa
Gujarat,Sabarkantha at Himmatnagar
Gujarat,Banaskanth at Palanpur
Gujarat,Gir Somnath at Veraval
Gujarat,Chhota Udepur
Gujarat,Devbhumi Dwarka at Khambhaliya
Gujarat,Mahisagar at Lunawada
Gujarat,Panchmahal at Godhra
Gujarat,BOTAD
Gujarat,Kheda at Nadiad
Gujarat,MORBI
Gujarat,kachchh at Bhuj
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Anand
Gujarat,Bharuch
Gujarat,Bhavnagar
Gujarat,Dahod
Gujarat,GANDHINAGAR
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Mahesana
Gujarat,Narmada
Gujarat,Navsari
Gujarat,Patan
Gujarat,Porbandar
Gujarat,RAJKOT
Gujarat,SURAT
Gujarat,Surendranagar
Gujarat,Tapi
Gujarat,Vadodara
Gujarat,Valsad
Haryana,Narnaul
Haryana,Gurugram
Haryana,Nuh
Haryana,Ambala
Haryana,Bhiwani
Haryana,Faridabad
Haryana,Fatehabad
Haryana,Hisar
Haryana,Jhajjar
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Palwal
Haryana,Panchkula
Haryana,Panipat
Haryana,Rewari
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonepat
Haryana,Yamunanagar
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Hamirpur
Himachal Pradesh,Kangra
Himachal Pradesh,Kinnaur
Himachal Pradesh,Kullu
Himachal Pradesh,Mandi
Himachal Pradesh,Shimla
Himachal Pradesh,Sirmaur
Himachal Pradesh,Solan
Himachal Pradesh,Una
Jammu and Kashmir,Leh
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Budgam
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Doda
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Jammu
Jammu and Kashmir,Kargil
Jammu and Kashmir,Kathua
Jammu and Kashmir,Kishtwar
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Pulwama
Jammu and Kashmir,Poonch
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Ramban
Jammu and Kashmir,Reasi
Jammu and Kashmir,Samba
Jammu and Kashmir,Shopian
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Udhampur
Jharkhand,Seraikella
Jharkhand,West Singhbhum at Chaibasa
Jharkhand,East Singhbhum at Jamshedpur
Jharkhand,Daltonganj
Jharkhand,Bokaro
Jharkhand,Chatra
Jharkhand,Deoghar
Jharkhand,Dhanbad
Jharkhand,Dumka
Jharkhand,Garhwa
Jharkhand,Giridih
Jharkhand,Godda
Jharkhand,Gumla
Jharkhand,Hazaribagh
Jharkhand,Jamtara
Jharkhand,KHUNTI
Jharkhand,Koderma
Jharkhand,Latehar
Jharkhand,Lohardaga
Jharkhand,Pakur
Jharkhand,RAMGARH
Jharkhand,Ranchi
Jharkhand,Sahibganj
Jharkhand,Simdega
Karnataka,VIJAYAPURA
Karnataka,KALABURAGI
Karnataka,BELAGAVI
Karnataka,BAGALKOT
Karnataka,BENGALURU
Karnataka,BENGALURU RURAL
Karnataka,BALLARI
Karnataka,BIDAR
Karnataka,CHAMRAJNAGAR
Karnataka,CHIKKABALLAPUR
Karnataka,CHIKKAMAGALURU
Karnataka,CHITRADURGA
Karnataka,DAKSHINA KANNADA
Karnataka,DAVANGERE
Karnataka,DHARWAD
Karnataka,GADAG
Karnataka,HASSAN
Karnataka,HAVERI
Karnataka,KODAGU
Karnataka,KOLAR
Karnataka,KOPPAL
