,state_code,dist_code,court_no,state_name,district_name,court_name
0,1,1,3,Maharashtra,Nandurbar,DISTRICT AND SESSIONS COURT
1,1,1,7,Maharashtra,Nandurbar,Additional District  And Sessions Court Shahada
2,1,2,1,Maharashtra,Dhule,DISTRICT AND SESSIONS COURT
3,1,3,2,Maharashtra,Jalgaon,DISTRICT AND SESSIONS COURT JALGAON
4,1,3,5,Maharashtra,Jalgaon,DISTRICT COURT 1 AND ADDL. SESSIONS COURT
5,1,4,1,Maharashtra,Buldhana,DISTRICT COURT
6,1,4,14,Maharashtra,Buldhana,District Judge and Addl. Sessions Judge
7,1,5,1,Maharashtra,Akola,Principal District and Sessions Judge
8,1,5,5,Maharashtra,Akola,District Judge - 1
9,1,7,1,Maharashtra,Amravati,DISTRICT  AND SESSIONS COURT AMRAVATI
10,1,7,6,Maharashtra,Amravati,COURT OF DISTRICT JUDGE-1 ACHALPUR
11,1,8,1,Maharashtra,Wardha,DISTRICT AND SESSIONS COURT WARDHA.
12,1,9,1,Maharashtra,Nagpur,DISTRICT  AND  SESSIONS COURT NAGPUR
13,1,10,1,Maharashtra,Bhandara,DISTRICT  SESSIONS COURT BHANDARA
14,1,11,3,Maharashtra,Gondia,DISTRICT COURT
15,1,12,1,Maharashtra,Gadchiroli,DISTRICT AND SESSIONS COURT GADCHIROLI.
16,1,13,1,Maharashtra,Chandrapur,DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.
17,1,13,13,Maharashtra,Chandrapur,District Judge-1 and ASJ Warora
18,1,14,1,Maharashtra,Yavatmal,District and Sessions Court
19,1,14,6,Maharashtra,Yavatmal,Court of District Judge-1 and A.S.J. Darwha
20,1,14,12,Maharashtra,Yavatmal,DISTRICT JUDGE-1 And ADDL. SESSIONS JUDGE
21,1,14,17,Maharashtra,Yavatmal,DISTRICT  SESSIONS COURT PUSAD
22,1,15,2,Maharashtra,Nanded,DISTRICT  AND SESSIONS COURT NANDED
23,1,15,16,Maharashtra,Nanded,DIST. JUDGE-1  ADDL. SESSIONS JUDGE BILOLI
24,1,15,20,Maharashtra,Nanded,COURT OF DISTRICT JUDGE-1 BHOKAR
25,1,15,23,Maharashtra,Nanded,District Judge -1 Kandhar Camp at Mukhed
26,1,17,1,Maharashtra,Parbhani,DISTRICT  SESSIONS COURT PARBHANI.
27,1,17,4,Maharashtra,Parbhani,District Judge 1 and Addl.Sessions Court
28,1,4,9,Maharashtra,Buldhana,DIST.JUDGE-I  ADDITIONAL SESSIONS JUDGE
30,1,17,7,Maharashtra,Parbhani,District Judge 1 and Addl.Sessions Court
31,1,17,10,Maharashtra,Parbhani,District Judge 1 and Addl.Sessins Court
32,1,18,1,Maharashtra,Jalna,District  and Sessions Court Jalna
33,1,19,4,Maharashtra,Aurangabad,DISTRICT AND SESSIONS COURT AURANGABAD.
34,1,20,1,Maharashtra,Nashik,DISTRICT AND SESSIONS COURT NASHIK.
35,1,20,7,Maharashtra,Nashik,DISTRICT COURT
36,1,20,9,Maharashtra,Nashik,ADDITIONAL DISTRICT AND SESSIONS COURT
37,1,21,1,Maharashtra,Thane,DISTRICT AND SESSIONS COURT
38,1,21,23,Maharashtra,Thane,District Judge-1
39,1,21,25,Maharashtra,Thane,ADDL.DIST.  SESSIONS COURT KALYAN
40,1,21,28,Maharashtra,Thane,ADDIL. DISTRICT AND SESSEIONS COURT PALGHAR
41,1,24,1,Maharashtra,Raigad,DISTRICT COURT RAIGAD-ALIBAG
42,1,24,14,Maharashtra,Raigad,DISTRICT AND ADDITIONAL SESSIONS COURT MANGAON
43,1,25,1,Maharashtra,Pune,DISTRICT AND SESSIONS COURT PUNE MAHARASHTRA
44,1,25,4,Maharashtra,Pune,ADDITIONAL DISTRICT AND SESSIONS COURT BARAMATI
45,1,26,1,Maharashtra,Ahmednagar,District and Sessions Court
46,1,26,9,Maharashtra,Ahmednagar,District  And Sessions Court
47,1,26,20,Maharashtra,Ahmednagar,DISTRICT  SESSIONS COURT SHRIRAMPUR
48,1,27,1,Maharashtra,Beed,DIST.AND SESSION COURT BEED
49,1,27,9,Maharashtra,Beed,DISTRICT JUDGE-1  ADDL.SESSIONS COURT AMBAJOGAI.
50,1,27,13,Maharashtra,Beed,DIST JUDGE-1 AND ADDL. SESSIONS JUDGE MAJALGAON
51,1,28,1,Maharashtra,Latur,District  and Sessions Court
52,1,28,11,Maharashtra,Latur,Additional District  Addl. Sessions Court Udgir
53,1,28,12,Maharashtra,Latur,Additional District and Sessions Court Nilanga
54,1,28,13,Maharashtra,Latur,Additional District and Sessions Court
55,1,29,1,Maharashtra,Osmanabad,PRINCIPAL DISTRICT  AND SESSIONS COURT
56,1,29,6,Maharashtra,Osmanabad,COURT OF THE DIST. JUDGE-1
57,1,29,15,Maharashtra,Osmanabad,DISTRICT  AND ADDITIONAL SESSIONS JUDGE BHOOM
58,1,30,1,Maharashtra,Solapur,DISTRICT COURT SOLAPUR
59,1,30,12,Maharashtra,Solapur,District and Sessions Court
60,1,30,17,Maharashtra,Solapur,District Court
61,1,31,1,Maharashtra,Satara,DISTRICT  SESSIONS COURT SATARA.
62,1,31,7,Maharashtra,Satara,ADDITIONAL DISTRICT AND SESSIONS JUDGE KARAD
63,1,31,17,Maharashtra,Satara,District and Sessions Court
64,1,32,1,Maharashtra,Ratnagiri,PRINCIPAL DISTRICT  SESSIONS JUDGE RATNAGIRI.
65,1,32,8,Maharashtra,Ratnagiri,District Court-1 Addl. Session Court
66,1,33,1,Maharashtra,Sindhudurg,District and Sessions Court Sindhudurg
67,1,34,7,Maharashtra,Kolhapur,DISTRICT JUDGE-1  ADDL SESSIONS COURT
68,1,34,11,Maharashtra,Kolhapur,DISTRICT COURT
69,1,34,12,Maharashtra,Kolhapur,District Court 1 and ASJ Jaysingpur
70,1,35,9,Maharashtra,Sangli,DISTRICT AND ADDITIONAL SESSIONS COURT ISLAMPUR
71,1,35,13,Maharashtra,Sangli,DISTRICT AND SESSIONS COURT SANGLI
72,1,36,1,Maharashtra,Washim,Principal District and Sessions Court
73,1,36,9,Maharashtra,Washim,Additional District and Sessions Court
74,1,41,17,Maharashtra,Mah State Cooperative Appellat,THE DISTRICT CO-OPERATIVE
75,2,2,1,Andhra Pradesh,Ananthapur,District Court Complex
76,2,2,16,Andhra Pradesh,Ananthapur,II Addl.District Judges Court
77,2,2,26,Andhra Pradesh,Ananthapur,VI Addl.District Judge Court
78,2,3,1,Andhra Pradesh,Chittoor,PRINCIPAL DISTRICT AND SESSIONS JUDGE
79,2,3,5,Andhra Pradesh,Chittoor,ADDITIONAL DISTRICT JUDGE
80,2,3,19,Andhra Pradesh,Chittoor,II Additional District Court
81,2,4,1,Andhra Pradesh,East Godavari,Prl. District Court
82,2,4,6,Andhra Pradesh,East Godavari,II Addl. Dist. and Sessions Court
83,2,4,22,Andhra Pradesh,East Godavari,XII Addl. District and Sessions Judges
84,2,4,34,Andhra Pradesh,East Godavari,VII ADDL. DISTRICT AND SESSIONS COURT
85,2,5,1,Andhra Pradesh,Guntur,District Court
86,2,5,17,Andhra Pradesh,Guntur,DISTRICT COURT TENALI
87,2,5,23,Andhra Pradesh,Guntur,Addl District Judges Court
88,2,5,32,Andhra Pradesh,Guntur,X ADDL. DISTRICT COURT
89,2,7,1,Andhra Pradesh,Kadapa,District and Sessions Courts
90,2,7,14,Andhra Pradesh,Kadapa,V Additional District Judge Court
91,2,7,15,Andhra Pradesh,Kadapa,II Additional District  Court
92,2,7,27,Andhra Pradesh,Kadapa,III Additional District Judge Court
93,2,10,1,Andhra Pradesh,Kurnool,Prl.District and Sessions Court
94,2,10,6,Andhra Pradesh,Kurnool,II ADDITIONAL DISTRICT JUDGE
95,2,10,15,Andhra Pradesh,Kurnool,III Addl.District Court Complex
96,2,10,30,Andhra Pradesh,Kurnool,V Addl.District Court Complex
97,2,11,1,Andhra Pradesh,Krishna,II Additional District Judge
98,2,11,6,Andhra Pradesh,Krishna,Prl. District Court
