,state_code,dist_code,court_no,state_name,district_name,court_name,median_decision_days
0,1,1,3,Maharashtra,Nandurbar,DISTRICT AND SESSIONS COURT,144.0
1,1,1,7,Maharashtra,Nandurbar,Additional District  And Sessions Court Shahada,308.0
2,1,2,1,Maharashtra,Dhule,DISTRICT AND SESSIONS COURT,174.0
3,1,3,2,Maharashtra,Jalgaon,DISTRICT AND SESSIONS COURT JALGAON,41.0
4,1,3,5,Maharashtra,Jalgaon,DISTRICT COURT 1 AND ADDL. SESSIONS COURT,197.0
5,1,4,1,Maharashtra,Buldhana,DISTRICT COURT,77.0
6,1,4,14,Maharashtra,Buldhana,District Judge and Addl. Sessions Judge,27.0
7,1,5,1,Maharashtra,Akola,Principal District and Sessions Judge,104.0
8,1,5,5,Maharashtra,Akola,District Judge - 1,148.0
9,1,7,1,Maharashtra,Amravati,DISTRICT  AND SESSIONS COURT AMRAVATI,121.0
10,1,7,6,Maharashtra,Amravati,COURT OF DISTRICT JUDGE-1 ACHALPUR,55.0
11,1,8,1,Maharashtra,Wardha,DISTRICT AND SESSIONS COURT WARDHA.,53.0
12,1,9,1,Maharashtra,Nagpur,DISTRICT  AND  SESSIONS COURT NAGPUR,135.0
13,1,10,1,Maharashtra,Bhandara,DISTRICT  SESSIONS COURT BHANDARA,270.0
14,1,11,3,Maharashtra,Gondia,DISTRICT COURT,225.0
15,1,12,1,Maharashtra,Gadchiroli,DISTRICT AND SESSIONS COURT GADCHIROLI.,54.0
16,1,13,1,Maharashtra,Chandrapur,DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.,122.0
17,1,13,13,Maharashtra,Chandrapur,District Judge-1 and ASJ Warora,9.0
18,1,14,1,Maharashtra,Yavatmal,District and Sessions Court,112.0
19,1,14,6,Maharashtra,Yavatmal,Court of District Judge-1 and A.S.J. Darwha,104.0
20,1,14,12,Maharashtra,Yavatmal,DISTRICT JUDGE-1 And ADDL. SESSIONS JUDGE,113.0
21,1,14,17,Maharashtra,Yavatmal,DISTRICT  SESSIONS COURT PUSAD,23.0
22,1,15,2,Maharashtra,Nanded,DISTRICT  AND SESSIONS COURT NANDED,168.0
23,1,15,16,Maharashtra,Nanded,DIST. JUDGE-1  ADDL. SESSIONS JUDGE BILOLI,217.0
24,1,15,20,Maharashtra,Nanded,COURT OF DISTRICT JUDGE-1 BHOKAR,238.0
25,1,15,23,Maharashtra,Nanded,District Judge -1 Kandhar Camp at Mukhed,100.5
26,1,17,1,Maharashtra,Parbhani,DISTRICT  SESSIONS COURT PARBHANI.,164.0
27,1,17,4,Maharashtra,Parbhani,District Judge 1 and Addl.Sessions Court,18.0
28,1,4,9,Maharashtra,Buldhana,DIST.JUDGE-I  ADDITIONAL SESSIONS JUDGE,61.0
29,1,17,7,Maharashtra,Parbhani,District Judge 1 and Addl.Sessions Court,21.0
30,1,17,10,Maharashtra,Parbhani,District Judge 1 and Addl.Sessins Court,115.0
31,1,18,1,Maharashtra,Jalna,District  and Sessions Court Jalna,125.0
32,1,19,4,Maharashtra,Aurangabad,DISTRICT AND SESSIONS COURT AURANGABAD.,87.0
33,1,20,1,Maharashtra,Nashik,DISTRICT AND SESSIONS COURT NASHIK.,199.0
34,1,20,7,Maharashtra,Nashik,DISTRICT COURT,145.0
35,1,20,9,Maharashtra,Nashik,ADDITIONAL DISTRICT AND SESSIONS COURT,177.0
36,1,21,1,Maharashtra,Thane,DISTRICT AND SESSIONS COURT,77.0
37,1,21,23,Maharashtra,Thane,District Judge-1,91.0
38,1,21,25,Maharashtra,Thane,ADDL.DIST.  SESSIONS COURT KALYAN,48.0
39,1,21,28,Maharashtra,Thane,ADDIL. DISTRICT AND SESSEIONS COURT PALGHAR,104.0
40,1,24,1,Maharashtra,Raigad,DISTRICT COURT RAIGAD-ALIBAG,66.0
41,1,24,14,Maharashtra,Raigad,DISTRICT AND ADDITIONAL SESSIONS COURT MANGAON,246.0
42,1,25,1,Maharashtra,Pune,DISTRICT AND SESSIONS COURT PUNE MAHARASHTRA,80.0
