,state_code,dist_code,court_no,total_cases_x,total_valid_cases_x,median_decision_days_x,mean_decision_days_x,state_name_x,district_name_x,court_name_x,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name_y,district_name_y,court_name_y,total_cases_y,total_valid_cases_y,median_decision_days_y,mean_decision_days_y,work_load(total_cases/avg_judge_count)
0,13.0,2.0,10.0,619.0,539.0,5.0,247.58441558441558,Uttar Pradesh,Bareilly,acjmnerbly,1795,0.9195696721,505.2,678.0,5,5,Uttar Pradesh,Bareilly,acjmnerbly,619,539,5.0,247.5844156,673.1409471
1,13.0,64.0,3.0,12152.0,11388.0,12.0,173.89866526167896,Uttar Pradesh,Hamirpur,Chief Judicial Magistrate,2084,0.9990412272,469.16666669999995,136.0,6,6,Uttar Pradesh,Hamirpur,Chief Judicial Magistrate,12152,11388,12.0,173.8986653,12163.662190000001
2,13.0,27.0,9.0,17212.0,8091.0,15.0,55.34383883327153,Uttar Pradesh,Varanasi,ACJM NR,878,0.9965947787,229.8571429,188.0,7,7,Uttar Pradesh,Varanasi,ACJM NR,17212,8091,15.0,55.34383883,17270.81093
3,13.0,50.0,3.0,29856.0,25589.0,16.0,419.55394896244485,Uttar Pradesh,Gonda,CJM,2045,0.835034708,555.2,658.0,5,5,Uttar Pradesh,Gonda,CJM,29856,25589,16.0,419.55394900000005,35754.20244
4,13.0,49.0,3.0,36895.0,34198.0,16.0,212.08529738581203,Uttar Pradesh,Faizabad,CJM court Faizabad,786,1.0234375,196.5,148.0,4,4,Uttar Pradesh,Faizabad,CJM court Faizabad,36895,34198,16.0,212.0852974,36050.07634
5,13.0,36.0,3.0,53179.0,49982.0,16.0,138.01840662638548,Uttar Pradesh,Barabanki,Chief Judicial Magistrate,2345,0.8474882544,512.6666667,302.0,6,6,Uttar Pradesh,Barabanki,Chief Judicial Magistrate,53179,49982,16.0,138.0184066,62748.95224
6,13.0,73.0,4.0,20387.0,19921.0,18.0,376.9707344008835,Uttar Pradesh,Hapur,Chief Judicial Magistrate,4336,3.269984917,582.2,656.0,10,10,Uttar Pradesh,Hapur,Chief Judicial Magistrate,20387,19921,18.0,376.97073439999997,6234.585332
7,13.0,31.0,5.0,60647.0,58835.0,19.0,226.02843545508625,Uttar Pradesh,Pratapgarh,Chief Judicial Magistrate,2105,0.9638278388,405.0,449.0,7,7,Uttar Pradesh,Pratapgarh,Chief Judicial Magistrate,60647,58835,19.0,226.0284355,62923.06318
8,12.0,15.0,3.0,1549.0,1329.0,19.0,120.35816403310758,Jammu and Kashmir,Doda,Chief Judicial Magistrate,4669,2.579558011,1265.5,1255.5,6,6,Jammu and Kashmir,Doda,Chief Judicial Magistrate,1549,1329,19.0,120.35816399999999,600.4904691
9,16.0,18.0,3.0,9496.0,9169.0,19.0,304.53648162285964,West Bengal,Purba Bardhaman,CHIEF JUDICIAL MAGISTRATE,4570,2.504109589,614.8181818,544.0,11,11,West Bengal,Purba Bardhaman,CHIEF JUDICIAL MAGISTRATE,9496,9169,19.0,304.5364816,3792.1663020000005
10,13.0,38.0,3.0,16978.0,13278.0,21.0,155.76336797710502,Uttar Pradesh,Mahoba,Chief Judicial Magistrate,1591,0.9260768334999999,290.25,181.5,8,8,Uttar Pradesh,Mahoba,Chief Judicial Magistrate,16978,13278,21.0,155.76336799999999,18333.25204
11,10.0,5.0,5.0,31802.0,24834.0,22.0,290.05315293549165,Tamil Nadu,Namakkal,Chief Judicial Magistrate,3583,1.731754471,577.5,640.0,10,10,Tamil Nadu,Namakkal,Chief Judicial Magistrate,31802,24834,22.0,290.0531529,18364.03517
12,13.0,66.0,3.0,72007.0,55460.0,22.0,213.77861521817528,Uttar Pradesh,Jhansi,Chief Judicial Magistrate,2020,0.9782082324,393.0,364.0,7,7,Uttar Pradesh,Jhansi,Chief Judicial Magistrate,72007,55460,22.0,213.7786152,73611.11634
13,16.0,17.0,3.0,4857.0,3975.0,24.0,227.79899371069183,West Bengal,Darjeeling,Chief Judicial Magistrate,4111,1.6090019569999998,619.2222222,812.0,9,9,West Bengal,Darjeeling,Chief Judicial Magistrate,4857,3975,24.0,227.79899369999998,3018.64145
14,8.0,38.0,2.0,2554.0,2554.0,1313.5,1462.3649177760376,Bihar,Muzaffarpur,CJM Division,1209,1.472594397,274.77777779999997,79.0,9,9,Bihar,Muzaffarpur,CJM Division,2554,2554,1313.5,1462.364918,1734.354012
15,8.0,12.0,5.0,587.0,587.0,1329.0,1430.2316865417374,Bihar,Madhepura,Uda-Kishunganj CJM Division,2028,0.6171637249,886.0,769.0,3,3,Bihar,Madhepura,Uda-Kishunganj CJM Division,587,587,1329.0,1430.231687,951.1252465
16,8.0,31.0,4.0,365.0,365.0,1388.0,1187.5205479452056,Bihar,Sitamarhi,Pupri CJM Division,1357,0.7218085106000001,696.0,629.0,3,3,Bihar,Sitamarhi,Pupri CJM Division,365,365,1388.0,1187.520548,505.67428150000006
17,8.0,36.0,5.0,426.0,426.0,1391.0,1566.075117370892,Bihar,Jehanabad,Arwal CJM Division,1474,1.8849104859999999,962.0,1079.0,3,3,Bihar,Jehanabad,Arwal CJM Division,426,426,1391.0,1566.075117,226.00542740000003
18,8.0,37.0,2.0,476.0,476.0,1414.0,1470.0441176470588,Bihar,Sheohar,Sheohar CJM Div.,444,1.8655462180000002,230.1428571,241.0,7,7,Bihar,Sheohar,Sheohar CJM Div.,476,476,1414.0,1470.044118,255.15315319999996
19,9.0,39.0,2.0,454.0,453.0,1428.0,1402.7637969094924,Rajasthan,Jodhpur District,CJM ACJM JM-Jodhpur District HQ,4932,2.890973036,413.4736842,383.0,19,19,Rajasthan,Jodhpur District,CJM ACJM JM-Jodhpur District HQ,454,453,1428.0,1402.763797,157.0405515
20,18.0,21.0,4.0,6047.0,5105.0,1554.0,1516.113222331048,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur,3259,1.7779596290000002,1180.25,1156.5,4,4,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur,6047,5105,1554.0,1516.1132220000002,3401.0895979999996
21,11.0,27.0,3.0,8747.0,8607.0,1569.0,1591.6506332055303,Orissa,Anugul,"Chief Judicial Magistrate, Anugul",8084,2.938567794,1027.7,1024.0,10,10,Orissa,Anugul,"Chief Judicial Magistrate, Anugul",8747,8607,1569.0,1591.650633,2976.6201140000003
22,8.0,17.0,9.0,311.0,311.0,1629.0,1659.0771704180065,Bihar,Darbhanga,Biraul CJM Division,2960,0.9863378874,369.1,262.0,10,10,Bihar,Darbhanga,Biraul CJM Division,311,311,1629.0,1659.07717,315.3077703
