,state_code,dist_code,court_no,total_cases_x,total_valid_cases_x,median_decision_days_x,mean_decision_days_x,state_name_x,district_name_x,court_name_x,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name_y,district_name_y,court_name_y,total_cases_y,total_valid_cases_y,median_decision_days_y,mean_decision_days_y,work_load(total_cases/avg_judge_count)
0,3.0,20.0,2.0,400678.0,293816.0,135.0,308.03465774498324,Karnataka,BENGALURU,Chief Metropolitan Magistrate Court,2314,0.9991364421,609.0,270.0,5,5,Karnataka,BENGALURU,Chief Metropolitan Magistrate Court,400678,293816,135.0,308.0346577,401024.3077
1,3.0,20.0,8.0,65237.0,58406.0,197.0,314.9318734376605,Karnataka,BENGALURU,"AddlChief Metropolitan Magistrate Court, Bengaluru",2309,0.9969775475,506.66666669999995,458.0,6,6,Karnataka,BENGALURU,"AddlChief Metropolitan Magistrate Court, Bengaluru",65237,58406,197.0,314.9318734,65434.7735
2,26.0,11.0,2.0,68454.0,63435.0,217.0,437.919870733822,Delhi,South East,"Chief Metropolitan Magistrate, South-East, Saket",1361,1.244058501,470.33333330000005,493.0,6,6,Delhi,South East,"Chief Metropolitan Magistrate, South-East, Saket",68454,63435,217.0,437.91987069999993,55024.743570000006
3,29.0,2.0,3.0,103723.0,102961.0,276.0,485.77667272073893,Telangana,Hyderabad,Chief Metropolitan Magistrate,19055,5.798843579,366.35211269999996,86.0,71,71,Telangana,Hyderabad,Chief Metropolitan Magistrate,103723,102961,276.0,485.7766727,17886.84219
4,26.0,8.0,2.0,72056.0,69901.0,281.0,498.0201856911918,Delhi,Central,"Chief Metropolitan Magistrate, Central, THC",1171,1.0,951.0,951.0,2,2,Delhi,Central,"Chief Metropolitan Magistrate, Central, THC",72056,69901,281.0,498.02018569999996,72056.0
5,29.0,2.0,18.0,376.0,376.0,318.0,401.6728723404257,Telangana,Hyderabad,V ADDL. CMM,6703,2.101912825,259.91891890000005,76.0,37,37,Telangana,Hyderabad,V ADDL. CMM,376,376,318.0,401.67287230000005,178.88467849999998
6,9.0,4.0,32.0,9860.0,5620.0,331.0,434.01423487544486,Rajasthan,Jaipur Metro,CMM ACMM MM BASSI COURT COMPLEX,3408,1.9988269790000002,811.6666667000001,781.0,6,6,Rajasthan,Jaipur Metro,CMM ACMM MM BASSI COURT COMPLEX,9860,5620,331.0,434.01423489999996,4932.893192
7,9.0,4.0,31.0,20498.0,20490.0,338.0,398.6021473889703,Rajasthan,Jaipur Metro I,CMM ACMM Nagar Nigam Court Complex Jaipur Metro,3396,1.996472663,607.25,450.0,8,8,Rajasthan,Jaipur Metro I,CMM ACMM Nagar Nigam Court Complex Jaipur Metro,20498,20490,338.0,398.6021474,10267.10777
8,10.0,13.0,17.0,12264.0,12134.0,383.0,731.1431514751938,Tamil Nadu,Chennai,"Chief Metropolitan Magistratre Court, Egmore, Ch-8",6522,1.9847839319999998,413.3333333,361.0,24,24,Tamil Nadu,Chennai,"Chief Metropolitan Magistratre Court, Egmore, Ch-8",12264,12134,383.0,731.1431514999999,6179.01012
9,1.0,23.0,1.0,44471.0,39321.0,431.0,564.0120800590015,Maharashtra,Mumbai CMM Courts,"CMM COURT, ESPLANADE COURT, MUMBAI",2459,1.582368082,261.4,166.0,15,15,Maharashtra,Mumbai CMM Courts,"CMM COURT, ESPLANADE COURT, MUMBAI",44471,39321,431.0,564.0120801,28104.08052
10,26.0,3.0,2.0,24498.0,23003.0,436.0,630.9365734904143,Delhi,East,"Chief Metropolitan Magistrate, East, KKD",1339,0.9985085757,690.0,728.0,3,3,Delhi,East,"Chief Metropolitan Magistrate, East, KKD",24498,23003,436.0,630.9365735,24534.59149
11,2.0,11.0,5.0,38357.0,37780.0,463.0,614.560878771837,Andhra Pradesh,Krishna,"Chief Metropolitan Magistrate, Vijayawada",16311,4.963785758,620.4117647,563.0,34,34,Andhra Pradesh,Krishna,"Chief Metropolitan Magistrate, Vijayawada",38357,37780,463.0,614.5608788,7727.368156
12,13.0,19.0,3.0,26098.0,25821.0,474.0,662.1598698733587,Uttar Pradesh,Kanpur Nagar,Chief Metropolitan Magistrate,1510,0.9817945384000001,373.5,214.5,6,6,Uttar Pradesh,Kanpur Nagar,Chief Metropolitan Magistrate,26098,25821,474.0,662.1598699,26581.936419999998
13,1.0,23.0,9.0,47678.0,42938.0,496.0,661.523312683404,Maharashtra,Mumbai CMM Courts,"ADDL. CHIEF METROPOLITAN MAGISTRATES COURT, KURLA",6500,1.978088862,398.15,304.0,20,20,Maharashtra,Mumbai CMM Courts,"ADDL. CHIEF METROPOLITAN MAGISTRATES COURT, KURLA",47678,42938,496.0,661.5233127,24103.06277
14,9.0,4.0,15.0,107355.0,79301.0,524.0,668.9816647961565,Rajasthan,Jaipur Metro,CMM ACMM MM Jaipur Metro HQ,1983,0.9944834504000001,542.8,633.0,5,5,Rajasthan,Jaipur Metro,CMM ACMM MM Jaipur Metro HQ,107355,79301,524.0,668.9816647999999,107950.5144
15,26.0,7.0,2.0,35985.0,34547.0,553.0,684.1836917822097,Delhi,New Delhi,"Chief Metropolitan Magistrate, New Delhi, PHC",1316,0.9820895521999999,682.3333332999999,687.0,3,3,Delhi,New Delhi,"Chief Metropolitan Magistrate, New Delhi, PHC",35985,34547,553.0,684.1836917999999,36641.2614
16,9.0,4.0,30.0,4994.0,4845.0,777.0,895.3382868937049,Rajasthan,Jaipur Metro,CMM ACMM MM Mini Secretariat Jaipur,5914,1.930156658,737.6,558.0,10,10,Rajasthan,Jaipur Metro,CMM ACMM MM Mini Secretariat Jaipur,4994,4845,777.0,895.3382869,2587.3547510000003
17,2.0,20.0,11.0,6125.0,6096.0,812.5,931.4670275590552,Andhra Pradesh,Visakapatnam,CHIEF METROPOLITAN MAGISTRATE COURT,3021,0.9980178394,750.4,453.0,5,5,Andhra Pradesh,Visakapatnam,CHIEF METROPOLITAN MAGISTRATE COURT,6125,6096,812.5,931.4670276,6137.164846
