,state_code,dist_code,court_no,total_cases_x,total_valid_cases_x,median_decision_days_x,mean_decision_days_x,state_name_x,district_name_x,court_name_x,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name_y,district_name_y,court_name_y,total_cases_y,total_valid_cases_y,median_decision_days_y,mean_decision_days_y,work_load(total_cases/avg_judge_count)
0,10.0,9.0,5.0,21595.0,19789.0,5.0,75.9204608620951,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi",2975,1.483790524,633.8571429,729.0,7,7,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi",21595,19789,5.0,75.92046086,14553.941180000002
1,10.0,7.0,7.0,16154.0,16051.0,5.0,135.147965858825,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court,1975,0.9454284347,451.0,473.5,6,6,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court,16154,16051,5.0,135.1479659,17086.433419999998
2,17.0,14.0,19.0,4942.0,4882.0,5.0,115.03318312167143,Gujarat,SURAT,bardoli_addldj Court,3542,1.077906269,159.37142859999997,107.0,35,35,Gujarat,SURAT,bardoli_addldj Court,4942,4882,5.0,115.0331831,4584.814229
3,9.0,25.0,6.0,3202.0,2771.0,5.0,195.5716347888849,Rajasthan,Banswara,DJ ADJ Banswara District HQ,2747,1.854827819,382.63636360000004,250.0,11,11,Rajasthan,Banswara,DJ ADJ Banswara District HQ,3202,2771,5.0,195.57163480000003,1726.305788
4,17.0,35.0,1.0,17710.0,17689.0,6.0,209.7773757702527,Gujarat,Valsad,valsad_district Court,11026,4.320532915,629.4761905,523.0,21,21,Gujarat,Valsad,valsad_district Court,17710,17689,6.0,209.7773758,4099.031379999999
5,10.0,3.0,12.0,40286.0,40234.0,6.0,70.7181736839489,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli",622,0.5675182482,155.5,82.5,4,4,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli",40286,40234,6.0,70.71817368,70986.26367
6,10.0,8.0,9.0,18930.0,18903.0,6.0,116.55805956726444,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment,3141,0.9840225564,430.22222220000003,179.0,9,9,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment,18930,18903,6.0,116.55805959999999,19237.3639
7,17.0,36.0,1.0,10153.0,10037.0,6.0,204.2339344425625,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR",5826,3.429075927,861.5454545,784.0,11,11,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR",10153,10037,6.0,204.2339344,2960.85599
8,9.0,20.0,8.0,16393.0,13865.0,7.0,185.87609087630725,Rajasthan,Kota,DJ ADJ - Kota HQ,1640,0.9624413145999999,1185.5,1185.5,2,2,Rajasthan,Kota,DJ ADJ - Kota HQ,16393,13865,7.0,185.8760909,17032.72683
9,10.0,15.0,3.0,33566.0,31387.0,7.0,120.16360276547616,Tamil Nadu,Madurai,Principal District Judge,1959,0.9098931723,1345.0,1345.0,2,2,Tamil Nadu,Madurai,Principal District Judge,33566,31387,7.0,120.16360279999999,36890.04492
10,9.0,24.0,5.0,5696.0,5404.0,8.0,181.5649518874908,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ,2674,1.5701702880000001,413.6,243.0,10,10,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ,5696,5404,8.0,181.5649519,3627.6320119999996
11,9.0,10.0,5.0,9668.0,8054.0,8.0,175.2518003476533,Rajasthan,Bundi,DJ ADJ - Bundi HQ,4032,1.9544352880000002,343.375,235.5,16,16,Rajasthan,Bundi,DJ ADJ - Bundi HQ,9668,8054,8.0,175.2518003,4946.697421
12,10.0,17.0,1.0,22832.0,22010.0,8.0,103.65365742844162,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR",7664,3.379188713,602.5,317.5,20,20,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR",22832,22010,8.0,103.6536574,6756.651357
13,3.0,11.0,1.0,25652.0,24803.0,9.0,98.94057170503568,Karnataka,HAVERI,Prl District and Sessions Judge,944,0.9989417989,418.75,102.0,4,4,Karnataka,HAVERI,Prl District and Sessions Judge,25652,24803,9.0,98.94057171,25679.173730000002
14,13.0,10.0,9.0,200.0,200.0,874.5,1012.59,Uttar Pradesh,Lakhimpur,District and Sessions Judge,791,1.0,791.0,791.0,1,1,Uttar Pradesh,Lakhimpur,District and Sessions Judge,200,200,874.5,1012.59,200.0
15,11.0,29.0,9.0,272.0,271.0,927.0,1021.0922509225093,Orissa,Bargarh,Addl. District and Sessions Judge Padampur,1923,0.7547095761,663.5,543.5,4,4,Orissa,Bargarh,Addl. District and Sessions Judge Padampur,272,271,927.0,1021.092251,360.4035361
