state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count)
1,1,3,9900,3.012781497,758.2777778,437,18,18,"Maharashtra","Nandurbar","DISTRICT AND SESSIONS COURT, NANDURBAR",4289,4206,131,450.0078459,1423.601414
1,2,1,17992,5.47534997,493.5740741,299.5,54,54,"Maharashtra","Dhule","DISTRICT AND SESSIONS COURT, DHULE",24535,24070,174,559.717823,4480.992108
1,3,2,1582,1,1582,1582,1,1,"Maharashtra","Jalgaon","DISTRICT AND SESSIONS COURT JALGAON",27099,26526,33,345.0902511,27099
1,4,1,35397,10.7720633,505.1043478,379,115,115,"Maharashtra","Buldhana","DISTRICT COURT, BULDANA",12882,12570,72,416.1968178,1195.871176
1,5,1,25837,7.862751065,639.1698113,545,53,53,"Maharashtra","Akola","Principal District and Sessions Judge, Akola",18598,18249,84,417.0099184,2365.329876
1,7,1,10804,3.28788801,673.5652174,754,23,23,"Maharashtra","Amravati","DISTRICT  AND SESSIONS COURT AMRAVATI",24226,23727,76,484.3039575,7368.255831
1,8,1,30322,9.22763238,536.0759494,365,79,79,"Maharashtra","Wardha","DISTRICT AND SESSIONS COURT WARDHA.",21106,19955,54,330.025758,2287.260603
1,9,1,47969,14.59799148,388.241573,213,178,178,"Maharashtra","Nagpur","DISTRICT  AND  SESSIONS COURT NAGPUR",63492,62760,119,438.2343212,4349.365465
1,10,1,26564,8.083992696,1096.40625,861,32,32,"Maharashtra","Bhandara","DISTRICT  SESSIONS COURT BHANDARA",8192,8098,249,543.7841442,1013.360638
1,11,3,2446,0.9687128713,635.4,364,5,5,"Maharashtra","Gondia","DISTRICT COURT, GONDIA",5067,5008,122,392.25,5230.652085
1,12,1,24644,7.499695679,704.1702128,732,47,47,"Maharashtra","Gadchiroli","DISTRICT AND SESSIONS COURT GADCHIROLI.",7671,7574,33,299.5596778,1022.841503
1,13,1,33553,10.2108947,805.3833333,830,60,60,"Maharashtra","Chandrapur","DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.",13316,11939,29,397.6704079,1304.097279
1,14,1,41524,12.63664029,616.5,595,112,112,"Maharashtra","Yavatmal","District and Sessions Court, Yavatmal",14660,14588,99,390.027077,1160.118486
1,15,2,8076,2.45769933,577.1428571,392,21,21,"Maharashtra","Nanded","DISTRICT  AND SESSIONS COURT NANDED",19477,18837,99,476.1381855,7924.891283
1,17,1,42905,13.05690809,770.5609756,724.5,82,82,"Maharashtra","Parbhani","DISTRICT  SESSIONS COURT PARBHANI.",18818,18567,157,498.6874562,1441.229414
1,18,1,25207,7.671028606,860.3658537,736,41,41,"Maharashtra","Jalna","District  and Sessions Court Jalna",22567,21442,79,405.6394459,2941.847979
1,19,4,16984,5.168594035,399.2711864,223,59,59,"Maharashtra","Aurangabad","DISTRICT AND SESSIONS COURT AURANGABAD.",47756,47338,86,444.0002957,9239.650024
1,20,1,56971,17.33749239,585.379562,380,137,137,"Maharashtra","Nashik","DISTRICT AND SESSIONS COURT NASHIK.",37229,36749,143,404.4698903,2147.311685
1,21,1,53966,16.4230067,554.3046875,380,128,128,"Maharashtra","Thane","DISTRICT AND SESSIONS COURT, THANE",49680,48991,57,334.7752853,3025.024645
1,24,1,28821,8.770846013,816.8958333,744,48,48,"Maharashtra","Raigad","DISTRICT COURT RAIGAD-ALIBAG",18073,17577,40,349.1380782,2060.576593
1,25,1,50321,15.31375533,639.1981132,359.5,106,106,"Maharashtra","Pune","DISTRICT AND SESSIONS COURT PUNE MAHARASHTRA",76559,75259,46,296.0722173,4999.361579
1,26,1,46093,14.0270846,544.245283,378,106,106,"Maharashtra","Ahmednagar","District and Sessions Court, Ahmednagar",38271,37737,99,511.3041577,2728.364524
1,26,9,5920,1.935272965,278.5,75,34,34,"Maharashtra","Ahmednagar","District  And Sessions Court, Kopergaon",4566,4536,159,436.1399912,2359.357095
1,27,1,38825,11.81527693,664.5352113,607,71,71,"Maharashtra","Beed","DIST.AND SESSION COURT BEED",32213,31684,202,512.4344464,2726.385525
1,28,1,39522,12.02738892,636.1176471,547,85,85,"Maharashtra","Latur","District  and Sessions Court, Latur",18969,15913,292,498.5582857,1577.150296
