,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
0,1.0,1.0,3.0,4289.0,4206.0,131.0,450.0078459343795
1,1.0,2.0,1.0,24535.0,24070.0,174.0,559.7178230162027
2,1.0,3.0,2.0,27099.0,26526.0,33.0,345.09025107441755
3,1.0,4.0,1.0,12882.0,12570.0,72.0,416.19681782020683
4,1.0,5.0,1.0,18598.0,18249.0,84.0,417.0099183516905
5,1.0,7.0,1.0,24226.0,23727.0,76.0,484.3039575167531
6,1.0,8.0,1.0,21106.0,19955.0,54.0,330.0257579553996
7,1.0,9.0,1.0,63492.0,62760.0,119.0,438.23432122370934
8,1.0,10.0,1.0,8192.0,8098.0,249.0,543.7841442331439
9,1.0,11.0,3.0,5067.0,5008.0,122.0,392.25
10,1.0,12.0,1.0,7671.0,7574.0,33.0,299.5596778452601
11,1.0,13.0,1.0,13316.0,11939.0,29.0,397.67040790685985
12,1.0,14.0,1.0,14660.0,14588.0,99.0,390.02707704962984
13,1.0,15.0,2.0,19477.0,18837.0,99.0,476.1381854860116
14,1.0,17.0,1.0,18818.0,18567.0,157.0,498.6874562395648
15,1.0,18.0,1.0,22567.0,21442.0,79.0,405.6394459472064
16,1.0,19.0,4.0,47756.0,47338.0,86.0,444.0002957454899
17,1.0,20.0,1.0,37229.0,36749.0,143.0,404.46989033715204
18,1.0,21.0,1.0,49680.0,48991.0,57.0,334.7752852564757
19,1.0,24.0,1.0,18073.0,17577.0,40.0,349.13807817033626
20,1.0,25.0,1.0,76559.0,75259.0,46.0,296.072217276339
21,1.0,26.0,1.0,38271.0,37737.0,99.0,511.30415772318946
22,1.0,26.0,9.0,4566.0,4536.0,159.0,436.1399911816579
23,1.0,27.0,1.0,32213.0,31684.0,202.0,512.4344464082818
24,1.0,28.0,1.0,18969.0,15913.0,292.0,498.5582856783762
25,1.0,29.0,1.0,24524.0,24438.0,246.0,473.04394794991407
26,1.0,30.0,12.0,4351.0,4283.0,97.0,383.6388045762316
27,1.0,31.0,1.0,20832.0,20470.0,209.0,518.9504152418173
28,1.0,31.0,17.0,3753.0,3706.0,81.0,538.9619535887749
29,1.0,32.0,1.0,5089.0,5071.0,266.0,462.3947939262473
30,1.0,33.0,1.0,3686.0,3617.0,65.0,261.3986729333702
31,1.0,34.0,1.0,27632.0,27418.0,200.0,530.138886862645
32,1.0,35.0,13.0,27909.0,27589.0,174.0,546.5048388850629
33,1.0,36.0,1.0,9178.0,9082.0,161.0,462.4604712618366
34,1.0,8.0,11.0,1354.0,1348.0,21.0,124.61275964391692
35,1.0,37.0,2.0,106706.0,100783.0,28.0,186.62268438129448
36,1.0,41.0,17.0,1098.0,1098.0,417.0,674.5664845173042
37,1.0,1.0,7.0,5003.0,4975.0,295.0,588.4966834170855
38,1.0,20.0,9.0,9111.0,9051.0,130.0,404.976577173793
39,1.0,21.0,25.0,17682.0,17065.0,42.0,295.67828889539993
40,1.0,21.0,28.0,4885.0,4816.0,70.0,463.16985049833886
41,1.0,25.0,4.0,14325.0,14129.0,36.0,413.5169509519428
42,1.0,28.0,11.0,3276.0,3229.0,313.0,583.5568287395479
43,1.0,28.0,12.0,2421.0,2412.0,210.0,536.4423714759536
44,1.0,28.0,13.0,3112.0,3097.0,344.0,474.96415886341623
45,1.0,31.0,7.0,4691.0,4671.0,544.0,783.0152001712695
46,1.0,36.0,9.0,1539.0,1525.0,84.0,427.72918032786885
47,1.0,25.0,24.0,4776.0,4646.0,59.0,278.1037451571244
48,1.0,30.0,21.0,4197.0,4168.0,164.0,326.0292706333973
49,1.0,1.0,1.0,11262.0,8828.0,419.0,538.9816492976892
50,1.0,2.0,2.0,33449.0,25124.0,530.5,665.2710953669798
51,1.0,3.0,3.0,53936.0,47689.0,391.0,503.7804525152551
52,1.0,4.0,2.0,17268.0,16437.0,381.0,522.1968729086816
53,1.0,5.0,2.0,39617.0,37537.0,465.0,654.9875323014626
54,1.0,7.0,2.0,45118.0,40254.0,473.0,656.549212500621
55,1.0,8.0,2.0,54907.0,51048.0,315.0,408.4293410123805
56,1.0,9.0,2.0,151874.0,121797.0,262.0,490.3299588659819
57,1.0,10.0,2.0,15642.0,15550.0,359.0,488.9389067524116
58,1.0,11.0,4.0,16764.0,16334.0,366.0,546.2489286151585
59,1.0,12.0,2.0,11151.0,9047.0,58.0,154.43616668508898
60,1.0,13.0,2.0,26715.0,23758.0,352.0,512.3874063473356
61,1.0,14.0,2.0,34169.0,32690.0,374.0,516.4698072805139
62,1.0,17.0,2.0,22101.0,19872.0,424.0,555.5881139291465
63,1.0,18.0,2.0,23796.0,21759.0,533.0,673.4539271106208
64,1.0,19.0,3.0,94349.0,70395.0,389.0,530.604659421834
65,1.0,20.0,3.0,39940.0,39333.0,485.0,703.6355477588793
66,1.0,21.0,2.0,22164.0,14724.0,180.0,346.87143439282806
67,1.0,24.0,2.0,3430.0,3173.0,86.0,361.9520958083832
68,1.0,26.0,2.0,41462.0,36093.0,422.0,571.9565566730391
69,1.0,27.0,2.0,31406.0,24872.0,359.0,521.1902541009971
70,1.0,28.0,2.0,26451.0,21583.0,421.0,553.9704396979104
71,1.0,29.0,2.0,17217.0,14985.0,546.0,676.4072739406073
72,1.0,31.0,3.0,38754.0,35387.0,110.0,348.7084805154435
73,1.0,32.0,2.0,12216.0,8295.0,371.0,501.56142254370104
74,1.0,33.0,2.0,871.0,693.0,148.0,294.6060606060606
75,1.0,34.0,3.0,35635.0,34567.0,452.0,613.4099574738913
76,1.0,35.0,12.0,25177.0,16708.0,433.0,624.9145918123055
77,1.0,23.0,1.0,44471.0,39321.0,431.0,564.0120800590015
78,1.0,23.0,3.0,18795.0,14652.0,419.0,614.4608927108927
79,1.0,23.0,6.0,56627.0,51838.0,418.0,576.1539797060071
80,1.0,23.0,9.0,47678.0,42938.0,496.0,661.523312683404
81,1.0,23.0,10.0,90622.0,79389.0,232.0,360.45741853405383
82,1.0,23.0,15.0,19807.0,18097.0,508.0,783.2294855500912
83,2.0,2.0,1.0,20717.0,20692.0,88.0,298.1144403634255
84,2.0,3.0,1.0,8377.0,8374.0,390.0,574.74038691187
85,2.0,4.0,1.0,20806.0,19536.0,217.5,364.6954340704341
86,2.0,5.0,1.0,42191.0,38581.0,123.0,342.14393095046785
87,2.0,5.0,17.0,2165.0,2165.0,541.0,631.4725173210162
88,2.0,7.0,1.0,10870.0,10865.0,372.0,499.97091578462954
89,2.0,10.0,1.0,10305.0,10304.0,408.0,545.7132181677018
90,2.0,11.0,6.0,11621.0,11491.0,242.0,443.71682186058655
91,2.0,15.0,1.0,12195.0,12179.0,643.0,757.987355283685
92,2.0,17.0,1.0,19804.0,18605.0,66.0,297.7024455791454
93,2.0,19.0,1.0,7358.0,7357.0,578.0,704.0936523039283
94,2.0,20.0,1.0,24471.0,24451.0,406.0,612.8912109934154
95,2.0,21.0,1.0,6215.0,6213.0,474.0,566.890552068244
96,2.0,23.0,1.0,17136.0,17133.0,184.0,406.3032743827701
97,2.0,2.0,16.0,3682.0,3682.0,96.0,432.90005431830525
98,2.0,2.0,26.0,1743.0,1743.0,375.0,442.81755593803786
99,2.0,3.0,5.0,9636.0,9632.0,640.0,815.7694144518273
100,2.0,3.0,19.0,1744.0,1744.0,429.5,616.9552752293578
101,2.0,4.0,3.0,22828.0,22806.0,361.0,519.2504604051566
102,2.0,4.0,6.0,1973.0,1973.0,688.0,853.0866700456158
103,2.0,4.0,22.0,1137.0,1137.0,965.0,1010.8698328935795
104,2.0,4.0,34.0,122.0,122.0,999.5,1080.7704918032787
105,2.0,5.0,23.0,2606.0,2605.0,534.0,724.0057581573897
106,2.0,5.0,32.0,718.0,718.0,724.0,819.2479108635098
107,2.0,7.0,14.0,1086.0,1086.0,642.0,774.5662983425415
108,2.0,7.0,15.0,2094.0,2094.0,1001.5,1147.6914995224452
109,2.0,7.0,27.0,784.0,784.0,861.5,995.7551020408164
110,2.0,10.0,6.0,1707.0,1706.0,739.0,855.4830011723329
111,2.0,10.0,15.0,2988.0,2988.0,342.5,526.7085006693441
112,2.0,10.0,30.0,815.0,815.0,872.0,968.4846625766871
113,2.0,11.0,1.0,23228.0,23215.0,367.0,555.0192978677579
114,2.0,11.0,19.0,1698.0,1698.0,964.0,1089.9358068315667
115,2.0,11.0,23.0,1704.0,1704.0,557.0,664.8356807511738
116,2.0,15.0,10.0,957.0,957.0,1158.0,1305.2800417972833
117,2.0,17.0,22.0,1403.0,1401.0,397.0,539.4025695931477
118,2.0,19.0,13.0,432.0,432.0,749.0,847.8587962962963
119,2.0,20.0,6.0,2479.0,2479.0,486.0,646.3929003630496
120,2.0,20.0,10.0,987.0,987.0,728.0,851.8530901722391
121,2.0,20.0,24.0,55.0,55.0,317.0,630.1272727272727
