state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days,state_name,district_name,court_name
10.0,9.0,5.0,21595.0,19789.0,5.0,75.9204608620951,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi"
10.0,7.0,7.0,16154.0,16051.0,5.0,135.147965858825,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court
13.0,2.0,10.0,619.0,539.0,5.0,247.58441558441558,Uttar Pradesh,Bareilly,acjmnerbly
17.0,14.0,19.0,4942.0,4882.0,5.0,115.03318312167143,Gujarat,SURAT,bardoli_addldj Court
9.0,25.0,6.0,3202.0,2771.0,5.0,195.5716347888849,Rajasthan,Banswara,DJ ADJ Banswara District HQ
17.0,35.0,1.0,17710.0,17689.0,6.0,209.7773757702527,Gujarat,Valsad,valsad_district Court
10.0,3.0,12.0,40286.0,40234.0,6.0,70.7181736839489,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli"
10.0,8.0,9.0,18930.0,18903.0,6.0,116.55805956726444,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment
17.0,36.0,1.0,10153.0,10037.0,6.0,204.2339344425625,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR"
10.0,29.0,11.0,9054.0,8780.0,7.0,163.7389521640091,Tamil Nadu,Sivagangai,CHIEF JUDICIAL MAGISTRATE
9.0,20.0,8.0,16393.0,13865.0,7.0,185.87609087630725,Rajasthan,Kota,DJ ADJ - Kota HQ
9.0,19.0,9.0,7473.0,6593.0,7.0,187.36447747611103,Rajasthan,Pali,DJ ADJ SCST-PALI DISTRICT HQ
10.0,15.0,3.0,33566.0,31387.0,7.0,120.16360276547616,Tamil Nadu,Madurai,Principal District Judge
9.0,24.0,5.0,5696.0,5404.0,8.0,181.56495188749076,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ
9.0,4.0,24.0,23196.0,3098.0,8.0,115.3089089735313,Rajasthan,Jaipur Metro,ACMM RAILWAY JAIPUR METRO
9.0,10.0,5.0,9668.0,8054.0,8.0,175.2518003476533,Rajasthan,Bundi,DJ ADJ - Bundi HQ
10.0,17.0,1.0,22832.0,22010.0,8.0,103.65365742844162,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR"
3.0,11.0,1.0,25652.0,24803.0,9.0,98.94057170503568,Karnataka,HAVERI,Prl District and Sessions Judge
3.0,22.0,1.0,28946.0,28109.0,9.0,110.27087409726423,Karnataka,MANDYA,PRL. DISTRICT AND SESSIONS JUDGE
9.0,40.0,19.0,26101.0,3587.0,9.0,155.9874546975188,Rajasthan,Jaipur Metro II,ACMM RAILWAY JAIPUR METRO II
17.0,29.0,18.0,4232.0,4192.0,10.0,226.88740458015263,Gujarat,Sabarkantha at Himmatnagar,ADDITIONAL DISTRICT AND SESSIONS COURT AT IDAR
13.0,39.0,9.0,1213.0,946.0,10.0,127.96828752642706,Uttar Pradesh,Banda,Addl.Chief Judicial Magistrate(Railway)
17.0,39.0,1.0,6113.0,6102.0,10.0,226.70091773189117,Gujarat,MORBI,District  Court - Morbi
9.0,39.0,1.0,4174.0,3645.0,10.0,221.958573388203,Rajasthan,Jodhpur District,DJ ADJ-Jodhpur District HQ
17.0,13.0,18.0,2612.0,2603.0,11.0,301.00153668843643,Gujarat,Ahmedabad,"ADDL DISTRICT COURT, VIRAMGAM"
10.0,10.0,27.0,2578.0,2313.0,11.0,206.00345871162992,Tamil Nadu,Viluppuram,"Additional District Court No.1, Tindivanam"
13.0,64.0,3.0,12152.0,11388.0,12.0,173.89866526167896,Uttar Pradesh,Hamirpur,Chief Judicial Magistrate
17.0,14.0,1.0,55162.0,53485.0,12.0,247.48787510516968,Gujarat,SURAT,"District Court, Surat"
17.0,38.0,7.0,7704.0,7658.0,12.0,405.3554452859754,Gujarat,Aravalli at Modasa,Principal District Court Arvalli
13.0,3.0,9.0,3680.0,2778.0,12.0,121.31929445644349,Uttar Pradesh,Gorakhpur,ACJM Railway
26.0,2.0,1.0,19667.0,19127.0,12.0,175.31588853453235,Delhi,Shahdara,"District and Sessions Judge, Shahdara, KKD"
9.0,1.0,11.0,7197.0,5956.0,12.0,254.84267965077237,Rajasthan,Rajsamand,DJ ADJ-Rajsamand District HQ
10.0,3.0,16.0,2987.0,2981.0,12.0,122.22978866152296,Tamil Nadu,Tirunelveli,"II Additional District Court (PCR), Tirunelveli"
6.0,19.0,1.0,4221.0,3994.0,13.0,181.74987481221837,Assam,Golaghat,GLT_DJ_ESTT
9.0,32.0,4.0,5819.0,3995.0,13.0,257.0833541927409,Rajasthan,Jaiselmer,DJ-Jaisalmer District HQ
11.0,13.0,11.0,422.0,414.0,13.0,250.0193236714976,Orissa,Keonjhar,"Addl. District and Sessions Judge, Anandapur"
3.0,30.0,1.0,8163.0,7954.0,14.0,117.64269549911992,Karnataka,YADGIR.,District and Sessions Judge
3.0,15.0,1.0,26400.0,25892.0,14.0,156.534991503167,Karnataka,SHIVAMOGGA,Prl. District and Sessions Judge.
17.0,32.0,1.0,10666.0,10637.0,14.0,275.48556923944716,Gujarat,Navsari,navsari_district Court
17.0,41.0,1.0,5117.0,5110.0,14.0,416.6487279843444,Gujarat,Chhota Udepur,"DISTRICT COURT, CHHOTAUDEPUR"
16.0,2.0,7.0,9190.0,9160.0,14.0,235.50283842794758,West Bengal,Hooghly,"ADDITIONAL DISTRICT & SESSIONS JUDGE ,CHANDERNAGOR"
3.0,21.0,18.0,3871.0,3843.0,14.0,201.10278428311216,Karnataka,BENGALURU RURAL,V ADDITIONAL DIST  SESSIONS JUDGE  DEVANAHALLI.
3.0,25.0,1.0,4113.0,4097.0,14.0,98.17427385892117,Karnataka,KODAGU,"PRL. DISTRICT AND SESSIONS JUDGE, MADIKERI"
8.0,12.0,2.0,12479.0,12478.0,15.0,236.6458567078057,Bihar,Madhepura,D.J. Establishment
3.0,18.0,1.0,38727.0,30431.0,15.0,187.31987118399,Karnataka,TUMAKURU,Prl. District and Sessions Judge
3.0,28.0,1.0,13026.0,12620.0,15.0,164.7672741679873,Karnataka,RAMANAGARAM,"PRL.DISTRICT AND SESSIONS JUDGE, RAMANAGARA"
13.0,27.0,9.0,17212.0,8091.0,15.0,55.34383883327153,Uttar Pradesh,Varanasi,ACJM NR
6.0,20.0,1.0,7794.0,7641.0,15.0,108.83313702394976,Assam,Barpeta,District and Sessions Judge
6.0,10.0,2.0,11688.0,10999.0,15.0,196.6946086007819,Assam,Nagaon,District and Sessions Judge
3.0,16.0,1.0,14991.0,14555.0,15.0,129.80123668842322,Karnataka,UDUPI,PRL. DISTRICT AND SESSIONS JUDGE
11.0,20.0,2.0,1658.0,1612.0,15.5,136.2803970223325,Orissa,Sonepur,"District and  Sessions Judge,Sonepur"
8.0,30.0,1.0,6696.0,6641.0,16.0,152.0126486974853,Bihar,Nalanda,Dj Division
13.0,50.0,3.0,29856.0,25589.0,16.0,419.55394896244485,Uttar Pradesh,Gonda,CJM
8.0,14.0,1.0,14172.0,14170.0,16.0,175.799647141849,Bihar,Khagaria,DJ Division
13.0,20.0,2.0,39260.0,37624.0,16.0,139.22118860301936,Uttar Pradesh,Gautam Buddha Nagar,District and Session Judge
13.0,49.0,3.0,36895.0,34198.0,16.0,212.08529738581203,Uttar Pradesh,Faizabad,CJM court Faizabad
8.0,17.0,5.0,3943.0,3933.0,16.0,83.1721332316298,Bihar,Darbhanga,"District Sessions Judge Sub-Division, Benipur"
3.0,21.0,13.0,4067.0,3964.0,16.0,130.80196770938446,Karnataka,BENGALURU RURAL,"III Addl. District and Sessions Judge,  ANEKAL"
13.0,36.0,3.0,53179.0,49982.0,16.0,138.01840662638548,Uttar Pradesh,Barabanki,Chief Judicial Magistrate
16.0,13.0,2.0,11754.0,10870.0,16.0,162.1590616375345,West Bengal,South Dinajpur,DJ and ADJ Courts at Balurghat
17.0,34.0,1.0,6557.0,6531.0,16.0,239.47925279436527,Gujarat,Tapi,tapi_district Court
6.0,5.0,2.0,5000.0,4721.0,16.0,154.61575937301419,Assam,Lakhimpur,District and Sessions Judge
10.0,11.0,6.0,2403.0,2374.0,16.5,250.0522325189553,Tamil Nadu,Vellore,"Addl Dist and Sess Court, Tirupattur"
11.0,22.0,4.0,3880.0,3711.0,17.0,191.53327943950416,Orissa,Nayagarh,"District & Sessions Judge Court, Nayagarh"
3.0,14.0,1.0,19933.0,18579.0,17.0,186.4120781527531,Karnataka,DAVANGERE,PRL DISTRICT AND SESSION JUDGE
4.0,2.0,1.0,46665.0,46441.0,17.0,159.52221097736913,Kerala,Ernakulam,"DISTRICT AND SESSIONS COURT, ERNAKULAM"
11.0,16.0,6.0,819.0,805.0,17.0,291.86583850931675,Orissa,Sundargarh,adj court bonai
11.0,5.0,2.0,14270.0,13916.0,17.0,183.42799655073296,Orissa,Balasore,District  and Sessions Judge
24.0,4.0,2.0,5868.0,5410.0,17.0,100.63641404805915,Sikkim,Gangtok,District and  Sessions Court
16.0,20.0,11.0,9802.0,8554.0,17.0,189.10042085573997,West Bengal,South Twenty Four Parganas,Additional District and Sessions Judge
8.0,24.0,1.0,17858.0,17821.0,17.0,211.26283598002357,Bihar,Araria,DJ DIVISION
3.0,21.0,1.0,23246.0,22136.0,17.0,234.31573003252618,Karnataka,BENGALURU RURAL,PRL. DISTRICT AND SESSION JUDGE
3.0,2.0,1.0,10673.0,8202.0,17.0,196.84284320897342,Karnataka,BAGALKOT,"PRL. DISTRICT AND SESSION JUDGE, BAGALKOT"
11.0,18.0,2.0,10285.0,10101.0,17.0,125.2771012771013,Orissa,Bhadrak,"District and Sessions Judge,Bhadrak"
13.0,35.0,2.0,12727.0,12599.0,17.0,98.00523851099295,Uttar Pradesh,Jyotiba Phule Nagar,District and Sessions Judge
7.0,14.0,1.0,4876.0,4828.0,18.0,221.9262634631317,Jharkhand,Pakur,DISTRICT AND SESSIONS COURT PAKUR
16.0,6.0,2.0,13743.0,13706.0,18.0,124.24040566175398,West Bengal,Coochbehar,"District and Sessions Judge , Cooch Behar"
17.0,16.0,22.0,4018.0,3986.0,18.0,287.8660311088811,Gujarat,RAJKOT,Addl. District Court - Dhoraji
13.0,73.0,4.0,20387.0,19921.0,18.0,376.9707344008835,Uttar Pradesh,Hapur,Chief Judicial Magistrate
