,year,state_code,dist_code,court_no,total_judge_count,median_tenure,mean_tenure,weighted_mean_tenure,avg_daily_judge_count
0,2010,1,1,3,3,2584.0,2255.6666666666665,2265.9225092250927,2.96986301369863
1,2011,1,1,3,4,1914.5,1939.5,2053.785878741366,3.56986301369863
2,2012,1,1,3,5,1245.0,1662.6,1903.4789859906607,4.106849315068493
3,2013,1,1,3,7,991.0,1271.5714285714287,1198.6992159657877,3.843835616438356
4,2014,1,1,3,11,300.0,334.72727272727275,398.386605783866,3.6
5,2015,1,1,3,4,509.0,867.25,875.4070695553022,2.4027397260273973
6,2016,1,1,3,3,759.0,1118.0,1362.8132780082988,1.9808219178082194
7,2017,1,1,3,3,759.0,1066.3333333333333,1213.4169453734671,2.4575342465753423
8,2018,1,1,3,4,579.5,800.0,1247.5592356687898,2.1506849315068495
9,2010,1,1,7,1,923.0,923.0,922.9999999999999,0.0821917808219178
10,2011,1,1,7,1,923.0,923.0,923.0,1.0
11,2012,1,1,7,1,923.0,923.0,923.0,1.0
12,2013,1,1,7,1,923.0,923.0,923.0,0.4410958904109589
13,2016,1,1,7,1,6.0,6.0,6.0,0.01643835616438356
14,2017,1,1,7,1,401.0,401.0,401.0,0.4575342465753425
15,2018,1,1,7,1,401.0,401.0,401.0,0.6383561643835617
16,2010,1,2,1,4,1745.0,1805.0,1805.0,4.0
17,2011,1,2,1,4,1745.0,1805.0,1805.0,4.0
18,2012,1,2,1,6,1091.5,1446.1666666666667,1709.6080055210489,3.96986301369863
19,2013,1,2,1,8,657.5,1038.625,1134.02796768179,4.4082191780821915
20,2014,1,2,1,11,300.0,429.27272727272725,545.2165919282511,6.109589041095891
21,2015,1,2,1,21,274.0,446.0952380952381,651.2332280978688,6.942465753424658
22,2016,1,2,1,10,817.0,708.5,837.237759498629,6.994520547945205
23,2017,1,2,1,14,371.0,462.2142857142857,763.5222003929273,6.972602739726028
24,2018,1,2,1,19,378.0,510.6842105263158,682.9359397079605,5.816438356164383
25,2010,1,3,2,1,1582.0,1582.0,1582.0,0.0821917808219178
26,2011,1,3,2,1,1582.0,1582.0,1582.0,1.0
27,2012,1,3,2,1,1582.0,1582.0,1582.0,1.0
28,2013,1,3,2,1,1582.0,1582.0,1582.0,1.0
29,2014,1,3,2,1,1582.0,1582.0,1582.0,1.0
30,2015,1,3,2,1,1582.0,1582.0,1582.0,0.2465753424657534
31,2010,1,4,1,16,792.0,899.125,966.5213281628696,11.304109589041095
32,2011,1,4,1,17,595.0,721.4705882352941,917.482030264817,8.69041095890411
33,2012,1,4,1,16,681.5,766.125,962.0829478877581,8.884931506849316
34,2013,1,4,1,14,956.5,927.9285714285714,987.2877346361533,10.654794520547945
35,2014,1,4,1,23,601.0,676.3478260869565,938.2810187200697,12.586301369863014
36,2015,1,4,1,26,325.5,515.7692307692307,798.8486259897531,11.764383561643836
37,2016,1,4,1,23,558.0,642.2608695652174,776.5862265224815,9.627397260273973
38,2017,1,4,1,30,259.5,423.8,794.3503309634714,11.175342465753426
39,2018,1,4,1,24,712.0,691.5833333333334,925.7162801170906,12.167123287671235
40,2010,1,4,9,2,530.0,530.0,494.59999999999997,0.9178082191780822
41,2011,1,4,9,1,597.0,597.0,597.0,1.0
42,2012,1,4,9,3,193.0,263.6666666666667,369.9248554913294,0.9479452054794522
43,2018,1,4,9,2,17.5,17.5,17.5,0.038356164383561646
44,2010,1,4,14,4,204.0,325.25,445.1568396226414,2.323287671232877
45,2011,1,4,14,3,439.0,504.0,527.7005347593583,2.5616438356164384
46,2012,1,4,14,5,314.0,403.8,343.08585858585855,1.0849315068493153
47,2013,1,4,14,2,266.5,266.5,298.07967032967036,0.9972602739726028
48,2014,1,4,14,3,219.0,191.66666666666666,214.97783933518002,0.989041095890411
49,2015,1,4,14,1,286.0,286.0,286.0,0.4136986301369863
50,2018,1,4,14,2,62.0,62.0,81.75806451612904,0.3397260273972603
51,2010,1,5,1,4,1088.0,1445.0,1616.1972386587765,2.7780821917808223
52,2011,1,5,1,10,1090.0,1244.4,1320.5750479846447,7.136986301369864
53,2012,1,5,1,10,1090.0,1207.7,1283.8450060901337,8.997260273972604
54,2013,1,5,1,11,1090.0,1125.8181818181818,1150.2060100166943,8.205479452054796
55,2014,1,5,1,14,705.0,847.5714285714286,920.0605217391304,7.876712328767123
56,2015,1,5,1,12,709.5,861.4166666666666,854.8074792243767,7.912328767123288
57,2016,1,5,1,17,691.0,646.8823529411765,837.3410526315789,9.10958904109589
58,2017,1,5,1,20,416.5,571.05,899.1862314865606,9.98904109589041
59,2018,1,5,1,20,748.5,696.9,809.7686472819215,8.668493150684933
60,2010,1,5,5,1,883.0,883.0,883.0,1.0
61,2011,1,5,5,1,883.0,883.0,883.0,1.0
62,2012,1,5,5,2,510.5,510.5,205.04999999999998,0.273972602739726
63,2013,1,5,5,2,80.0,80.0,100.4705882352941,0.1863013698630137
64,2014,1,5,5,1,362.0,362.0,362.0,0.5342465753424658
65,2015,1,5,5,2,317.0,317.0,324.0557491289199,0.7863013698630137
66,2016,1,5,5,2,407.0,407.0,428.8715083798883,0.9808219178082191
67,2017,1,5,5,3,349.0,305.6666666666667,502.4917582417582,0.9972602739726029
68,2018,1,5,5,5,189.0,259.0,297.3691756272401,1.5287671232876714
69,2010,1,7,1,1,1193.0,1193.0,1193.0,1.0
70,2011,1,7,1,2,1141.0,1141.0,1155.2478184991276,1.56986301369863
71,2012,1,7,1,3,1089.0,903.6666666666666,928.1824417009601,1.9972602739726029
72,2013,1,7,1,4,614.0,603.75,735.5914718019256,1.9917808219178084
73,2014,1,7,1,4,942.0,916.75,885.9209956709958,2.5315068493150683
74,2015,1,7,1,5,694.0,571.4,771.5664280031822,3.443835616438356
75,2016,1,7,1,11,754.0,741.6363636363636,924.577908217716,5.134246575342466
76,2017,1,7,1,10,760.5,800.9,1066.3819762122596,5.9890410958904114
77,2018,1,7,1,9,941.0,1036.2222222222222,1163.8340287436254,5.909589041095891
78,2010,1,8,1,12,682.5,659.0833333333334,741.0629075565786,7.142465753424657
79,2011,1,8,1,15,713.0,678.5333333333333,806.83304226336,7.843835616438358
80,2012,1,8,1,12,733.0,763.0,805.6690450054886,9.983561643835616
81,2013,1,8,1,22,726.0,682.1363636363636,781.3042992741483,9.813698630136987
82,2014,1,8,1,17,315.0,508.7647058823529,760.4976667581664,9.98082191780822
83,2015,1,8,1,19,711.0,615.4736842105264,752.2373723433618,9.926027397260274
84,2016,1,8,1,17,574.0,696.7647058823529,856.497199751089,8.805479452054794
85,2017,1,8,1,17,574.0,739.5882352941177,965.9369942196532,9.479452054794521
86,2018,1,8,1,17,839.0,775.8235294117648,1055.8451169188443,9.958904109589042
87,2010,1,9,1,22,277.0,560.9090909090909,922.7344374643061,9.594520547945205
88,2011,1,9,1,25,728.0,689.4,878.3767123287671,12.799999999999999
89,2012,1,9,1,26,623.5,653.7307692307693,908.1523519329653,14.386301369863013
90,2013,1,9,1,23,726.0,699.6521739130435,911.6059298179771,14.6
91,2014,1,9,1,27,657.0,699.6666666666666,867.8332729905865,15.134246575342466
92,2015,1,9,1,41,372.0,598.5853658536586,785.3757537289749,17.265753424657532
93,2016,1,9,1,31,359.0,609.0645161290323,832.5353705118412,17.931506849315067
94,2017,1,9,1,40,340.5,492.975,853.539149888143,17.145205479452056
95,2018,1,9,1,35,443.0,571.8285714285714,871.2970275066547,12.35068493150685
96,2010,1,10,1,5,2464.0,2767.4,2794.9653317393904,4.583561643835616
97,2011,1,10,1,7,1773.0,2334.285714285714,2455.0646680942186,6.397260273972603
98,2012,1,10,1,9,1463.0,1954.7777777777778,2235.84735315446,7.556164383561644
99,2013,1,10,1,13,1085.0,1512.6153846153845,1950.270183338694,8.517808219178082
100,2014,1,10,1,9,1092.0,1908.3333333333333,1908.3333333333333,9.0
101,2015,1,10,1,14,924.0,1418.5,1853.2007958371596,8.95068493150685
102,2016,1,10,1,14,1380.5,1646.5714285714287,1763.4281446071109,9.169863013698631
103,2017,1,10,1,16,895.5,1204.875,1521.42575928009,9.742465753424657
104,2018,1,10,1,12,1164.0,1445.25,1693.658354114713,8.789041095890411
105,2012,1,11,3,2,754.0,754.0,851.5791433891992,1.4712328767123288
106,2013,1,11,3,2,754.0,754.0,920.9902912621361,1.410958904109589
107,2014,1,11,3,1,1154.0,1154.0,1154.0,1.0
108,2015,1,11,3,1,1154.0,1154.0,1154.0,0.24383561643835616
109,2016,1,11,3,1,364.0,364.0,364.0,0.5698630136986301
110,2017,1,11,3,3,364.0,556.3333333333334,792.1456043956043,0.9972602739726026
