state_code,dist_code,court_no,num_cases,A_count,B_count,C_count,D_count,E_count,state_name,district_name,court_name
1,23,1,39321,17891,15194,5151,1085,0,Maharashtra,Mumbai CMM Courts,"CMM COURT, ESPLANADE COURT, MUMBAI"
1,23,9,42938,17082,16890,6386,2580,0,Maharashtra,Mumbai CMM Courts,"ADDL. CHIEF METROPOLITAN MAGISTRATES COURT, KURLA"
1,23,10,79389,52772,22053,2785,1779,0,Maharashtra,Mumbai CMM Courts,ADDL. CHIEF METROPOLITAN MAGISTRATE COURT
1,23,15,18097,7440,5690,2608,2359,0,Maharashtra,Mumbai CMM Courts,"ADDL.CHIEF METROPOLITAN MAGISTRATE, DADAR, MUMBAI."
2,4,22,1137,239,387,351,160,0,Andhra Pradesh,East Godavari,XII Addl. District and Sessions Judges court
2,4,34,122,19,45,37,21,0,Andhra Pradesh,East Godavari,"VII ADDL. DISTRICT AND SESSIONS COURT, PEDDAPURAM"
2,7,15,2094,444,663,478,509,0,Andhra Pradesh,Kadapa,"II Additional District  Court, Proddatur"
2,10,30,815,70,426,273,46,0,Andhra Pradesh,Kurnool,"V Addl.District Court Complex,Allagadda"
2,11,5,37780,15946,14980,5366,1488,0,Andhra Pradesh,Krishna,"Chief Metropolitan Magistrate, Vijayawada"
2,11,19,1698,384,547,411,356,0,Andhra Pradesh,Krishna,"XI Addl District Court, GUDIVADA"
2,15,10,957,130,332,183,312,0,Andhra Pradesh,Nellore,VII Addl. District and Session Court
2,20,11,6096,1701,2046,1502,847,0,Andhra Pradesh,Visakapatnam,CHIEF METROPOLITAN MAGISTRATE COURT
3,11,1,24803,22545,1870,334,54,0,Karnataka,HAVERI,Prl District and Sessions Judge
3,20,2,293816,205438,72131,14073,2174,0,Karnataka,BENGALURU,Chief Metropolitan Magistrate Court
3,20,8,58406,39940,15902,2496,68,0,Karnataka,BENGALURU,"AddlChief Metropolitan Magistrate Court, Bengaluru"
8,1,11,153,17,41,21,74,0,Bihar,Patna,Barh D.J Div.
8,1,12,1298,152,421,270,454,1,Bihar,Patna,Barh CJM Div.
8,1,15,170,11,23,28,108,0,Bihar,Patna,Masaurhi CJM Div.
8,6,11,385,2,20,156,207,0,Bihar,Begusarai,Balia CJM Division
8,9,8,292,34,58,38,161,1,Bihar,Purnea,CJM Division
8,12,5,587,54,207,129,197,0,Bihar,Madhepura,Uda-Kishunganj CJM Division
8,17,9,311,34,73,69,135,0,Bihar,Darbhanga,Biraul CJM Division
8,31,4,365,40,118,161,46,0,Bihar,Sitamarhi,Pupri CJM Division
8,36,5,426,59,124,70,173,0,Bihar,Jehanabad,Arwal CJM Division
8,37,2,476,53,159,88,175,1,Bihar,Sheohar,Sheohar CJM Div.
8,38,2,2554,404,724,426,1000,0,Bihar,Muzaffarpur,CJM Division
9,2,61,153,11,60,47,35,0,Rajasthan,Alwar,ADJ Mundawar HQ
9,4,15,79301,30989,31413,12786,4112,1,Rajasthan,Jaipur Metro,CMM ACMM MM Jaipur Metro HQ
9,4,30,4845,1349,1775,1209,511,1,Rajasthan,Jaipur Metro,CMM ACMM MM Mini Secretariat Jaipur
9,4,31,20490,10922,8860,530,178,0,Rajasthan,Jaipur Metro I,CMM ACMM Nagar Nigam Court Complex Jaipur Metro
9,4,32,5620,2978,2284,332,26,0,Rajasthan,Jaipur Metro,CMM ACMM MM BASSI COURT COMPLEX
9,10,5,8054,6918,871,148,117,0,Rajasthan,Bundi,DJ ADJ - Bundi HQ
9,19,9,6593,5338,1036,176,43,0,Rajasthan,Pali,DJ ADJ SCST-PALI DISTRICT HQ
9,20,8,13865,11428,1907,368,161,1,Rajasthan,Kota,DJ ADJ - Kota HQ
9,22,31,226,5,75,59,86,1,Rajasthan,Jhalawar,ACJM Manoharthana Jhalawar District
9,24,5,5404,4361,899,134,10,0,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ
9,25,6,2771,2250,407,102,12,0,Rajasthan,Banswara,DJ ADJ Banswara District HQ
9,38,34,899,138,260,174,326,1,Rajasthan,Jaipur District,ADJ-Kotputli
