,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
0,1.0,1.0,3.0,4416.0,4331.0,144.0,462.42484414684833
1,1.0,1.0,7.0,5136.0,5105.0,308.0,594.6168462291871
2,1.0,2.0,1.0,24573.0,24108.0,174.0,560.3326696532272
3,1.0,3.0,2.0,32220.0,31588.0,41.0,370.81860200075977
4,1.0,3.0,5.0,5015.0,4983.0,197.0,460.6255267910897
5,1.0,4.0,1.0,13579.0,13259.0,77.0,412.6032883324534
6,1.0,4.0,9.0,13564.0,13190.0,61.0,444.63184230477634
7,1.0,4.0,14.0,2087.0,1954.0,27.0,486.67246673490274
8,1.0,5.0,1.0,19681.0,19314.0,104.0,446.93326084705393
9,1.0,5.0,5.0,3418.0,3373.0,148.0,447.2739401126594
10,1.0,7.0,1.0,26593.0,26089.0,121.0,522.7881099313887
11,1.0,7.0,6.0,9563.0,9434.0,55.0,462.7319270722917
12,1.0,8.0,1.0,21418.0,20265.0,53.0,327.0962250185048
13,1.0,9.0,1.0,67400.0,66647.0,135.0,460.93849685657267
14,1.0,10.0,1.0,8961.0,8855.0,270.0,549.825974025974
15,1.0,11.0,3.0,7160.0,7097.0,225.0,477.4345498097788
16,1.0,12.0,1.0,8506.0,8403.0,54.0,335.2375342139712
17,1.0,13.0,1.0,15337.0,13957.0,122.0,518.9249838790571
18,1.0,13.0,13.0,5094.0,5057.0,9.0,364.47043701799487
19,1.0,14.0,1.0,15284.0,15209.0,112.0,411.905384969426
20,1.0,14.0,6.0,3857.0,3834.0,104.0,471.1703182055295
21,1.0,14.0,12.0,3703.0,3659.0,113.0,469.6488111505876
22,1.0,14.0,17.0,6706.0,6521.0,23.0,352.23523999386595
23,1.0,15.0,2.0,21877.0,21180.0,168.0,542.8364966949953
24,1.0,15.0,16.0,3857.0,3816.0,217.0,520.062893081761
25,1.0,15.0,20.0,3835.0,3794.0,238.0,525.2938850817079
26,1.0,15.0,23.0,1406.0,1390.0,100.5,414.7136690647482
27,1.0,17.0,1.0,19254.0,18998.0,164.0,503.6580692704495
28,1.0,17.0,4.0,3865.0,3680.0,18.0,309.0654891304348
29,1.0,17.0,7.0,4162.0,4097.0,21.0,304.3951671955089
30,1.0,17.0,10.0,7111.0,7028.0,115.0,568.6435685828117
31,1.0,18.0,1.0,24626.0,23480.0,125.0,430.7158858603066
32,1.0,19.0,4.0,48122.0,47696.0,87.0,443.9675863804093
33,1.0,20.0,1.0,41585.0,41076.0,199.0,469.6786201188042
34,1.0,20.0,7.0,7254.0,7177.0,145.0,498.4568761320886
35,1.0,20.0,9.0,11614.0,11546.0,177.0,470.5148103239217
36,1.0,21.0,1.0,55778.0,55049.0,77.0,381.61705026430997
37,1.0,21.0,23.0,8025.0,7920.0,91.0,465.2733585858586
38,1.0,21.0,25.0,19588.0,18947.0,48.0,332.08835171795005
39,1.0,21.0,28.0,5865.0,5786.0,104.0,500.6631524369167
40,1.0,24.0,1.0,22908.0,22366.0,66.0,423.8166860413127
41,1.0,24.0,14.0,4746.0,4693.0,246.0,608.3635201363733
42,1.0,25.0,1.0,91910.0,90569.0,80.0,400.8728041603639
43,1.0,25.0,4.0,15192.0,14926.0,39.0,429.30336325874316
44,1.0,26.0,1.0,40598.0,40058.0,140.0,529.182660142793
45,1.0,26.0,9.0,6780.0,6743.0,236.0,487.41109298531813
46,1.0,26.0,20.0,8053.0,8017.0,287.0,505.92191592865163
47,1.0,27.0,1.0,33077.0,32404.0,187.0,503.53977903962476
48,1.0,27.0,9.0,10374.0,10273.0,70.0,471.92757714396964
49,1.0,27.0,13.0,6639.0,6594.0,116.0,456.1966939642099
50,1.0,28.0,1.0,24112.0,20994.0,308.0,526.3356673335238
51,1.0,28.0,11.0,4240.0,4174.0,240.0,516.0373742213704
52,1.0,28.0,12.0,3157.0,3147.0,385.0,673.8770257387988
53,1.0,28.0,13.0,3165.0,3148.0,335.0,470.5187420584498
54,1.0,29.0,1.0,25160.0,25062.0,246.0,473.26745670736574
55,1.0,29.0,6.0,5552.0,5501.0,428.0,589.7127794946373
56,1.0,29.0,15.0,3824.0,3811.0,260.0,438.0335869850433
57,1.0,30.0,1.0,37579.0,37365.0,67.0,353.6650608858557
58,1.0,30.0,12.0,4682.0,4613.0,125.0,427.6722306525038
59,1.0,30.0,17.0,9564.0,9529.0,147.0,510.19414419141566
60,1.0,31.0,1.0,21501.0,21131.0,217.0,530.1837111352988
61,1.0,31.0,7.0,4728.0,4707.0,546.0,785.0641597620565
62,1.0,31.0,17.0,4283.0,4236.0,64.0,514.1961756373938
63,1.0,32.0,1.0,6943.0,6906.0,332.0,546.3188531711555
64,1.0,32.0,8.0,3920.0,3876.0,258.0,557.1751805985552
65,1.0,33.0,1.0,6190.0,6096.0,186.0,469.97260498687666
66,1.0,34.0,1.0,59852.0,59360.0,216.0,547.7618261455525
67,1.0,34.0,7.0,3007.0,2959.0,376.0,586.0131801284217
68,1.0,34.0,11.0,5129.0,5111.0,54.0,428.725494032479
69,1.0,34.0,12.0,2885.0,2867.0,298.0,463.55284269271016
70,1.0,35.0,9.0,7338.0,7310.0,199.0,481.0198358413133
71,1.0,35.0,13.0,29840.0,29519.0,142.0,518.6978894949016
72,1.0,36.0,1.0,9284.0,9183.0,161.0,460.92181204399435
73,1.0,36.0,9.0,1616.0,1602.0,95.0,415.77153558052436
74,1.0,41.0,17.0,1118.0,1118.0,423.0,680.6314847942755
75,2.0,2.0,1.0,21880.0,21855.0,93.0,297.58101121024936
76,2.0,2.0,16.0,3709.0,3709.0,98.0,434.2531679698032
77,2.0,2.0,26.0,1860.0,1860.0,379.0,444.34032258064514
78,2.0,3.0,1.0,8428.0,8425.0,393.0,581.5354302670623
79,2.0,3.0,5.0,10111.0,10107.0,609.0,793.7926189769466
80,2.0,3.0,19.0,1749.0,1749.0,428.0,616.0485991995427
81,2.0,4.0,1.0,21155.0,19885.0,221.0,370.61604224289664
82,2.0,4.0,3.0,23518.0,23496.0,365.5,521.9581205311542
83,2.0,4.0,6.0,1986.0,1986.0,689.5,854.453172205438
84,2.0,4.0,22.0,1138.0,1138.0,964.5,1010.1054481546573
