,state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name_x,district_name_x,court_name_x,total_cases,total_valid_cases,median_decision_days,mean_decision_days,state_name_y,district_name_y,court_name_y
16,13.0,2.0,10.0,1795.0,0.9195696721311476,505.2,678.0,5.0,5.0,Uttar Pradesh,Bareilly,acjmnerbly,619.0,539.0,5.0,247.58,Uttar Pradesh,Bareilly,acjmnerbly
5,9.0,25.0,6.0,2747.0,1.8548278190411884,382.6363636363636,250.0,11.0,11.0,Rajasthan,Banswara,DJ ADJ Banswara District HQ,3202.0,2771.0,5.0,195.57,Rajasthan,Banswara,DJ ADJ Banswara District HQ
9,10.0,7.0,7.0,1975.0,0.9454284346577309,451.0,473.5,6.0,6.0,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court,16154.0,16051.0,5.0,135.14,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court
19,17.0,14.0,19.0,3542.0,1.0779062690200851,159.37142857142857,107.0,35.0,35.0,Gujarat,SURAT,bardoli_addldj Court,4942.0,4882.0,5.0,115.03,Gujarat,SURAT,bardoli_addldj Court
11,10.0,9.0,5.0,2975.0,1.4837905236907731,633.8571428571429,729.0,7.0,7.0,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi",21595.0,19789.0,5.0,75.92,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi"
10,10.0,8.0,9.0,3141.0,0.9840225563909776,430.22222222222223,179.0,9.0,9.0,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment,18930.0,18903.0,6.0,116.55,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment
18,17.0,36.0,1.0,5826.0,3.429075927015892,861.5454545454545,784.0,11.0,11.0,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR",10153.0,10037.0,6.0,204.23,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR"
17,17.0,35.0,1.0,11026.0,4.320532915360501,629.4761904761905,523.0,21.0,21.0,Gujarat,Valsad,valsad_district Court,17710.0,17689.0,6.0,209.77,Gujarat,Valsad,valsad_district Court
14,10.0,3.0,12.0,622.0,0.5675182481751825,155.5,82.5,4.0,4.0,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli",40286.0,40234.0,6.0,70.71,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli"
7,9.0,20.0,8.0,1640.0,0.9624413145539906,1185.5,1185.5,2.0,2.0,Rajasthan,Kota,DJ ADJ - Kota HQ,16393.0,13865.0,7.0,185.87,Rajasthan,Kota,DJ ADJ - Kota HQ
12,10.0,15.0,3.0,1959.0,0.9098931723176964,1345.0,1345.0,2.0,2.0,Tamil Nadu,Madurai,Principal District Judge,33566.0,31387.0,7.0,120.16,Tamil Nadu,Madurai,Principal District Judge
6,9.0,10.0,5.0,4032.0,1.9544352884149296,343.375,235.5,16.0,16.0,Rajasthan,Bundi,DJ ADJ - Bundi HQ,9668.0,8054.0,8.0,175.25,Rajasthan,Bundi,DJ ADJ - Bundi HQ
13,10.0,17.0,1.0,7664.0,3.3791887125220472,602.5,317.5,20.0,20.0,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR",22832.0,22010.0,8.0,103.65,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR"
0,8.0,12.0,5.0,2028.0,0.6171637248934875,886.0,769.0,3.0,3.0,Bihar,Madhepura,Uda-Kishunganj CJM Division,587.0,587.0,1329.0,1430.23,Bihar,Madhepura,Uda-Kishunganj CJM Division
2,8.0,31.0,4.0,1357.0,0.7218085106382979,696.0,629.0,3.0,3.0,Bihar,Sitamarhi,Pupri CJM Division,365.0,365.0,1388.0,1187.52,Bihar,Sitamarhi,Pupri CJM Division
3,8.0,36.0,5.0,1474.0,1.8849104859335042,962.0,1079.0,3.0,3.0,Bihar,Jehanabad,Arwal CJM Division,426.0,426.0,1391.0,1566.07,Bihar,Jehanabad,Arwal CJM Division
4,8.0,37.0,2.0,444.0,1.865546218487395,230.14285714285717,241.0,7.0,7.0,Bihar,Sheohar,Sheohar CJM Div.,476.0,476.0,1414.0,1470.04,Bihar,Sheohar,Sheohar CJM Div.
8,9.0,39.0,2.0,4932.0,2.8909730363423214,413.4736842105263,383.0,19.0,19.0,Rajasthan,Jodhpur District,CJM ACJM JM-Jodhpur District HQ,454.0,453.0,1428.0,1402.76,Rajasthan,Jodhpur District,CJM ACJM JM-Jodhpur District HQ
20,18.0,21.0,4.0,3259.0,1.7779596290234587,1180.25,1156.5,4.0,4.0,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur,6047.0,5105.0,1554.0,1516.11,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur
15,11.0,27.0,3.0,8084.0,2.938567793529625,1027.7,1024.0,10.0,10.0,Orissa,Anugul,"Chief Judicial Magistrate, Anugul",8747.0,8607.0,1569.0,1591.65,Orissa,Anugul,"Chief Judicial Magistrate, Anugul"
1,8.0,17.0,9.0,2960.0,0.9863378873708764,369.1,262.0,10.0,10.0,Bihar,Darbhanga,Biraul CJM Division,311.0,311.0,1629.0,1659.07,Bihar,Darbhanga,Biraul CJM Division
