state_code,dist_code,court_no,mean_days,median_days,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count),A_count (0-1 yrs),B_count (1-3 yrs),C_count (3-5 yrs),D_count (5-10 yrs),E_count (10-20 yrs) 
13.0,2.0,10.0,401.961038961039,8.0,1795,0.9195696721,505.2,678.0,5,5,Uttar Pradesh,Bareilly,acjmnerbly,619,539,5.0,247.5844156,673.1409471,,,,,
10.0,9.0,5.0,14.648629795714998,3.0,2975,1.483790524,633.8571429,729.0,7,7,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi",21595,19789,5.0,75.92046086,14553.941180000002,18364.0,1251.0,151.0,23.0,0.0
10.0,7.0,7.0,51.5326129556016,4.0,1975,0.9454284347,451.0,473.5,6,6,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court,16154,16051,5.0,135.1479659,17086.433419999998,14376.0,1062.0,385.0,228.0,0.0
9.0,25.0,6.0,57.739343563512364,32.0,2747,1.854827819,382.63636360000004,250.0,11,11,Rajasthan,Banswara,DJ ADJ Banswara District HQ,3202,2771,5.0,195.57163480000003,1726.305788,,,,,
17.0,14.0,19.0,63.64513126047291,3.0,3542,1.077906269,159.37142859999997,107.0,35,35,Gujarat,SURAT,bardoli_addldj Court,4942,4882,5.0,115.0331831,4584.814229,4404.0,321.0,135.0,22.0,0.0
17.0,36.0,1.0,38.22427018964415,5.0,5826,3.429075927,861.5454545,784.0,11,11,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR",10153,10037,6.0,204.2339344,2960.85599,,,,,
17.0,35.0,1.0,41.465214958500425,4.0,11026,4.320532915,629.4761905,523.0,21,21,Gujarat,Valsad,valsad_district Court,17710,17689,6.0,209.7773758,4099.031379999999,,,,,
10.0,3.0,12.0,36.93954447464617,3.0,622,0.5675182482,155.5,82.5,4,4,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli",40286,40234,6.0,70.71817368,70986.26367,,,,,
10.0,8.0,9.0,22.3951045221843,3.0,3141,0.9840225564,430.22222220000003,179.0,9,9,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment,18930,18903,6.0,116.55805959999999,19237.3639,,,,,
9.0,20.0,8.0,33.557573907291506,2.0,1640,0.9624413145999999,1185.5,1185.5,2,2,Rajasthan,Kota,DJ ADJ - Kota HQ,16393,13865,7.0,185.8760909,17032.72683,,,,,
10.0,15.0,3.0,23.186724094248795,4.0,1959,0.9098931723,1345.0,1345.0,2,2,Tamil Nadu,Madurai,Principal District Judge,33566,31387,7.0,120.16360279999999,36890.04492,,,,,
10.0,17.0,1.0,49.52686659044939,11.0,7664,3.379188713,602.5,317.5,20,20,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR",22832,22010,8.0,103.6536574,6756.651357,,,,,
9.0,24.0,5.0,49.498740131026366,7.0,2674,1.5701702880000001,413.6,243.0,10,10,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ,5696,5404,8.0,181.5649519,3627.6320119999996,,,,,
9.0,10.0,5.0,47.25333027101516,4.0,4032,1.9544352880000002,343.375,235.5,16,16,Rajasthan,Bundi,DJ ADJ - Bundi HQ,9668,8054,8.0,175.2518003,4946.697421,6918.0,871.0,148.0,117.0,0.0
9.0,4.0,24.0,86.74193548387095,43.0,1935,1.8376068380000001,424.625,389.5,8,8,Rajasthan,Jaipur Metro,ACMM RAILWAY JAIPUR METRO,23196,3098,8.0,115.30890900000001,12622.93953,,,,,
8.0,38.0,5.0,1355.5376067700095,1270.0,1543,1.236378205,300.5,81.0,10,10,Bihar,Muzaffarpur,CJM Division (West),1338,1337,1110.0,1262.845924,1082.19313,,,,,
4.0,9.0,5.0,764.8974836905871,551.0,5617,1.7831746030000002,416.4117647,212.0,17,17,Kerala,Thiruvananthapuram,Addl Chief Judicial Magistrate Trivandrum,1679,1679,1112.0,1251.378797,941.5791347999999,,,,,
