,year,state_code,dist_code,court_no,mean_days,median_days
0,2010,17,35,1,398.1061598951507,145.0
1,2010,10,9,5,309.54618473895584,58.0
2,2010,10,7,7,529.5381263616558,462.0
3,2010,17,36,1,212.68075117370893,126.0
4,2010,21,1,3,70.78082191780823,47.0
5,2010,17,13,18,319.3809523809524,347.5
6,2010,10,8,9,675.7705207413945,674.0
7,2010,1,13,13,795.231527093596,791.0
8,2010,17,29,18,1844.7428571428572,1809.0
9,2010,10,15,3,443.15960099750623,339.0
10,2010,10,1,20,2660.9,2636.0
11,2010,10,32,5,1807.121546961326,1780.0
12,2010,9,2,12,898.25,886.0
13,2010,10,12,24,97.17307692307692,91.0
14,2010,10,14,18,1074.2920353982302,40.0
15,2010,10,3,21,1298.6302083333333,1282.0
16,2010,20,9,7,3290.0,3290.0
17,2010,10,12,18,38.56410256410256,32.0
18,2010,10,12,26,130.30061349693253,33.0
19,2010,10,12,26,130.30061349693253,33.0
20,2010,10,27,22,3042.5,3068.5
21,2010,18,16,9,3494.0,3494.0
22,2011,17,35,1,152.4203821656051,22.0
23,2011,10,9,5,82.8091697645601,36.0
24,2011,10,7,7,182.720176730486,132.0
25,2011,17,36,1,110.79028436018957,35.0
26,2011,21,1,3,27.72222222222222,29.0
27,2011,17,13,18,99.67307692307692,67.0
28,2011,10,8,9,335.02650176678446,323.0
29,2011,1,13,13,424.4157303370786,427.0
30,2011,17,29,18,1481.175,1467.5
31,2011,10,15,3,262.08067226890756,165.0
32,2011,10,1,20,2273.782608695652,2253.0
33,2011,10,32,5,1412.2101910828026,1409.0
34,2011,9,2,12,630.9622641509434,588.0
35,2011,10,12,24,154.42028985507247,70.5
36,2011,9,31,17,2970.0,2970.0
37,2011,9,31,17,2970.0,2970.0
38,2011,10,14,18,806.0967741935484,34.5
39,2011,15,9,13,2870.0,2870.0
40,2011,10,3,21,846.9154929577464,805.0
41,2011,20,9,7,2677.8,2699.0
42,2011,10,12,18,42.01587301587302,33.0
43,2011,10,12,26,142.08080808080808,30.5
44,2011,10,12,26,142.08080808080808,30.5
45,2011,10,27,22,2731.445945945946,2729.5
46,2012,17,35,1,69.79820317899102,16.0
47,2012,10,9,5,51.33251028806584,32.0
48,2012,10,7,7,192.6415313225058,66.0
49,2012,17,36,1,73.49197080291971,29.0
