year,state_code,dist_code,court_no,mean_days,median_days
2010,1,1,3,24.357988165680474,11.0
2010,1,2,1,384.89088397790056,94.0
2010,1,3,2,14.704866008462623,6.0
2010,1,4,1,9.891223733003708,6.0
2010,1,5,1,61.187,30.0
2010,1,7,1,58.538730343622596,22.0
2010,1,8,1,16.284477784189267,7.0
2010,1,9,1,208.64866623292127,6.0
2010,1,10,1,37.149253731343286,6.0
2010,1,11,3,269.03846153846155,73.0
2010,1,12,1,9.963054187192117,2.0
2010,1,13,1,52.07006369426752,39.5
2010,1,14,1,33.53075170842825,14.0
2010,1,15,2,19.541484716157207,5.0
2010,1,17,1,16.143428285857073,4.0
2010,1,18,1,3.6019261637239164,1.0
2010,1,19,4,22.935772674192293,5.0
2010,1,20,1,15.677371394588166,12.0
2010,1,21,1,52.66443745082612,43.5
2010,1,24,1,17.329764453961456,8.0
2010,1,25,1,31.977051588030108,13.0
2010,1,26,1,64.6756624141315,42.0
2010,1,26,9,117.83653846153847,51.0
2010,1,27,1,3.336923076923077,1.0
2010,1,28,1,88.1799511002445,18.0
2010,1,29,1,74.37653990358865,14.0
2010,1,30,12,24.27763496143959,10.0
2010,1,31,1,43.82078009414929,11.0
2010,1,31,17,569.9543726235742,569.0
2010,1,32,1,20.368078175895764,11.0
2010,1,33,1,3.0,2.0
2010,1,34,1,40.83381502890173,19.0
2010,1,35,13,14.08641494745037,4.0
2010,1,36,1,56.13812154696133,5.0
2010,1,37,2,15.385131578947368,3.0
2010,1,41,17,2308.0165289256197,2288.0
2010,1,1,7,32.35856573705179,11.5
2010,1,20,9,85.69719827586206,63.0
2010,1,21,25,89.31242603550295,4.0
2010,1,21,28,13.585798816568047,4.0
2010,1,25,4,43.26557632398754,14.0
2010,1,28,11,279.81944444444446,39.0
2010,1,28,12,229.33666666666667,31.0
2010,1,28,13,1965.2,2045.0
2010,1,31,7,22.762666666666668,11.0
2010,1,36,9,1443.875,1414.5
2010,1,1,1,57.49458784346378,30.0
2010,1,2,2,34.125,2.5
2010,1,3,3,123.55151515151515,4.0
2010,1,4,2,37.6243654822335,41.0
2010,1,5,2,600.985119047619,498.0
2010,1,7,2,409.8833333333333,2.0
2010,1,8,2,59.35602094240838,64.0
2010,1,9,2,39.705882352941174,5.0
2010,1,10,2,90.88553370786516,55.5
2010,1,11,4,218.20579710144926,157.0
2010,1,12,2,40.68571428571428,42.0
2010,1,13,2,119.77533182259631,50.0
2010,1,14,2,35.54510756419153,28.0
2010,1,17,2,106.24719101123596,123.0
2010,1,18,2,22.90289483327226,30.0
2010,1,19,3,10.179264135417892,10.0
2010,1,20,3,71.04391779913821,60.0
2010,1,21,2,126.5113475177305,144.0
2010,1,24,2,41.06039076376554,27.0
2010,1,26,2,40.242523247047,16.0
2010,1,27,2,24.57377049180328,15.0
2010,1,28,2,37.81172839506173,25.0
2010,1,29,2,73.93806306306307,38.0
2010,1,31,3,47.00959909655562,25.0
2010,1,32,2,39.082959641255606,41.0
2010,1,33,2,27.53846153846154,12.0
2010,1,34,3,72.43111638954869,59.0
2010,1,35,12,42.45735422106179,21.0
2010,1,23,1,316.9769768563163,127.0
2010,1,23,3,524.0969696969697,57.0
2010,1,23,6,171.2964314679643,73.0
2010,1,23,9,892.4345057610673,908.0
2010,1,23,10,122.93023815251384,104.0
2010,1,23,15,959.4562178072111,790.0
2010,2,2,1,229.67677642980937,217.5
2010,2,3,1,377.9267857142857,362.0
2010,2,4,1,258.8365871294288,230.0
2010,2,5,1,147.52051835853132,122.0
2010,2,5,17,439.139896373057,392.0
2010,2,7,1,102.61450044208665,59.0
2010,2,10,1,316.5296889726673,293.0
2010,2,11,6,352.78224687933425,386.0
2010,2,15,1,139.83037037037036,48.0
2010,2,17,1,461.4488734835355,457.0
2010,2,19,1,384.91346153846155,358.5
2010,2,20,1,411.9256505576208,365.0
2010,2,21,1,314.6109134045077,278.0
2010,2,23,1,365.116112198304,325.0
2010,2,2,16,851.0459770114943,856.0
2010,2,2,26,1854.6666666666667,1903.0
2010,2,3,5,399.53708040593284,396.0
2010,2,3,19,1657.677966101695,1774.0
2010,2,4,3,296.4053651266766,272.0
2010,2,4,6,341.42335766423355,236.0
2010,2,4,22,1658.025641025641,1612.0
2010,2,4,34,689.1428571428571,351.0
2010,2,5,23,131.2284122562674,54.0
2010,2,5,32,1189.3846153846155,1075.5
2010,2,7,14,65.54140127388536,41.0
2010,2,7,15,751.7430830039526,130.0
2010,2,7,27,745.0833333333334,1008.5
2010,2,10,6,1381.4262295081967,1353.0
2010,2,10,15,1456.7941176470588,1269.0
2010,2,10,30,1397.1764705882354,1277.0
2010,2,11,1,154.75427224513848,75.0
2010,2,11,19,267.90714285714284,117.0
2010,2,11,23,972.2727272727273,1029.0
2010,2,15,10,1220.36,283.0
2010,2,17,22,1032.2727272727273,823.0
2010,2,19,13,1392.764705882353,1572.0
2010,2,20,6,653.6734104046243,402.5
2010,2,20,10,812.7647058823529,725.5
2010,2,21,17,3095.0,3095.0
2010,2,23,6,1152.859375,1119.5
2010,2,23,13,1106.8125,1093.0
2010,2,23,20,1343.6299212598426,1309.0
2010,2,23,23,2296.8333333333335,2217.5
2010,2,4,31,74.04761904761905,58.0
2010,2,11,5,255.76131687242798,168.0
2010,2,20,11,640.7967032967033,619.5
2010,3,1,1,90.00506186726659,9.0
2010,3,2,1,169.84,8.0
2010,3,3,1,380.33962264150944,423.0
2010,3,4,1,61.438373570520966,19.0
2010,3,5,1,831.0,472.0
2010,3,6,1,158.6153846153846,59.0
2010,3,7,1,51.30827067669173,11.0
