act_s,count,act
"/U/S 363, 376 of IPC and Sec. 3(I), (II), (V) of SC/ST Act & Sec., 4, 8 PCSO Act-2012",1,61
"114,323,324,332,353,355,504,506 r/w 34 of IPC and Sec.3(1)(m), 3(1)(r),3(1)(s),3(2)(va) of SC/ST Act",1,135
"115, 120(B), 302, 307 r/w 34 of IPC and Sec. 3(2)(V) of SC/ST POA ACT",1,139
"120 B 406 408 409 420 RW 34 IPC",1,168
"120(B), 302, 307, 201 r/w 34  of IPC and Sec. 3(2),(VA)  SC/ST  Act 2015",2,170
"13 of1 F 32,34, KE Act redwith 272,273 of IPC",26,275
"135 of IE Act and Sec. 506, 379 r/w 34 IPC and Sec. 42, 43, 44 of KMMC Rule and Sec. 21(1)(1A)4(1)4(",2,347
"136 RPACT AND 171/E IPC",2,352
"141,142,143,144,147,148,504,506,323,324,354 r/w 149 of IPC and Sec. 3(1)(r),3(1)(w)of SC/ST Act 2015",1,409
"141,143,144,147,148,341,324,326,427,435,307,153(a),504 r/w 149 of IPC, sec 2 of KPOD and LOP Act1981",1,410
"141,143,144,147,148,341,326,427,435,307 R/W 149 of IPC and Sec. 2 of KPDLP and Loss of Property Act",1,411
"143 147 148 149 427 506 504 IPC and 2(B)K.P.D and Loss of Property Act 1981",1,413
"143 147 148 427 448 149 IPC 2(b) Karnataka Prevention of Destruction and Loss of Property Act",1,416
"143 147 148 447 323 504 427 149 IPC 2B Karnataka Prevention of Destruction and Loss of Property Act",1,417
"143 147 323 354 448 504 506 109 R/w 149 IPC and Sec. 3.I.X. XI. of SC/ST PA Act 1989",3,418
"143 147 324 326 307 302 436 504 506 Rw 149 IPC and 3 I  X 3 1 XI 3 2 iii 3 2 iv 3 2 V SC/ST Act 1989",5,419
"143 147 498 A RW 149 302 IPC and 4 DP ACT",2,421
"143, ,147, 144, 148, 323, 324, 307, 504 r./w149 of IPC and Sec. 3(1)(r)(s), 3(2)(va) of SC/ST  Act",1,424
"143, 144, 146, 504, 341, 323, 324, 307 r/w 149 of IPC and Sec.3(1)(r), 3(1)(s), 3(2)(v) of SC/ST POA",1,425
"143, 144, 147, 148, 324, 354, 504 r/w. 149 of IPC and Sec. 3-1-r, 3-1-s, 3-2-va of SC/ST POA Act",1,426
"143, 144, 147, 354(B),35(D) , 323, 324, 506, 149 of IPC and Sec. 12 of POCSO Act.",5,427
"143, 144, 147, 448, 323, 354,506 r/w  149 IPC and Sec. 3(1)(r)(s), 3(2)(va) of SC/ST POA Act.",2,428
"143, 144, 147,148, 427, 324, 448,  504, 506, ,307, 395, r/w 149 of IPC  and sec. 3(2)(va) ofSCST Act",2,429
"143, 144, 148, 341, 506 r/w 149 of IPC and Sec. 3(1)(10) of SC/ST POA Act",1,430
"143, 144, 148,504,354, 324,506 r/w 149 of IPC and Sec. 3(1)(r),3(1)(w) SC/ST POA Act",2,431
"143, 144, 355, 323, 504, 506 r/w 149 of IPC and Sec. 3(1)(r)(s)(2)(va) SC/ST of POA Act.",1,432
"143, 144, 447, 504, 323, 354 r/w 149 of IPC and Sec. 3(1)(f)(s) of SC/ST Amendment Act 2015.",2,433
"143, 144, 504, 323, 506 r/w 149 of IPC and Sec. 3(1)(r) of SC/ST POA Act.",2,434
"143, 145, 147, 323, 506 r/w. 149 of IPC and Sec. 3-1-s of SC/ST Amendement Act 2015",1,435
"143, 147, 114, 323, 355,354(b), 392, r/w 149 of IPC and Sec. 3(1)(f), 3(1)(q), 3(2)(5a) of SC/ST ACT",1,436
"143, 147, 148, 115, 302 R/w 149 IPC and 3.2.V. SC/ST PA Act 1989",2,437
"143, 147, 148, 323, 324, 354, 504, 506 R/w 149 IPC and 3.I.X.XI SC/ST PA Act 1989",2,438
"143, 147, 148, 323, 326, 307, 504 R/w 149 IPC and 212 IPC.",1,439
"143, 147, 148, 324, 323, 354(B), 504, 506 r/w 149 of IPC and sec.3(1)(m),3(1)(r),3(2)(va) SC/ST POA",1,440
"143, 147, 148, 324, 323, 504, 506 r/w 149 of IPC and Sec. 3(1)(r), 3(2)(va) of SC/ST  POA Act.",1,441
"143, 147, 323, 354, 504, 506, 447 r/w. 149 of IPC and Sec. 3(1)(iv), 3(XI) of SC/ST POA Act",2,442
"143, 147, 324, 326, 504 r/w 149 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va), 3(2)(v) of SC/ST POA Act",1,443
"143, 147, 354, 323, 504 r/w 149 of IPC and Sec. 3(1)(r), 3(1)(s), 3(1)(w), 3(2)(va) of SC/ST of POA",2,444
"143, 147, 427 IPC and 3, 4 the Prevention of Damage to Public Property Act 1984",1,445
"143, 147, 427 R/w 149 IPC and 3, 4 Prevention of Damage to Public Property Act 1984",1,446
"143, 147, 427, 436, 153(a), 295(a), 114, 120B, 188 r/w 149 of IPC and 2 of Prevention and Destructio",1,447
"143, 147, 427, 504, 323,506 r/w.   149 of IPC and  3-1-r, 3-1-g, 3-2-va of SC/ST POA Act",1,448
"143, 147, 427, 504,323, 506 r/w. 149 of IPC and Sec. 3-1-10, 3-1-15 of SC/ST POA Act",1,449
"143, 323, 324, 506 r/w 149 IPC  Sec. 3(1)(r), 3(1)(s) of SC ST POA act",5,450
"143, 323, 324, 506 r/w 149 of IPC and Sec. 3(1)(r), 3(2)(va) of SC/ST POA Act",1,451
"143, 323, 504 r/w 149 of IPC and sec. 3(1)(r), 3(1)(s) of SC/ST POA Act.",1,452
"143, 341, 504, 323, 324, 147, 506 r/w. 149 of IPC and Sec. 3(1)(x) of SC/ST POA Act",1,453
"143, 341, 504, 323, 324, 147, 506, r/w. 149 of IPC 1860 and Sec. 3(1)(r)(u) of SC/ST POA Act1989",2,454
"143, 376(2)(n), 323, 341, 417, 420, 504, 506, 114 r/w 149 of IPC and Sec. 3(1)(w), 3(2)(va)  SC/ST A",1,455
"143, 447, 506,355, 323, 504R/w 149 of IPC and Sec. 3(1)(r) 3(1)(s)3(1)(i), 3(1)(g) of SCST POA Act.",1,456
"143, 504, 323, 506,427,  149 of IPC and sec. 3(1)(r),3(1)(s),3(2)(va)of SC /ST POA Act.",3,457
"143,144,146,147,148,149,120 B,302,141,142  of IPC and U/S 5,9 B1 of Explosivi Substances Act 1908",1,458
"143,144,147 341, 323, 354,504,506 r/w 149 of IPC 3(1)(r), 3(1)(c), 3(1)(s), 3(1)(t), 3(1)(w) SC/ST",1,459
"143,144,147,148,323,324, 354, 355,504,506 r/w 149 of IPC and Sec.3(1)(r),3(1)(s),3(2)(va) SC/ST",1,460
"143,144,147,148,341,504,323,324,353,332,186,149 of IPC 1860 and sec. 86,87Karnataka Forest act 1963",1,461
"143,144,147,148,341,504,323,324,354,436,506,149 of IPC ,Sec.3(1)(r),(s),(t),3(2)(va),3(2)(iii)SC/ST",1,462
"143,144,147,148,427,504,323, 307,324,114 r/w 149 of IPC and Sec.3(1)(r), 3(1)(s),3(2)(v) SC/ST Act",1,463
"143,145,188,186,435,307,427,153(a),295(a) r/w149 of IPC, Sec. 2 of KPDLP Act 1981,3 of PDPP Act 1984",1,464
"143,147,148 IPC AND 3 PDPP ACT",2,466
"143,147,148,307,153A,295A r/w 149 of IPC,sec 2 of KPDLP Act",1,467
"143,147,148,323,324,307,355,504,506.2. R/w 149 IPC and 3.1.X.XI, 3.2.V. SC/ST PA Act",1,468
"143,147,148,323,324,326,307,504,506.2. r/w 149 IPC and 3.I.X.  3.II.V. SC/ST PA Act 1989",1,469
"143,147,148,332,333,353,308,427,504 AND R/W 149 IPC AND 3 OF PDPP ACT 1984",2,470
"143,147,148,448,323,324,354(b),355,379,504,506 r/w149 of IPC and sec. 3(1)(r),3(1)(s),3(2)(va) SC/ST",1,471
"143,147,153(A),295(A),436,427 R/W SEC 149 OF IPC and SEC 2 OF KPDLP ACT and  SEC 4 OF PDP ACT",1,472
"143,147,323,431,504,506 r/w 149 of IPC and sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act.",1,473
"143,147,354,323,504,506 r/w 149 of IPC 1860 and Sec.3(1)(c),3(1)(r)(s)(2)(va) of SC and ST POA Act",1,474
