act_s,count,act
"....112 r/w 183 14.d.r/w 177 m.v.act",1,26
"....3 r/w 181 m.v.act",38,29
"...181 m.v.Act",8,36
"...184 m.v act",13,37
"...219 R/w 177 M.V Act",1,38
"..112 R/w 177 m.v.act",1,43
"..13.3.R/W 177 M.V.Act",1,45
"..146 r/w 196 mv Act",4,47
"..201 m.v act",1,50
"..66 .1. R/w 192 Mv act",3,52
"100 R/w.177 M.V. Act",2,82
"113 R/W 194 MV Act",4,133
"113r/w 194 M.V.Act.",2,134
"115 R/w.190.2 of M.V. Act",1,136
"115 RW 177 M.V.ACT",17,137
"115 RW 190  2 IMV Act",10,138
"117 r w 177 IMV Act",3,142
"117 r/w 177 m.v.act",1,143
"117 RW 177 M.V.ACT",76,141
"119 RW 177 M.V.ACT",17,146
"127 READ WITH 177 IMV ACT",3,185
"128.1 R/w.177 of M.V. Act",8,191
"13 R (i) (ii) (iii) (iv) r/w 177, 146 r/w 196, cmv 115 r/w 190(2) , 128 r/w 177 IMV ACT",5,244
"13(I) (II) (III)(IV) R/W 177, 128 R/W 177, 119 R/W 177 IMV ACT",1,292
"13(R)(i) (ii)(iii)(iv) r/w 177, rule13(S) R/w 177, 230 R/w177, CMV Rule51 r/w 177, 179 IMV Act",1,293
"13(r)(i)(iii)(iv) r/w 177  IMV Act",1,298
"13(r)(ii) R/w 177, CMV rule 115 r/w 190(2) IMV Act",1,299
"13(S) R/w 177 M.C Act U/sec 14(a)(b) R/w 177 MV Act",1,294
"13.5 R/w.177 of M.V. Act",11,315
"13.R.11 R/w.177 of M.V. Act",1,317
"13.R.II R/w.177 of M.V. Act",14,318
"13.R.III R/w.177 of M.V. Act",9,319
"13.V R/w.177 of M.V. Act",1,320
"130 3 R/W 177 IMV ACT",6,326
"130 3 RW 177 M.V.ACT",38,327
"130 C1 1 RW 177 M.V.ACT",6,328
"130, 16, 56 R/w 177 IMV ACt",2,331
"134  A   IMV Act",73,338
"134 A and B rw 187 IMV",36,339
"134 B rw 187 IMV",3,340
"14 KMV Act r/w 177 IMV Act",7,396
"14 R/w. 177 M.V. Act",1,397
"14 Rw 106 IMV Act",1,399
"140 of MV Act",59,407
"146 r/w 196 m.v.act.",19,488
"146 RW 196 MV ACT",10,487
"151 OF CPC R/W 169 1  OF IMV ACT",1,517
"163 MV Act.",22,544
"163-A M.V. Act",5,546
