act_s,count,act
"....142 NI Act",1,28
"138  of N I Act",1300,353
"138 0f negotiable instrument act",573,354
"138 AND 142 OF NI ACT",4113,355
"138 N I ACT",1065,356
"138 N I Act",1224,357
"138 N I act",572,359
"138 N. I. Act",14002,360
"138 N. I. Act.",11921,361
"138 N.I Act",28,362
"138 N.I. Act",6255,364
"138 N.I. ACT",800,363
"138 N.I.Act",30447,366
"138 N.I.ACT",592,365
"138 N.I.Act.",15968,367
"138 NEGOTIABLE ACT (N.I. ACT)",93,368
"138 NI Act 1881",207,371
"138 NI ACT",14435,369
"138 ni act",3,378
"138 NI Act",7570,370
"138 NIAct",43,372
"138 of N I Act",924,379
"138 OF N I ACT",96,373
"138 of N.I Act",895,380
"138 of N.I. Act",2979,381
"138 of N.I. Act.",8,382
"138 OF N.I.ACT",3022,374
"138 OF NEGOTIABLE INSTRUMENT ACT",165,375
"138 of Negotiable Instruments Act",251,384
"138 of NI Act",3378,383
"138 OF NI ACT",9208,376
"138, 139 and 142 of N.I Act",17,386
"138, 142 of NI Act.",21,387
"138,142 NI ACT",671,388
"200 of Cr.P.C.  Sec. 138 of N.I. Act and 357 of Cr.P.C.",16,750
"3 NI ACT",15,943
"3 NIACT",1,944
"4 N.I.ACT.",566,1565
"5 NI ACT",815,1723
"CRIMINAL CASES UNDER 138 N.I. ACT",75,4179
"CRIMINAL CSE UNDER 138 OF NEGOTIABLE INSTRUMENT ACT",7,4181
"Crl case U/s 138 Of N I ACT",216,5124
"IPC CASES / NI ACT CASES",496,7620
"N I  Act.",2823,10726
"N I ACT 138",17,10728
"N I ACT",2289,10727
"N I Act",2832,10729
"N I Act.",1126,10730
"N. I. Act",71406,10734
"N.I ACT",109,10752
"N.I Act",4135,10753
"N.I. ACT",2089,10754
"N.I. Act",4478,10755
"N.I. Act.",4373,10756
"N.I.Act",3600,10759
"N.I.ACT",8419,10758
"N.IAct",11,10760
"Negiotable Instrument ACT",142,10997
"NEGOSHIBLE INSTRUMENT  ACT",569,10805
"Negotable Instrument Act(NI Act)-1881",75,10998
"NEGOTIABLE  INSTRUMENT ACT",6878,10806
"Negotiable Act",19,10999
"negotiable act",74,28164
"Negotiable Inotrament Act",4,11000
"Negotiable Instrument Act (138) 1881",24328,11002
"Negotiable Instrument Act 138",1695,11003
"Negotiable Instrument Act 1881",18175,11004
"Negotiable instrument Act",10,11020
"NEGOTIABLE INSTRUMENT ACT",329,10807
"Negotiable Instrument Act",358348,11001
"Negotiable Instrumental Act",8,11005
"Negotiable Instruments (Amendment) Act",45,11006
"Negotiable instruments 138 NI Act",143,11021
"Negotiable Instruments Act  1881",1720,11008
"Negotiable Instruments Act  \",281877,11009
"Negotiable Instruments Act (N.I.A)",59,11010
"Negotiable Instruments Act 138",139,11011
"Negotiable Instruments Act 1881",240837,11012
"Negotiable Instruments Act 1988",22608,11013
"Negotiable Instruments Act \",63929,11014
"Negotiable Instruments Act",1740873,11007
"Negotiable instruments act",333,11022
"NEGOTIABLE INSTRUMENTS ACT",780690,10808
"Negotiable Instruments Act, 1881  The",25,11016
"Negotiable Instruments Act, 1881 The",2,11017
"Negotiable Instruments Act, 1881",1240,11015
"NEGOTIABLE INSTRUMENTS ACT, 1881",790884,10809
"Negotiable Instruments Amendment",9,11018
"Negotiable Insutrument Act.",1,11019
"NegotiableInstrumentsAct",104925,11023
"NI (Negotiable Instruments) Act",526,10814
"NI ACT 138 CR. PC",301,10817
"NI ACT 138",514,10816
"NI Act 138",809,10821
"NI ACT CASES",312,10818
"Ni Act cheque bounce",1,11038
"NI act",197,10822
"NI Act",5104,10820
"NI ACT",7459,10815
"NI ACT.",115,10819
"SEC 138 AND 142 N.I.ACT",207,15210
"sec 138 and 142 of NI Act",235,28388
"Sec 138 of  NI Act",4336,15606
"Sec 138 of NI Act",396,15607
