state_code,state_name,district_name,dist_code,court_no,court_name
9,Rajasthan,Merta (Nagaur),8,23,ACJM Degana Taluka HQ civil
9,Rajasthan,Merta (Nagaur),8,41,ACJM-Parbatsar Taluka HQ(civil)
9,Rajasthan,Bharatpur,13,30,ACJM- Nagar Taluka Civil
9,Rajasthan,Ajmer,14,16,ACJM-BEAWAR TALUKA (CIVIL)
9,Rajasthan,Ajmer,14,22,ACJM KEKRI TALUKA (CIVIL))
9,Rajasthan,Ajmer,14,29,ACJM-KISHANGARH TALUKA (CIVIL)
9,Rajasthan,Ajmer,14,37,ACJM -NASIRABAD TALUKA (CIVIL)
9,Rajasthan,Chittorgarh,30,25,ACJM  CIVIL BEGUN TALUKA
9,Rajasthan,Chittorgarh,30,36,ACJM CIVIL BADISADRI TALUKA
9,Rajasthan,Bhilwara,31,27,ACJM MANDALGARH CIVIL CASES
9,Rajasthan,Bhilwara,31,29,ACJM GANGAPUR CIVIL CASES
9,Rajasthan,Bhilwara,31,33,ACJM GULABPURA CIVIL AND CRIMINAL CASES
9,Rajasthan,Bhilwara,31,39,ACJM Shahpura Civil Cases
9,Rajasthan,Jodhpur District,39,11,ACJM Bilara Civil Cases
9,Rajasthan,Jodhpur District,39,16,ACJM Phalodi Civil
9,Rajasthan,Baran,12,22,ACJM JM Gram Civil- Atru Taluka
9,Rajasthan,Bhilwara,31,36,ACJM - Jahazpur Criminal and Civil Cases
9,Rajasthan,Merta Nagaur,8,23,ACJM Degana Taluka HQ civil
9,Rajasthan,Merta Nagaur,8,41,ACJM-Parbatsar Taluka HQ(civil)
9,Rajasthan,Jodhpur District,39,24,ACJM Civil - Pipar
2,Andhra Pradesh,East Godavari,4,31,III ADDL.JFCM COURT RAJAHMUNDRY
4,Kerala,Ernakulam,2,5,Additional Chief Judicial Magistrate
4,Kerala,Kannur,3,5,ACJM Court Thalassery
4,Kerala,Thiruvananthapuram,9,5,Addl Chief Judicial Magistrate Trivandrum
