state_code,state_name,district_name,dist_code,court_no,court_name
1,Maharashtra,Nandurbar,1,1,Chief Judcial Magistrate Nandurbar
1,Maharashtra,Dhule,2,2,CHIEF JUDICIAL MAGISTRATE COURT DHULE
1,Maharashtra,Jalgaon,3,3,CHIEF JUDICIAL MAGISTRATE JALGAON
1,Maharashtra,Buldhana,4,2,CHIEF JUDICIAL MAGISTRATE BULDANA.
1,Maharashtra,Akola,5,2,Chief Judicial Magistrate
1,Maharashtra,Amravati,7,2,CHIEF JUDICIAL MAGISTRATE COURT
1,Maharashtra,Wardha,8,2,COURT OF CHIEF JUDICIAL MAGISTRATE WARDHA.
1,Maharashtra,Nagpur,9,2,Chief Judicial Magistrate Nagpur
1,Maharashtra,Bhandara,10,2,CHIEF  JUDICIAL MAGISTRATE BHANDARA
1,Maharashtra,Gondia,11,4,Chief Judicial Magistrate Gondia
1,Maharashtra,Gadchiroli,12,2,CHIEF JUDICIAL MAGISTRATE GADCHIROLI
1,Maharashtra,Chandrapur,13,2,Chief Judicial Magistrate Chandrapur
1,Maharashtra,Yavatmal,14,2,Chief Judicial Magistrate Yavatmal
1,Maharashtra,Parbhani,17,2,CHIEF JUDICIAL MAGISTRATE COURT PARBHANI.
1,Maharashtra,Jalna,18,2,CHIEF JUDICIAL MAGISTRATE COURT JALNA
1,Maharashtra,Aurangabad,19,3,CHIEF JUDICIAL MAGISTRATE AURANGABAD
1,Maharashtra,Nashik,20,3,CHIEF JUDICIAL MAGISTRATE NASHIK.
1,Maharashtra,Thane,21,2,C.J.M. COURT THANE
1,Maharashtra,Raigad,24,2,Chief Judicial Magistrate Raigad-Alibag
1,Maharashtra,Ahmednagar,26,2,Chief Judicial Magistrate Ahmednagar
1,Maharashtra,Beed,27,2,CHIEF JUDICIAL MAGISTRATE BEED.
1,Maharashtra,Latur,28,2,Chief Judicial Magistrate Latur
1,Maharashtra,Osmanabad,29,2,CHIEF JUDICIAL MAGISTRATE COURT OSMANABAD.
1,Maharashtra,Satara,31,3,Chief Judicial Magistrate Satara
1,Maharashtra,Ratnagiri,32,2,CHIEF JUDICIAL MAGISTRATE COURT RATNAGIRI.
1,Maharashtra,Sindhudurg,33,2,CHIEF JUDICIAL MAGISTRATE SINDHUDURG
1,Maharashtra,Kolhapur,34,3,Chief Judicial Magistrate Kolhapur
1,Maharashtra,Sangli,35,12,CHIEF JUDICIAL MAGISTRATE SANGLI
3,Karnataka,BENGALURU RURAL,21,14,CJM RURAL COURT BENGALURU
4,Kerala,Kasaragod,1,4,CHIEF JUDICIAL MAGISTRATE COURT KASARAGOD
4,Kerala,Ernakulam,2,4,Chief Judicial Magistrate
4,Kerala,Kannur,3,4,CJM Court Thalassery.
4,Kerala,Thrissur,4,4,CJM COURT THRISSUR
