state_code,state_name,district_name,dist_code,court_no,court_name
1,Maharashtra,Nandurbar,1,3,DISTRICT AND SESSIONS COURT
1,Maharashtra,Nandurbar,1,7,Additional District  And Sessions Court Shahada
1,Maharashtra,Dhule,2,1,DISTRICT AND SESSIONS COURT
1,Maharashtra,Jalgaon,3,2,DISTRICT AND SESSIONS COURT JALGAON
1,Maharashtra,Jalgaon,3,5,DISTRICT COURT 1 AND ADDL. SESSIONS COURT
1,Maharashtra,Buldhana,4,1,DISTRICT COURT
1,Maharashtra,Buldhana,4,9,DIST.JUDGE-I  ADDITIONAL SESSIONS JUDGE
1,Maharashtra,Buldhana,4,14,District Judge and Addl. Sessions Judge
1,Maharashtra,Akola,5,1,Principal District and Sessions Judge
1,Maharashtra,Akola,5,5,District Judge - 1
1,Maharashtra,Amravati,7,1,DISTRICT  AND SESSIONS COURT AMRAVATI
1,Maharashtra,Amravati,7,6,COURT OF DISTRICT JUDGE-1 ACHALPUR
1,Maharashtra,Wardha,8,1,DISTRICT AND SESSIONS COURT WARDHA.
1,Maharashtra,Nagpur,9,1,DISTRICT  AND  SESSIONS COURT NAGPUR
1,Maharashtra,Bhandara,10,1,DISTRICT  SESSIONS COURT BHANDARA
1,Maharashtra,Gondia,11,3,DISTRICT COURT
1,Maharashtra,Gadchiroli,12,1,DISTRICT AND SESSIONS COURT GADCHIROLI.
1,Maharashtra,Chandrapur,13,1,DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.
1,Maharashtra,Chandrapur,13,13,District Judge-1 and ASJ Warora
1,Maharashtra,Yavatmal,14,1,District and Sessions Court
1,Maharashtra,Yavatmal,14,6,Court of District Judge-1 and A.S.J. Darwha
1,Maharashtra,Yavatmal,14,12,DISTRICT JUDGE-1 And ADDL. SESSIONS JUDGE
1,Maharashtra,Yavatmal,14,17,DISTRICT  SESSIONS COURT PUSAD
1,Maharashtra,Nanded,15,2,DISTRICT  AND SESSIONS COURT NANDED
1,Maharashtra,Nanded,15,16,DIST. JUDGE-1  ADDL. SESSIONS JUDGE BILOLI
1,Maharashtra,Nanded,15,20,COURT OF DISTRICT JUDGE-1 BHOKAR
1,Maharashtra,Nanded,15,23,District Judge -1 Kandhar Camp at Mukhed
1,Maharashtra,Parbhani,17,1,DISTRICT  SESSIONS COURT PARBHANI.
1,Maharashtra,Parbhani,17,4,District Judge 1 and Addl.Sessions Court
1,Maharashtra,Parbhani,17,7,District Judge 1 and Addl.Sessions Court
1,Maharashtra,Parbhani,17,10,District Judge 1 and Addl.Sessins Court
1,Maharashtra,Jalna,18,1,District  and Sessions Court Jalna
1,Maharashtra,Aurangabad,19,4,DISTRICT AND SESSIONS COURT AURANGABAD.
1,Maharashtra,Nashik,20,1,DISTRICT AND SESSIONS COURT NASHIK.
1,Maharashtra,Nashik,20,7,DISTRICT COURT
1,Maharashtra,Nashik,20,9,ADDITIONAL DISTRICT AND SESSIONS COURT
1,Maharashtra,Thane,21,1,DISTRICT AND SESSIONS COURT
1,Maharashtra,Thane,21,23,District Judge-1
1,Maharashtra,Thane,21,25,ADDL.DIST.  SESSIONS COURT KALYAN
1,Maharashtra,Thane,21,28,ADDIL. DISTRICT AND SESSEIONS COURT PALGHAR
1,Maharashtra,Raigad,24,1,DISTRICT COURT RAIGAD-ALIBAG
1,Maharashtra,Raigad,24,14,DISTRICT AND ADDITIONAL SESSIONS COURT MANGAON
1,Maharashtra,Pune,25,1,DISTRICT AND SESSIONS COURT PUNE MAHARASHTRA
1,Maharashtra,Pune,25,4,ADDITIONAL DISTRICT AND SESSIONS COURT BARAMATI
1,Maharashtra,Ahmednagar,26,1,District and Sessions Court
1,Maharashtra,Ahmednagar,26,9,District  And Sessions Court
1,Maharashtra,Ahmednagar,26,20,DISTRICT  SESSIONS COURT SHRIRAMPUR
1,Maharashtra,Beed,27,1,DIST.AND SESSION COURT BEED
1,Maharashtra,Beed,27,9,DISTRICT JUDGE-1  ADDL.SESSIONS COURT AMBAJOGAI.
1,Maharashtra,Beed,27,13,DIST JUDGE-1 AND ADDL. SESSIONS JUDGE MAJALGAON
1,Maharashtra,Latur,28,1,District  and Sessions Court
