state_code,state_name,district_name,dist_code,court_no,court_name
1,Maharashtra,Nandurbar,1,3,DISTRICT AND SESSIONS COURT
1,Maharashtra,Dhule,2,1,DISTRICT AND SESSIONS COURT
1,Maharashtra,Jalgaon,3,2,DISTRICT AND SESSIONS COURT JALGAON
1,Maharashtra,Buldhana,4,1,DISTRICT COURT
1,Maharashtra,Akola,5,1,Principal District and Sessions Judge
1,Maharashtra,Amravati,7,1,DISTRICT  AND SESSIONS COURT AMRAVATI
1,Maharashtra,Wardha,8,1,DISTRICT AND SESSIONS COURT WARDHA.
1,Maharashtra,Nagpur,9,1,DISTRICT  AND  SESSIONS COURT NAGPUR
1,Maharashtra,Bhandara,10,1,DISTRICT  SESSIONS COURT BHANDARA
1,Maharashtra,Gondia,11,3,DISTRICT COURT
1,Maharashtra,Gadchiroli,12,1,DISTRICT AND SESSIONS COURT GADCHIROLI.
1,Maharashtra,Chandrapur,13,1,DISTRICT AND SESSIONS COURT CHANDRAPUR MAH.
1,Maharashtra,Yavatmal,14,1,District and Sessions Court
1,Maharashtra,Nanded,15,2,DISTRICT  AND SESSIONS COURT NANDED
1,Maharashtra,Parbhani,17,1,DISTRICT  SESSIONS COURT PARBHANI.
1,Maharashtra,Jalna,18,1,District  and Sessions Court Jalna
1,Maharashtra,Aurangabad,19,4,DISTRICT AND SESSIONS COURT AURANGABAD.
1,Maharashtra,Nashik,20,1,DISTRICT AND SESSIONS COURT NASHIK.
1,Maharashtra,Thane,21,1,DISTRICT AND SESSIONS COURT
1,Maharashtra,Raigad,24,1,DISTRICT COURT RAIGAD-ALIBAG
1,Maharashtra,Pune,25,1,DISTRICT AND SESSIONS COURT PUNE MAHARASHTRA
1,Maharashtra,Ahmednagar,26,1,District and Sessions Court
1,Maharashtra,Ahmednagar,26,9,District  And Sessions Court
1,Maharashtra,Beed,27,1,DIST.AND SESSION COURT BEED
1,Maharashtra,Latur,28,1,District  and Sessions Court
1,Maharashtra,Osmanabad,29,1,PRINCIPAL DISTRICT  AND SESSIONS COURT
1,Maharashtra,Solapur,30,12,District and Sessions Court
1,Maharashtra,Satara,31,1,DISTRICT  SESSIONS COURT SATARA.
1,Maharashtra,Satara,31,17,District and Sessions Court
1,Maharashtra,Ratnagiri,32,1,PRINCIPAL DISTRICT  SESSIONS JUDGE RATNAGIRI.
1,Maharashtra,Sindhudurg,33,1,District and Sessions Court Sindhudurg
1,Maharashtra,Kolhapur,34,1,DISTRICT AND SESSIONS COURT KOLHAPUR
1,Maharashtra,Sangli,35,13,DISTRICT AND SESSIONS COURT SANGLI
1,Maharashtra,Washim,36,1,Principal District and Sessions Court
1,Maharashtra,Wardha,8,11,DISTRICT AND SESSIONS COURT
1,Maharashtra,Mumbai City Civil Court,37,2,CITY CIVIL AND SESSION COURT MUMBAI
1,Maharashtra,Mah State Cooperative Appellat,41,17,THE DISTRICT CO-OPERATIVE COURT SATARA
1,Maharashtra,Nandurbar,1,7,Additional District  And Sessions Court Shahada
1,Maharashtra,Nashik,20,9,ADDITIONAL DISTRICT AND SESSIONS COURT MALEGAON
1,Maharashtra,Thane,21,25,ADDL.DIST.  SESSIONS COURT KALYAN
1,Maharashtra,Thane,21,28,ADDIL. DISTRICT AND SESSEIONS COURT PALGHAR
1,Maharashtra,Pune,25,4,ADDITIONAL DISTRICT AND SESSIONS COURT BARAMATI
1,Maharashtra,Latur,28,11,Additional District  Addl. Sessions Court Udgir
1,Maharashtra,Latur,28,12,Additional District and Sessions Court Nilanga
1,Maharashtra,Latur,28,13,Additional District and Sessions Court Ahmedpur.
1,Maharashtra,Satara,31,7,ADDITIONAL DISTRICT AND SESSIONS JUDGE KARAD
1,Maharashtra,Washim,36,9,Additional District and Sessions Court Mangrulpir
1,Maharashtra,Pune,25,24,ADDL. DISTRICT COURT KHED
1,Maharashtra,Solapur,30,21,Additional District Court Barshi
1,Maharashtra,Nandurbar,1,1,Chief Judcial Magistrate Nandurbar
1,Maharashtra,Dhule,2,2,CHIEF JUDICIAL MAGISTRATE COURT DHULE
1,Maharashtra,Jalgaon,3,3,CHIEF JUDICIAL MAGISTRATE JALGAON
1,Maharashtra,Buldhana,4,2,CHIEF JUDICIAL MAGISTRATE BULDANA.
1,Maharashtra,Akola,5,2,Chief Judicial Magistrate
1,Maharashtra,Amravati,7,2,CHIEF JUDICIAL MAGISTRATE COURT
1,Maharashtra,Wardha,8,2,COURT OF CHIEF JUDICIAL MAGISTRATE WARDHA.
1,Maharashtra,Nagpur,9,2,Chief Judicial Magistrate Nagpur
1,Maharashtra,Bhandara,10,2,CHIEF  JUDICIAL MAGISTRATE BHANDARA
1,Maharashtra,Gondia,11,4,Chief Judicial Magistrate Gondia
1,Maharashtra,Gadchiroli,12,2,CHIEF JUDICIAL MAGISTRATE GADCHIROLI
1,Maharashtra,Chandrapur,13,2,Chief Judicial Magistrate Chandrapur
1,Maharashtra,Yavatmal,14,2,Chief Judicial Magistrate Yavatmal
1,Maharashtra,Parbhani,17,2,CHIEF JUDICIAL MAGISTRATE COURT PARBHANI.
1,Maharashtra,Jalna,18,2,CHIEF JUDICIAL MAGISTRATE COURT JALNA
1,Maharashtra,Aurangabad,19,3,CHIEF JUDICIAL MAGISTRATE AURANGABAD
1,Maharashtra,Nashik,20,3,CHIEF JUDICIAL MAGISTRATE NASHIK.
1,Maharashtra,Thane,21,2,C.J.M. COURT THANE
1,Maharashtra,Raigad,24,2,Chief Judicial Magistrate Raigad-Alibag
1,Maharashtra,Ahmednagar,26,2,Chief Judicial Magistrate Ahmednagar
1,Maharashtra,Beed,27,2,CHIEF JUDICIAL MAGISTRATE BEED.
1,Maharashtra,Latur,28,2,Chief Judicial Magistrate Latur
1,Maharashtra,Osmanabad,29,2,CHIEF JUDICIAL MAGISTRATE COURT OSMANABAD.
1,Maharashtra,Satara,31,3,Chief Judicial Magistrate Satara
1,Maharashtra,Ratnagiri,32,2,CHIEF JUDICIAL MAGISTRATE COURT RATNAGIRI.
1,Maharashtra,Sindhudurg,33,2,CHIEF JUDICIAL MAGISTRATE SINDHUDURG
1,Maharashtra,Kolhapur,34,3,Chief Judicial Magistrate Kolhapur
1,Maharashtra,Sangli,35,12,CHIEF JUDICIAL MAGISTRATE SANGLI
1,Maharashtra,Mumbai CMM Courts,23,1,CMM COURT ESPLANADE COURT MUMBAI
1,Maharashtra,Mumbai CMM Courts,23,3,ADDL. CHIEF METROPOLITAN MAGISTRATE COURT GIRGAON
1,Maharashtra,Mumbai CMM Courts,23,6,ADDL. CHIEF METROPOLITAN MAGISTRATE ANDHERI
1,Maharashtra,Mumbai CMM Courts,23,9,ADDL. CHIEF METROPOLITAN MAGISTRATES COURT KURLA
1,Maharashtra,Mumbai CMM Courts,23,10,ADDL. CHIEF METROPOLITAN MAGISTRATE COURT
1,Maharashtra,Mumbai CMM Courts,23,15,ADDL.CHIEF METROPOLITAN MAGISTRATE DADAR MUMBAI.
2,Andhra Pradesh,Ananthapur,2,1,District Court Complex
2,Andhra Pradesh,Chittoor,3,1,PRINCIPAL DISTRICT AND SESSIONS JUDGE
2,Andhra Pradesh,East Godavari,4,1,Prl. District Court
2,Andhra Pradesh,Guntur,5,1,District Court
2,Andhra Pradesh,Guntur,5,17,DISTRICT COURT TENALI
2,Andhra Pradesh,Kadapa,7,1,District and Sessions Courts
2,Andhra Pradesh,Kurnool,10,1,Prl.District and Sessions Court
2,Andhra Pradesh,Krishna,11,6,Prl. District Court
2,Andhra Pradesh,Nellore,15,1,District and Sessions Courts
2,Andhra Pradesh,Prakasham,17,1,PRL. DISTRICT JUDGE COURT
2,Andhra Pradesh,Srikakulam,19,1,Prl. District Court
2,Andhra Pradesh,Visakapatnam,20,1,PRINCIPAL DISTRICT  AND SESSIONS JUDGE
2,Andhra Pradesh,Vizianagaram,21,1,PRINCIPAL DISTRICT JUDGE COURT
2,Andhra Pradesh,West Godavari,23,1,Principal District and Sessions Court
2,Andhra Pradesh,Ananthapur,2,16,II Addl.District Judges Court Hindupur
2,Andhra Pradesh,Ananthapur,2,26,VI Addl.District Judge Court Gooty
2,Andhra Pradesh,Chittoor,3,5,ADDITIONAL DISTRICT JUDGE
2,Andhra Pradesh,Chittoor,3,19,II Additional District Court Madanapalle
2,Andhra Pradesh,East Godavari,4,3,III Addl. District And Sessions Court
2,Andhra Pradesh,East Godavari,4,6,II Addl. Dist. and Sessions Court Amalapuram
2,Andhra Pradesh,East Godavari,4,22,XII Addl. District and Sessions Judges court
2,Andhra Pradesh,East Godavari,4,34,VII ADDL. DISTRICT AND SESSIONS COURT PEDDAPURAM
2,Andhra Pradesh,Guntur,5,23,Addl District Judges Court Narasaraopet
2,Andhra Pradesh,Guntur,5,32,X ADDL. DISTRICT COURT
2,Andhra Pradesh,Kadapa,7,14,V Additional District Judge Court Rayachoty
2,Andhra Pradesh,Kadapa,7,15,II Additional District  Court Proddatur
2,Andhra Pradesh,Kadapa,7,27,III Additional District Judge Court Rajampet
2,Andhra Pradesh,Kurnool,10,6,II ADDITIONAL DISTRICT JUDGE COURT
