state_code,state_name,district_name,dist_code,court_no,court_name
2,Andhra Pradesh,Ananthapur,2,1,District Court Complex
2,Andhra Pradesh,Chittoor,3,1,PRINCIPAL DISTRICT AND SESSIONS JUDGE
2,Andhra Pradesh,East Godavari,4,1,Prl. District Court
2,Andhra Pradesh,Guntur,5,1,District Court
2,Andhra Pradesh,Guntur,5,17,DISTRICT COURT TENALI
2,Andhra Pradesh,Kadapa,7,1,District and Sessions Courts
2,Andhra Pradesh,Kurnool,10,1,Prl.District and Sessions Court
2,Andhra Pradesh,Krishna,11,6,Prl. District Court
2,Andhra Pradesh,Nellore,15,1,District and Sessions Courts
2,Andhra Pradesh,Prakasham,17,1,PRL. DISTRICT JUDGE COURT
2,Andhra Pradesh,Srikakulam,19,1,Prl. District Court
2,Andhra Pradesh,Visakapatnam,20,1,PRINCIPAL DISTRICT  AND SESSIONS JUDGE
2,Andhra Pradesh,Vizianagaram,21,1,PRINCIPAL DISTRICT JUDGE COURT
2,Andhra Pradesh,West Godavari,23,1,Principal District and Sessions Court
6,Assam,Tinsukia,2,2,District and Sessions Judge
6,Assam,Sivasagar,3,2,District and Sessions Judge Court
6,Assam,Morigaon,4,2,District and Sessions Judge
6,Assam,Lakhimpur,5,2,District and Sessions Judge
6,Assam,Sonitpur,6,2,District and Sessions Judge Sonitpur Tezpur
6,Assam,Dibrugarh,7,2,District and Sessions Judge
6,Assam,Darrang,8,2,District and Sessions Judge
6,Assam,Bongaigaon,9,3,District And Sessions Judge
6,Assam,Nagaon,10,2,District and Sessions Judge
6,Assam,Jorhat,11,2,District and Sessions Judge
6,Assam,Karimganj,12,1,District and Sessions Judge Court Karimganj
6,Assam,Cachar,13,1,District And Sessions Judge Court
6,Assam,Nalbari,15,1,District and Sessions Judge
6,Assam,Dhubri,16,1,District and Sessions Judge
6,Assam,Dhemaji,17,1,District and Sessions Judge
6,Assam,Goalpara,18,1,District and Sessions Judge
6,Assam,Barpeta,20,1,District and Sessions Judge
6,Assam,Hailakandi,21,1,District and Sessions Judge
6,Assam,Kokrajhar,22,1,District and Sessions Judge
6,Assam,Kamrup,23,2,District and Sessions Judge
6,Assam,Udalguri,24,3,District And Sessions Court
6,Assam,Karbi Anglong,26,1,District and Sessions Judge
6,Assam,Baksa,27,1,District and Sessions Judge
6,Assam,Dima Hasao,28,1,District and Sessions Judge
6,Assam,Chirang,25,1,District And Session Judge Establishment
6,Assam,Kamrup Metro,1,4,Dist Judge and Addl Dist Judges
6,Assam,Golaghat,19,1,GLT_DJ_ESTT
8,Bihar,Samastipur,3,2,District and Sessions Judge
8,Bihar,Darbhanga,17,5,District Sessions Judge Sub-Division
8,Bihar,Madhubani,18,4,District & Sessions Judge
8,Bihar,Sitamarhi,31,1,District and Sessions Judge
8,Bihar,Bhojpur,33,1,District and Sessional Judge Div.
8,Bihar,Bhagalpur,34,4,District and Sessional Judge Div.
8,Bihar,Gaya,35,1,District and Sessions Judge Div.
8,Bihar,Jehanabad,36,1,District and Sessional Judge Div.
8,Bihar,Patna,1,11,Barh D.J Div.
8,Bihar,Kaimur at Bhabhua,2,2,D J Division
8,Bihar,Saran at Chapra,4,2,D J  Division Saran at Chapra
8,Bihar,Katihar,5,3,D J Division
8,Bihar,Begusarai,6,2,D J Division
8,Bihar,Begusarai,6,5,D J Division
8,Bihar,Banka,7,2,D J Division
8,Bihar,Purnea,9,2,DJ DIVISION
8,Bihar,Motihari,10,1,DJ Division
8,Bihar,Munger,11,1,D J Division
8,Bihar,Madhepura,12,2,D.J. Establishment
8,Bihar,Rohtas Sasaram,13,1,D.J. Division
8,Bihar,Khagaria,14,1,DJ Division
8,Bihar,Jamui,15,3,DJ Division
8,Bihar,Lakhisarai,19,2,DJ Division
8,Bihar,Sheikhpura,20,1,DJ Division Sheikhpura
8,Bihar,Saharsa,21,2,DJ Division
8,Bihar,Supaul,22,2,DJ Division
8,Bihar,Gopalganj,23,2,DJ Division
8,Bihar,Araria,24,1,DJ DIVISION
8,Bihar,Kishanganj,25,1,DJ DIVISION
8,Bihar,Buxar,26,1,DJ Division
8,Bihar,Nawada,27,1,DJ DIVISION
8,Bihar,Bettiah,28,2,D J Bettiah Division
8,Bihar,Siwan,29,1,DJ Division
8,Bihar,Nalanda,30,1,Dj Division
8,Bihar,Nalanda,30,4,D.J Division
8,Bihar,Sheohar,37,1,Sheohar D.J Div.
8,Bihar,Muzaffarpur,38,1,DJ Division
8,Bihar,Vaishali,39,1,DJ Division
8,Bihar,Rohtas Sasaram,13,5,DJ Div
27,Chandigarh,Chandigarh,1,1,DISTRICT AND SESSIONS COURT CHANDIGARH
18,Chhattisgarh,Korba,1,1,District and Sessions Judge Korba
18,Chhattisgarh,Bilaspur,2,1,District and Sessions Judge
18,Chhattisgarh,Raipur,3,1,District and Sessions Court
