state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count),A_count (0-1 yrs),B_count (1-3 yrs),C_count (3-5 yrs),D_count (5-10 yrs),E_count (10-20 yrs) 
9,25,6,2747,1.854827819,382.6363636,250,11,11,Rajasthan,Banswara,DJ ADJ Banswara District HQ,3202,2771,5,195.5716348,1726.305788,,,,,
10,7,7,1975,0.9454284347,451,473.5,6,6,Tamil Nadu,Kanniyakumari,Principal District and Sessions Court,16154,16051,5,135.1479659,17086.43342,14376,1062,385,228,0
10,9,5,2975,1.483790524,633.8571429,729,7,7,Tamil Nadu,Thoothukudi,"Principal District court complex, Thoothukudi",21595,19789,5,75.92046086,14553.94118,18364,1251,151,23,0
13,2,10,1795,0.9195696721,505.2,678,5,5,Uttar Pradesh,Bareilly,acjmnerbly,619,539,5,247.5844156,673.1409471,,,,,
17,14,19,3542,1.077906269,159.3714286,107,35,35,Gujarat,SURAT,bardoli_addldj Court,4942,4882,5,115.0331831,4584.814229,4404,321,135,22,0
10,8,9,3141,0.9840225564,430.2222222,179,9,9,Tamil Nadu,Tiruchirappalli,Principal District and Session Court Establishment,18930,18903,6,116.5580596,19237.3639,,,,,
10,3,12,622,0.5675182482,155.5,82.5,4,4,Tamil Nadu,Tirunelveli,"PDJ, I ADJ, Mahila, III ADJ, IV ADJ Tirunelveli",40286,40234,6,70.71817368,70986.26367,,,,,
17,35,1,11026,4.320532915,629.4761905,523,21,21,Gujarat,Valsad,valsad_district Court,17710,17689,6,209.7773758,4099.03138,,,,,
17,36,1,5826,3.429075927,861.5454545,784,11,11,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR",10153,10037,6,204.2339344,2960.85599,,,,,
9,20,8,1640,0.9624413146,1185.5,1185.5,2,2,Rajasthan,Kota,DJ ADJ - Kota HQ,16393,13865,7,185.8760909,17032.72683,,,,,
10,15,3,1959,0.9098931723,1345,1345,2,2,Tamil Nadu,Madurai,Principal District Judge,33566,31387,7,120.1636028,36890.04492,,,,,
9,24,5,2674,1.570170288,413.6,243,10,10,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ,5696,5404,8,181.5649519,3627.632012,,,,,
9,10,5,4032,1.954435288,343.375,235.5,16,16,Rajasthan,Bundi,DJ ADJ - Bundi HQ,9668,8054,8,175.2518003,4946.697421,6918,871,148,117,0
9,4,24,1935,1.837606838,424.625,389.5,8,8,Rajasthan,Jaipur Metro,ACMM RAILWAY JAIPUR METRO,23196,3098,8,115.308909,12622.93953,,,,,
10,17,1,7664,3.379188713,602.5,317.5,20,20,Tamil Nadu,Thanjavur,"PRINCIPAL DISTRICT COURT, THANJAVUR",22832,22010,8,103.6536574,6756.651357,,,,,
8,38,5,1543,1.236378205,300.5,81,10,10,Bihar,Muzaffarpur,CJM Division (West),1338,1337,1110,1262.845924,1082.19313,,,,,
4,9,5,5617,1.783174603,416.4117647,212,17,17,Kerala,Thiruvananthapuram,Addl Chief Judicial Magistrate Trivandrum,1679,1679,1112,1251.378797,941.5791348,,,,,
8,16,4,2694,1,856.25,1023,4,4,Bihar,Aurangabad,C J M Division,2257,2255,1117,1259.210643,2257,,,,,
9,22,33,6716,3.948265726,535.5555556,549,18,18,Rajasthan,Jhalawar,ACJM GN Jhalarapatan Jhalawar District,321,321,1260,1396.464174,81.30151876,,,,,
8,33,2,1611,1.274525316,215.4166667,101.5,12,12,Bihar,Bhojpur,CJM Division,1006,1004,1295,1431.39243,789.3134699,,,,,
8,18,8,2605,0.9472727273,598.6,317,5,5,Bihar,Madhubani,Benipatti CJM Div.,1061,1061,1311,1448.540057,1120.057582,,,,,
8,38,2,1209,1.472594397,274.7777778,79,9,9,Bihar,Muzaffarpur,CJM Division,2554,2554,1313.5,1462.364918,1734.354012,,,,,
8,12,5,2028,0.6171637249,886,769,3,3,Bihar,Madhepura,Uda-Kishunganj CJM Division,587,587,1329,1430.231687,951.1252465,,,,,
8,31,4,1357,0.7218085106,696,629,3,3,Bihar,Sitamarhi,Pupri CJM Division,365,365,1388,1187.520548,505.6742815,,,,,
8,36,5,1474,1.884910486,962,1079,3,3,Bihar,Jehanabad,Arwal CJM Division,426,426,1391,1566.075117,226.0054274,,,,,
8,37,2,444,1.865546218,230.1428571,241,7,7,Bihar,Sheohar,Sheohar CJM Div.,476,476,1414,1470.044118,255.1531532,,,,,
9,39,2,4932,2.890973036,413.4736842,383,19,19,Rajasthan,Jodhpur District,CJM ACJM JM-Jodhpur District HQ,454,453,1428,1402.763797,157.0405515,,,,,
18,21,4,3259,1.777959629,1180.25,1156.5,4,4,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur,6047,5105,1554,1516.113222,3401.089598,,,,,
11,27,3,8084,2.938567794,1027.7,1024,10,10,Orissa,Anugul,"Chief Judicial Magistrate, Anugul",8747,8607,1569,1591.650633,2976.620114,,,,,
8,17,9,2960,0.9863378874,369.1,262,10,10,Bihar,Darbhanga,Biraul CJM Division,311,311,1629,1659.07717,315.3077703,,,,,
