year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
2014,1,IPC,156703,411.0,560.3540646956344,74796,49584,31164,1159,0
2014,2,IPC,57343,519.0,612.0713426224648,20647,26987,9584,125,0
2014,3,IPC,63989,166.0,386.45735985872574,41541,14974,7223,251,0
2014,4,IPC,145535,232.0,446.469412856014,87866,38850,17372,1447,0
2014,5,IPC,8219,345.0,515.2193697530113,4231,2614,1344,30,0
2014,6,IPC,43989,408.0,554.4951692468571,20709,15132,7953,195,0
2014,7,IPC,40882,245.0,508.37522626094614,23188,9166,8058,470,0
2014,8,IPC,124197,280.0,538.8311150832951,68179,29277,24568,2172,1
2014,9,IPC,45855,757.0,801.4983971213608,12459,19134,12960,1302,0
2014,10,IPC,44507,420.0,590.6059271575258,20911,13178,10192,226,0
2014,11,IPC,24983,705.0,687.8219589320738,8025,11503,5153,302,0
2014,12,IPC,1,1258.0,1258.0,0,0,1,0,0
2014,13,IPC,138541,514.0,607.7206819641839,55401,55956,25156,2022,6
2014,14,IPC,69145,282.0,472.6685515944754,37944,20154,10735,312,0
2014,15,IPC,8398,369.0,528.5360800190522,4177,2822,1329,70,0
2014,16,IPC,29635,653.0,749.0595916990045,11609,7599,8792,1635,0
2014,17,IPC,75384,426.0,555.134153135944,34225,28862,11743,554,0
2014,18,IPC,26054,514.0,633.3060950333922,10376,10168,5261,249,0
2014,19,IPC,157,214.0,410.70063694267515,100,35,21,1,0
2014,20,IPC,4794,469.5,590.0688360450563,1936,2064,769,25,0
2014,21,IPC,526,451.5,659.754752851711,227,159,117,23,0
2014,22,IPC,69934,72.0,321.15763434095004,48929,14143,6751,111,0
2014,23,IPC,111016,386.0,554.8319881818837,53558,35931,20932,595,0
2014,24,IPC,1141,68.0,217.6231375985977,913,193,35,0,0
2014,25,IPC,2077,21.0,119.14732787674531,1877,154,45,1,0
2014,26,IPC,11524,860.0,850.6859597362027,2210,5603,3639,71,1
2014,27,IPC,4777,237.0,359.4982206405694,3176,1250,346,5,0
2014,29,IPC,50171,543.0,646.7497159713779,19624,18817,11538,192,0
2014,30,IPC,1405,431.0,536.017793594306,636,567,201,1,0
2014,31,IPC,183,253.0,377.60109289617486,111,64,8,0,0
2014,32,IPC,341,367.0,605.1436950146627,169,87,74,11,0
