year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
2014,1,MV,62861,329.0,459.7091519384038,32844,22159,7675,183,0
2014,2,MV,9062,618.0,688.4118296181858,2540,4665,1833,24,0
2014,3,MV,35750,206.0,338.797986013986,22203,11273,2244,30,0
2014,4,MV,40031,439.0,550.6404036871425,17616,16707,5567,141,0
2014,5,MV,4478,193.0,336.8327378293881,3139,998,337,4,0
2014,6,MV,19475,213.0,392.8830295250321,13419,3553,2375,128,0
2014,7,MV,2108,603.5,632.3529411764706,762,937,404,5,0
2014,8,MV,1857,460.0,561.0366182014001,851,619,365,22,0
2014,9,MV,10351,789.0,831.0958361510965,2283,5010,2721,337,0
2014,10,MV,45306,493.0,600.1487661678365,18773,16987,9265,281,0
2014,11,MV,14487,765.0,749.4787050459032,2476,10298,1675,38,0
2014,12,MV,2632,201.0,326.4308510638298,2249,172,206,5,0
2014,13,MV,64743,375.0,458.2855907202323,31137,26689,6747,170,0
2014,14,MV,64682,114.0,195.6856467023283,53951,10258,465,8,0
2014,15,MV,32946,71.0,232.82006920415225,26186,4896,1830,32,2
2014,16,MV,3575,925.0,921.7546853146853,576,1596,1249,154,0
2014,17,MV,21396,315.0,524.8040287904281,11299,6027,3823,247,0
2014,18,MV,4601,376.0,484.5716148663334,2242,1869,476,14,0
2014,19,MV,9,230.0,356.44444444444446,6,2,1,0,0
2014,20,MV,859,679.0,718.1036088474971,220,446,192,1,0
2014,21,MV,73,462.0,629.5342465753424,32,18,21,2,0
2014,22,MV,18719,77.0,181.83888028206636,15319,3177,222,1,0
2014,23,MV,23155,296.0,488.42159360829197,12800,6469,3781,105,0
2014,24,MV,100,124.0,156.19,87,13,0,0,0
2014,25,MV,280,54.0,296.48214285714283,185,78,17,0,0
2014,26,MV,3529,563.0,642.0005667327855,1335,1420,773,1,0
2014,27,MV,567,332.0,352.0758377425044,318,242,6,1,0
2014,29,MV,7468,653.0,713.5249062667381,2095,3754,1581,38,0
2014,30,MV,1600,143.0,286.981875,1132,384,83,1,0
2014,31,MV,17,1016.0,958.9411764705883,1,9,7,0,0
2014,32,MV,59,725.0,843.728813559322,4,37,16,2,0
2015,1,MV,68733,218.0,354.9563382945601,41105,24014,3581,33,0
2015,2,MV,8204,529.0,576.173939541687,2817,4532,849,6,0
2015,3,MV,42696,43.0,247.5524405096496,30261,11267,1161,7,0
2015,4,MV,42653,401.0,491.252127634633,20037,19121,3460,35,0
2015,5,MV,15602,87.0,166.49455198051533,13801,1523,277,1,0
2015,6,MV,34652,142.0,307.7200738774097,24002,9281,1361,8,0
2015,7,MV,2415,550.0,547.7548654244306,911,1228,271,5,0
2015,8,MV,1323,660.0,676.6696900982615,371,673,278,1,0
2015,9,MV,21661,532.0,589.5429573888556,7689,11021,2924,27,0
2015,10,MV,56495,410.0,498.4304628728206,26385,23295,6757,58,0
2015,11,MV,26437,422.0,421.49173506827555,11147,14171,1118,1,0
2015,12,MV,12047,31.0,87.7503112808168,11500,409,136,2,0
2015,13,MV,182799,116.0,278.5287775097238,130673,45473,6552,100,1
2015,14,MV,126390,85.0,171.38112983622122,107248,18371,770,1,0
2015,15,MV,19975,128.0,287.1527409261577,14447,4529,998,1,0
2015,16,MV,6752,570.5,617.2982819905213,2365,3232,1143,12,0
2015,17,MV,28395,296.0,449.65863708399365,15255,9712,3410,18,0
2015,18,MV,5198,307.0,373.6852635629088,2921,2065,212,0,0
2015,20,MV,641,662.0,670.0764430577223,154,403,84,0,0
2015,21,MV,98,285.0,452.0612244897959,51,40,7,0,0
2015,22,MV,38508,41.0,130.72291471901943,34327,4029,152,0,0
2015,23,MV,25150,350.0,462.68775347912526,12903,9513,2725,9,0
2015,24,MV,110,119.5,189.43636363636364,89,21,0,0,0
2015,25,MV,161,317.0,480.7329192546584,84,69,8,0,0
2015,26,MV,3727,414.0,497.4000536624631,1728,1624,374,1,0
2015,27,MV,651,277.0,320.6620583717358,424,224,3,0,0
2015,29,MV,7649,553.0,612.5982481370114,2498,4141,996,14,0
2015,30,MV,2074,140.0,262.2000964320154,1592,423,59,0,0
2015,31,MV,24,9.0,136.375,22,1,1,0,0
2015,32,MV,62,736.5,793.3225806451613,7,42,13,0,0
2015,33,MV,2,1130.0,1130.0,0,0,2,0,0
2016,1,MV,49565,203.0,286.70519519822454,31680,17813,72,0,0
2016,2,MV,6609,421.0,453.21364805568163,2840,3756,13,0,0
2016,3,MV,46176,42.0,211.15497227997227,33493,12624,59,0,0
2016,4,MV,39621,360.0,416.082355316625,20043,19266,312,0,0
2016,5,MV,9293,72.0,169.81125578392337,7709,1580,4,0,0
2016,6,MV,32523,204.0,256.2780186329674,24373,8126,24,0,0
2016,7,MV,3380,185.5,273.0032544378698,2269,1104,7,0,0
2016,8,MV,944,537.0,544.1112288135594,311,609,24,0,0
2016,9,MV,21533,384.0,448.9134816328426,10282,10543,708,0,0
2016,10,MV,50494,252.0,321.23141363330296,30377,19867,250,0,0
2016,11,MV,21456,210.0,284.9419742729306,15156,6156,144,0,0
2016,12,MV,5268,14.5,100.69419134396355,4679,583,6,0,0
2016,13,MV,199884,93.0,206.870960156891,157220,41364,1300,0,0
2016,14,MV,159550,71.0,137.9979003447195,143957,15514,79,0,0
2016,15,MV,21714,123.0,253.64133738601825,15780,5880,54,0,0
2016,16,MV,5589,539.0,570.6308820898192,1786,3336,467,0,0
2016,17,MV,22813,76.0,217.83623372638408,17236,5431,146,0,0
2016,18,MV,3914,348.0,377.3326520183955,2055,1842,17,0,0
2016,19,MV,2,555.0,555.0,0,2,0,0,0
