,year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
0,2014,1,NI,79982,377.0,507.3234727813758,38792,32111,8825,254,0
1,2014,2,NI,18851,447.0,585.4613548352872,7717,8306,2796,32,0
2,2014,3,NI,24122,267.0,452.37894867755574,14342,6693,3039,48,0
3,2014,4,NI,36886,323.0,454.66635037683676,20867,12654,3217,148,0
4,2014,5,NI,5881,442.0,620.1210678456044,2364,2366,1119,32,0
5,2014,6,NI,3208,412.0,555.1633416458853,1447,1302,456,3,0
6,2014,7,NI,2791,896.0,809.2809029021856,914,741,1123,13,0
7,2014,8,NI,391,606.0,738.2992327365729,114,163,107,7,0
8,2014,9,NI,22184,780.0,833.9117832672196,5003,9927,6559,695,0
9,2014,10,NI,9389,463.0,635.9768878474811,3676,3736,1950,27,0
10,2014,11,NI,2509,239.0,417.4097249900359,1781,437,283,8,0
11,2014,12,NI,243,1159.0,991.8559670781893,58,56,123,6,0
12,2014,13,NI,8573,749.0,775.6490143473696,1909,4667,1880,117,0
13,2014,14,NI,32564,361.0,473.49686770666995,16507,13090,2911,56,0
14,2014,15,NI,5531,389.0,552.2688483095282,2604,1907,1000,20,0
15,2014,16,NI,2435,856.0,900.852566735113,545,917,833,140,0
16,2014,17,NI,40278,323.0,449.20631610308357,23104,12999,3944,231,0
17,2014,18,NI,5280,936.0,898.5484848484848,1459,1476,2289,56,0
18,2014,20,NI,327,559.0,629.0764525993884,124,139,64,0,0
19,2014,21,NI,17,406.0,416.29411764705884,8,8,1,0,0
20,2014,22,NI,38928,325.0,446.5187268803946,21276,14695,2935,22,0
21,2014,23,NI,12724,557.0,719.09100911663,4364,4799,3453,108,0
22,2014,24,NI,90,256.0,494.76666666666665,48,34,8,0,0
23,2014,25,NI,43,57.0,248.09302325581396,31,11,1,0,0
24,2014,26,NI,20552,428.0,578.1149766446088,8762,8363,3084,343,0
25,2014,27,NI,5747,263.0,391.9450147903254,3528,2026,191,2,0
26,2014,29,NI,12587,239.0,394.0351950425042,8431,2875,1269,12,0
27,2014,30,NI,1123,238.0,350.13624220837045,798,261,64,0,0
28,2014,31,NI,59,238.0,423.2881355932203,39,13,5,2,0
29,2014,32,NI,115,202.0,286.30434782608694,86,24,5,0,0
30,2015,1,NI,63576,435.0,535.4340946269033,27935,28489,7119,33,0
31,2015,2,NI,21709,434.0,522.700492883136,9285,10727,1692,5,0
32,2015,3,NI,22096,310.0,441.9422519913106,11911,8381,1791,13,0
33,2015,4,NI,30441,395.0,496.849610722381,14059,13629,2720,33,0
34,2015,5,NI,4717,610.0,643.0050879796481,1503,2497,716,1,0
35,2015,6,NI,2566,473.0,545.0409197194076,1063,1270,232,1,0
36,2015,7,NI,3293,750.0,713.725478287276,839,1834,619,1,0
37,2015,8,NI,267,450.0,564.5468164794007,121,91,54,1,0
38,2015,9,NI,45959,526.0,607.2542483517918,16841,21673,7333,112,0
39,2015,10,NI,12258,344.0,496.55253711861644,6334,4670,1248,6,0
40,2015,11,NI,2342,725.0,696.8791631084543,506,1536,299,1,0
41,2015,12,NI,455,743.0,721.967032967033,118,226,110,1,0
