,state_code,dist_code,court_no,state_name,district_name,court_name
0,1,1,3,Maharashtra,Nandurbar,DISTRICT AND SESSIONS COURT
1,1,1,7,Maharashtra,Nandurbar,Additional District  And Sessions Court Shahada
2,1,2,1,Maharashtra,Dhule,DISTRICT AND SESSIONS COURT
3,1,3,2,Maharashtra,Jalgaon,DISTRICT AND SESSIONS COURT JALGAON
4,1,3,5,Maharashtra,Jalgaon,DISTRICT COURT 1 AND ADDL. SESSIONS COURT
5,1,4,1,Maharashtra,Buldhana,DISTRICT COURT
6,1,4,14,Maharashtra,Buldhana,District Judge and Addl. Sessions Judge
7,1,5,1,Maharashtra,Akola,Principal District and Sessions Judge
8,1,5,5,Maharashtra,Akola,District Judge - 1
9,1,7,1,Maharashtra,Amravati,DISTRICT  AND SESSIONS COURT AMRAVATI
10,1,7,6,Maharashtra,Amravati,COURT OF DISTRICT JUDGE-1 ACHALPUR
11,1,8,1,Maharashtra,Wardha,DISTRICT AND SESSIONS COURT WARDHA.
12,1,9,1,Maharashtra,Nagpur,DISTRICT  AND  SESSIONS COURT NAGPUR
13,1,10,1,Maharashtra,Bhandara,DISTRICT  SESSIONS COURT BHANDARA
14,1,11,3,Maharashtra,Gondia,DISTRICT COURT
16,14,17,1,Haryana,Rewari,District and Sessions Court
18,16,2,3,West Bengal,Hooghly,DISTRICT & SESSION JUDGE
20,16,2,7,West Bengal,Hooghly,ADDITIONAL DISTRICT and SESSIONS JUDGE
22,16,4,2,West Bengal,Jalpaiguri,District and Session Judge
24,16,6,6,West Bengal,Coochbehar,Addl. District and Sessions Judge 
26,16,12,8,West Bengal,Murshidabad,Additional District and Session Judge
28,18,15,1,Chhattisgarh,Bastar,District and Sessions Judge
30,20,2,6,Tripura,North Tripura,District And Sessions Judge Estt
32,20,3,9,Tripura,SouthTripura,District and Sessions Judge Establishment
34,20,5,2,Tripura,Unakoti  Tripura,The District and Sessions Judge
35,22,3,1,Punjab,Rupnagar,District and Sessions Court
38,22,16,1,Punjab,Barnala,District and Sessions Court
40,24,4,2,Sikkim,Gangtok,District and Sessions Court
42,29,9,26,Telangana,Rangareddy,Addl District and Sessions Court
44,9,31,17,Rajasthan,Bhilwara,LABOUR - bhilwara District HQ
