,state_code,dist_code,court_no,median,mean,case_count
0,1.0,1.0,1.0,769.0,834.9293764087153,1417.0
1,1.0,1.0,2.0,448.0,701.015015015015,362.0
2,1.0,1.0,3.0,221.0,670.8126582278481,409.0
3,1.0,1.0,4.0,1013.0,902.5373525557012,816.0
4,1.0,1.0,5.0,359.5,522.9224376731302,1594.0
5,1.0,1.0,6.0,626.0,1049.3214285714287,493.0
6,1.0,1.0,7.0,509.5,764.4642857142857,596.0
7,1.0,1.0,8.0,688.0,757.694591728526,964.0
8,1.0,1.0,9.0,1931.0,2038.0,8.0
9,1.0,1.0,10.0,1692.5,1698.85,44.0
10,1.0,2.0,1.0,515.0,917.6175580221998,3106.0
11,1.0,2.0,2.0,794.0,926.1368800221668,4483.0
12,1.0,2.0,3.0,619.0,843.8217481073641,1576.0
13,1.0,2.0,4.0,869.0,1075.5982905982905,373.0
14,1.0,2.0,5.0,874.0,1007.9799398194584,1034.0
15,1.0,2.0,6.0,713.0,735.344262295082,1044.0
16,1.0,2.0,7.0,1106.0,1132.5644028103045,1332.0
17,1.0,3.0,1.0,848.0,1047.9852348993288,850.0
18,1.0,3.0,2.0,50.0,591.1821591213501,3904.0
19,1.0,3.0,3.0,795.0,923.4022284122562,4241.0
20,1.0,3.0,4.0,1218.0,1450.236495565708,3725.0
21,1.0,3.0,5.0,368.0,673.0097465886939,518.0
22,1.0,3.0,6.0,636.0,807.8085327783559,981.0
23,1.0,3.0,7.0,618.0,787.733752620545,484.0
24,1.0,3.0,8.0,1289.5,1368.1692307692308,577.0
25,1.0,3.0,9.0,851.0,1063.2833333333333,2103.0
26,1.0,3.0,10.0,1262.5,1277.139344262295,380.0
27,1.0,3.0,11.0,936.0,1015.8133457769482,2341.0
28,1.0,3.0,12.0,894.0,1033.1320388349513,1074.0
29,1.0,3.0,13.0,843.0,993.0909090909091,606.0
30,1.0,3.0,14.0,530.5,746.6638935108153,1237.0
31,1.0,3.0,15.0,882.0,975.7894736842105,613.0
32,1.0,3.0,16.0,860.5,959.9511952191235,1031.0
33,1.0,3.0,17.0,670.0,995.7052932761087,1068.0
34,1.0,3.0,18.0,497.0,700.8127388535032,805.0
35,1.0,3.0,19.0,950.0,1015.1531279178338,1095.0
36,1.0,3.0,21.0,2596.0,2558.4827586206898,64.0
37,1.0,3.0,22.0,3234.0,3239.4285714285716,7.0
38,1.0,4.0,1.0,291.5,655.0035787321063,2041.0
39,1.0,4.0,2.0,446.0,588.7799907364521,2207.0
40,1.0,4.0,3.0,647.0,965.2614601018676,1260.0
41,1.0,4.0,4.0,909.0,1061.099025141098,2041.0
42,1.0,4.0,5.0,718.0,900.5352760736197,683.0
43,1.0,4.0,6.0,286.5,660.3820224719101,544.0
44,1.0,4.0,7.0,722.0,929.4055201698513,1503.0
45,1.0,4.0,8.0,586.0,656.7151300236407,858.0
46,1.0,4.0,9.0,220.5,674.7788990825688,1188.0
47,1.0,4.0,10.0,689.0,916.5900262467192,2053.0
48,1.0,4.0,11.0,347.0,570.4629921259842,670.0
49,1.0,4.0,12.0,347.0,605.2378999179656,1717.0
50,1.0,4.0,13.0,673.0,861.538961038961,979.0
51,1.0,4.0,14.0,1624.0,1883.6172839506173,113.0
52,1.0,4.0,15.0,1573.5,1603.9242424242425,70.0
53,1.0,4.0,16.0,2198.0,2247.133333333333,93.0
54,1.0,4.0,18.0,2716.0,2655.0,16.0
55,1.0,4.0,19.0,2353.0,2386.809210526316,320.0
56,1.0,4.0,22.0,2239.0,2292.083870967742,155.0
57,1.0,5.0,1.0,839.0,1085.1336828309306,1604.0
58,1.0,5.0,2.0,1072.0,1121.3762274959083,5444.0
59,1.0,5.0,3.0,403.0,769.6030617823948,2019.0
60,1.0,5.0,4.0,529.0,698.2825896762905,1195.0
61,1.0,5.0,5.0,742.0,1002.0867924528302,270.0
62,1.0,5.0,6.0,594.0,881.8866995073892,668.0
63,1.0,5.0,7.0,718.0,881.1282051282051,668.0
64,1.0,5.0,8.0,786.0,903.2854209445585,996.0
65,1.0,5.0,9.0,935.0,1026.017857142857,802.0
66,1.0,5.0,10.0,384.0,630.7535410764873,736.0
67,1.0,7.0,1.0,327.0,792.8662580105879,3730.0
68,1.0,7.0,2.0,660.5,864.6557948068398,7217.0
69,1.0,7.0,3.0,706.0,880.8378006872853,1548.0
70,1.0,7.0,4.0,554.0,747.4985145573381,1706.0
71,1.0,7.0,5.0,729.0,1078.0721649484535,508.0
72,1.0,7.0,6.0,631.0,892.7507477567298,1086.0
73,1.0,7.0,7.0,770.0,979.7122207621551,776.0
74,1.0,7.0,8.0,808.0,1033.9107505070995,1051.0
75,1.0,7.0,9.0,651.0,791.1201550387597,823.0
76,1.0,7.0,10.0,465.0,665.3675464320626,1027.0
77,1.0,7.0,11.0,788.0,955.9732217573222,1195.0
78,1.0,7.0,12.0,440.0,731.0733452593918,567.0
79,1.0,7.0,13.0,838.0,910.1430536451169,727.0
80,1.0,7.0,14.0,638.0,866.0732860520095,427.0
81,1.0,7.0,15.0,1670.0,1837.8777777777777,95.0
82,1.0,7.0,16.0,497.0,932.0833333333334,338.0
83,1.0,7.0,17.0,687.5,871.7415254237288,481.0
84,1.0,8.0,1.0,132.5,483.1369926199262,2305.0
85,1.0,8.0,2.0,604.0,661.1481549815499,5504.0
86,1.0,8.0,3.0,679.0,965.213463241807,1139.0
87,1.0,8.0,4.0,682.0,802.2858627858628,2949.0
88,1.0,8.0,5.0,876.0,1039.093851132686,624.0
89,1.0,8.0,6.0,668.0,864.5995670995671,1397.0
90,1.0,8.0,7.0,454.5,642.1468558282209,2640.0
91,1.0,8.0,8.0,538.0,667.6306620209059,579.0
92,1.0,8.0,9.0,566.0,817.7363344051447,1867.0
93,1.0,8.0,10.0,864.0,1155.6233062330623,1166.0
94,1.0,9.0,1.0,220.0,700.1227663030866,9404.0
95,1.0,9.0,2.0,887.0,1093.5812639047563,24847.0
