,state_code,dist_code,tenure_S_count,tenure_M_count,tenure_L_count,tenure_S_fraction,tenure_M_fraction,tenure_L_fraction
0,3.0,3.0,106.0,48.0,5.0,0.6666666666666666,0.3018867924528302,0.031446540880503145
1,3.0,4.0,178.0,74.0,11.0,0.6768060836501901,0.2813688212927757,0.04182509505703422
2,3.0,1.0,234.0,124.0,8.0,0.639344262295082,0.33879781420765026,0.02185792349726776
3,3.0,2.0,145.0,51.0,6.0,0.7178217821782178,0.2524752475247525,0.0297029702970297
4,3.0,20.0,545.0,226.0,31.0,0.6795511221945137,0.2817955112219451,0.03865336658354115
5,3.0,21.0,86.0,50.0,9.0,0.593103448275862,0.3448275862068966,0.06206896551724138
6,3.0,12.0,250.0,66.0,0.0,0.7911392405063291,0.2088607594936709,0.0
7,3.0,5.0,80.0,51.0,6.0,0.583941605839416,0.3722627737226277,0.043795620437956206
8,3.0,27.0,38.0,23.0,4.0,0.5846153846153846,0.35384615384615387,0.06153846153846154
9,3.0,29.0,76.0,40.0,9.0,0.608,0.32,0.072
10,3.0,17.0,163.0,48.0,4.0,0.7581395348837209,0.22325581395348837,0.018604651162790697
11,3.0,13.0,202.0,97.0,4.0,0.6666666666666666,0.3201320132013201,0.013201320132013201
12,3.0,24.0,166.0,71.0,4.0,0.6887966804979253,0.2946058091286307,0.016597510373443983
13,3.0,14.0,120.0,65.0,6.0,0.6282722513089005,0.3403141361256545,0.031413612565445025
14,3.0,9.0,117.0,57.0,5.0,0.6536312849162011,0.31843575418994413,0.027932960893854747
15,3.0,8.0,130.0,33.0,1.0,0.7926829268292683,0.20121951219512196,0.006097560975609756
16,3.0,23.0,194.0,111.0,10.0,0.6158730158730159,0.3523809523809524,0.031746031746031744
17,3.0,11.0,114.0,83.0,9.0,0.5533980582524272,0.4029126213592233,0.043689320388349516
18,3.0,25.0,100.0,25.0,4.0,0.7751937984496124,0.1937984496124031,0.031007751937984496
19,3.0,19.0,119.0,47.0,7.0,0.6878612716763006,0.27167630057803466,0.04046242774566474
20,3.0,7.0,27.0,28.0,4.0,0.4576271186440678,0.4745762711864407,0.06779661016949153
21,3.0,22.0,145.0,106.0,12.0,0.5513307984790875,0.40304182509505704,0.045627376425855515
22,3.0,26.0,242.0,76.0,8.0,0.7423312883435583,0.2331288343558282,0.024539877300613498
23,3.0,6.0,189.0,38.0,2.0,0.8253275109170306,0.16593886462882096,0.008733624454148471
24,3.0,28.0,85.0,47.0,5.0,0.6204379562043796,0.34306569343065696,0.0364963503649635
25,3.0,15.0,161.0,83.0,9.0,0.6363636363636364,0.32806324110671936,0.03557312252964427
26,3.0,18.0,174.0,93.0,18.0,0.6105263157894737,0.3263157894736842,0.06315789473684211
27,3.0,16.0,71.0,31.0,3.0,0.6761904761904762,0.29523809523809524,0.02857142857142857
28,3.0,10.0,212.0,49.0,2.0,0.8060836501901141,0.18631178707224336,0.0076045627376425855
29,3.0,30.0,57.0,15.0,0.0,0.7916666666666666,0.20833333333333334,0.0
